Date;Number_of_deaths;Cumulative_number_of_deaths;Confirmed_cases;Admissions_hospital;7day_r_value
2020-02-26;0;0;1;0;
2020-02-27;0;0;1;0;
2020-02-28;0;0;1;0;
2020-03-01;0;0;1;1;
2020-03-02;0;0;4;0;
2020-03-03;0;0;4;1;
2020-03-04;0;0;3;0;
2020-03-05;0;0;10;1;
2020-03-06;0;0;2;4;
2020-03-07;0;0;9;0;5.333333333333333
2020-03-08;0;0;48;3;11.916666666666666
2020-03-09;0;0;210;9;21.48
2020-03-10;0;0;255;15;22.424242424242426
2020-03-11;1;1;206;10;9.6375
2020-03-12;0;1;41;18;2.804195804195804
2020-03-13;0;1;33;26;1.5456238361266295
2020-03-14;1;2;37;24;1.1175675675675676
2020-03-15;2;4;45;33;0.8962386511024644
2020-03-16;1;5;74;45;0.6384039900249376
2020-03-17;1;6;76;47;0.4686746987951807
2020-03-18;4;10;83;47;0.5489721886336155
2020-03-19;5;15;106;50;0.7568740955137482
2020-03-20;4;19;102;64;1.04296875
2020-03-21;3;22;48;34;1.416452442159383
2020-03-22;3;25;62;42;1.3392070484581498
2020-03-23;6;31;131;85;1.2810707456978967
2020-03-24;6;37;138;81;1.3820224719101124
2020-03-25;6;43;151;90;1.455535390199637
2020-03-26;12;55;170;79;1.5049342105263157
2020-03-27;12;67;215;87;1.5925373134328358
2020-03-28;9;76;200;83;1.5338753387533874
2020-03-29;8;84;127;52;1.633416458852868
2020-03-30;11;95;309;69;1.5584699453551913
2020-03-31;15;110;254;51;1.4564198687910028
2020-04-01;22;132;279;61;1.558303886925795
2020-04-02;18;150;380;72;1.5419847328244274
2020-04-03;20;170;471;72;1.4817671809256663
2020-04-04;15;185;293;44;1.3790218790218791
2020-04-05;12;197;157;36;1.2794784580498866
2020-04-06;17;214;423;51;1.1623762376237623
2020-04-07;12;226;345;56;1.1183151916706104
2020-04-08;15;241;294;28;0.9888007466168922
2020-04-09;13;254;136;34;0.7922020381036774
2020-04-10;16;270;140;34;0.6959114139693356
2020-04-11;11;281;139;31;0.6910706728734659
2020-04-12;11;292;156;27;0.6446436998584237
2020-04-13;16;308;156;30;0.7153243847874721
2020-04-14;12;320;258;45;0.7239902080783354
2020-04-15;10;330;198;30;0.7501530924678506
2020-04-16;12;342;178;33;0.917276720351391
2020-04-17;9;351;168;27;0.9523064894448788
2020-04-18;10;361;104;27;0.9915469146238377
2020-04-19;6;367;111;34;1.0040816326530613
2020-04-20;7;374;213;33;0.9353551476456504
2020-04-21;12;386;200;38;0.9852216748768473
2020-04-22;14;400;226;29;1.0682011935208866
2020-04-23;10;410;231;33;1.0154471544715447
2020-04-24;6;416;164;22;1.091296928327645
2020-04-25;5;421;134;27;1.0725
2020-04-26;5;426;119;26;1.0303272146847566
2020-04-27;9;435;217;21;0.9823859087269816
2020-04-28;10;445;136;15;0.8913213448006255
2020-04-29;9;454;139;15;0.8197358197358198
2020-04-30;9;463;146;17;0.8048024786986832
2020-05-01;11;474;148;16;0.8312958435207825
2020-05-02;8;482;115;24;0.8587719298245614
2020-05-03;9;491;78;16;0.8360189573459715
2020-05-04;7;498;120;15;0.8354186717998076
2020-05-05;3;501;122;16;0.8176470588235294
2020-05-06;6;507;105;6;0.8273748723186926
2020-05-07;6;513;122;15;0.828798185941043
2020-05-08;4;517;69;9;0.783410138248848
2020-05-09;3;520;64;10;0.790167865707434
2020-05-10;5;525;57;10;0.7617283950617284
2020-05-11;4;529;78;8;0.7537619699042407
2020-05-12;7;536;56;8;0.7514705882352941
2020-05-13;5;541;65;6;0.6828528072837633
2020-05-14;0;541;61;13;0.7617504051863857
2020-05-15;6;547;89;17;0.7985480943738656
2020-05-16;3;550;34;5;0.8473581213307241
2020-05-17;3;553;50;4;0.9666666666666667
2020-05-18;3;556;80;14;0.9340425531914893
2020-05-19;2;558;60;7;1.0068181818181818
2020-05-20;5;563;69;7;0.953810623556582
2020-05-21;0;563;31;6;0.9080459770114943
2020-05-22;1;564;71;13;0.9020501138952164
2020-05-23;1;565;35;9;0.8577878103837472
2020-05-24;1;566;34;2;0.8523002421307506
2020-05-25;0;566;52;6;0.8962025316455696
2020-05-26;3;569;62;11;0.851010101010101
2020-05-27;1;570;52;7;0.9026315789473685
2020-05-28;0;570;37;5;0.8920454545454546
2020-05-29;1;571;42;9;0.8813559322033898
2020-05-30;4;575;33;7;0.8902077151335311
2020-05-31;2;577;22;4;0.8250728862973761
2020-06-01;3;580;35;5;0.8789808917197452
2020-06-02;1;581;55;6;0.8846153846153846
2020-06-03;1;582;52;3;0.9333333333333333
2020-06-04;4;586;41;5;0.9611307420494699
2020-06-05;2;588;34;9;0.9202898550724637
2020-06-06;3;591;15;2;0.8913043478260869
2020-06-07;2;593;14;4;0.9071428571428571
2020-06-08;0;593;43;5;0.8345588235294118
2020-06-09;0;593;28;1;0.8385826771653543
2020-06-10;0;593;38;1;0.8943089430894309
2020-06-11;1;594;48;1;0.968503937007874
2020-06-12;3;597;60;6;1.1365638766519823
2020-06-13;0;597;27;4;1.2394366197183098
2020-06-14;1;598;20;1;1.1818181818181819
2020-06-15;0;598;39;2;1.1260162601626016
2020-06-16;1;599;45;7;1.2131782945736433
2020-06-17;1;600;74;5;1.1742424242424243
2020-06-18;1;601;45;2;1.123076923076923
2020-06-19;1;602;42;4;1.0938628158844765
2020-06-20;1;603;38;4;1.0031948881789137
2020-06-21;0;603;31;4;1.032258064516129
2020-06-22;0;603;45;5;1.0068493150684932
2020-06-23;1;604;19;4;0.8745874587458746
2020-06-24;0;604;45;6;0.7961783439490446
2020-06-25;1;605;30;5;0.7125
2020-06-26;0;605;20;1;0.7074829931972789
2020-06-27;0;605;18;4;0.7094339622641509
2020-06-28;1;606;11;6;0.68
2020-06-29;0;606;27;3;0.7631578947368421
2020-06-30;0;606;23;0;0.6682692307692307
2020-07-01;0;606;10;2;0.6595744680851063
2020-07-02;0;606;15;4;0.711764705882353
2020-07-03;0;606;17;1;0.6666666666666666
2020-07-04;1;607;13;0;0.8345323741007195
2020-07-05;0;607;11;2;0.7903225806451613
2020-07-06;2;609;9;2;0.7272727272727273
2020-07-07;0;609;13;2;0.896551724137931
2020-07-08;0;609;26;1;1.1206896551724137
2020-07-09;0;609;41;3;1.489795918367347
2020-07-10;1;610;33;3;1.7840909090909092
2020-07-11;0;610;24;5;1.6153846153846154
2020-07-12;0;610;22;0;1.4692307692307693
2020-07-13;0;610;32;0;1.4452054794520548
2020-07-14;0;610;33;3;1.4458598726114649
2020-07-15;0;610;42;3;1.4166666666666667
2020-07-16;0;610;52;1;1.2408376963350785
2020-07-17;1;611;32;3;1.2132701421800949
2020-07-18;0;611;43;2;1.1541850220264318
2020-07-19;0;611;28;2;1.1008403361344539
2020-07-20;0;611;32;3;1.1181434599156117
2020-07-21;0;611;36;2;1.00390625
2020-07-22;2;613;34;4;0.9770992366412213
2020-07-23;0;613;51;1;0.9923664122137404
2020-07-24;0;613;36;2;0.9207547169811321
2020-07-25;0;613;27;5;0.9299610894941635
2020-07-26;0;613;23;2;1.0546875
2020-07-27;0;613;63;3;1.1961538461538461
2020-07-28;1;614;77;2;1.3770491803278688
2020-07-29;1;615;59;6;1.5439330543933054
2020-07-30;0;615;84;5;1.4481481481481482
2020-07-31;1;616;58;3;1.3762057877813505
2020-08-01;0;616;64;4;1.4375
2020-08-02;0;616;78;2;1.4552845528455285
2020-08-03;0;616;117;7;1.485933503836317
2020-08-04;0;616;121;5;1.4906542056074767
2020-08-05;1;617;116;7;1.5010351966873705
2020-08-06;0;617;171;3;1.504655493482309
2020-08-07;0;617;141;5;1.4337349397590362
2020-08-08;1;618;89;3;1.3855799373040751
2020-08-09;2;620;129;2;1.2675862068965518
2020-08-10;1;621;152;4;1.1559405940594059
2020-08-11;0;621;136;3;1.1740696278511404
2020-08-12;0;621;160;3;1.0441176470588236
2020-08-13;0;621;116;4;0.970620239390642
2020-08-14;0;621;110;6;0.9946466809421841
2020-08-15;0;621;126;2;0.9100204498977505
2020-08-16;0;621;90;5;0.9035752979414952
2020-08-17;0;621;96;8;0.9080717488789237
2020-08-18;0;621;112;1;0.7922497308934338
2020-08-19;0;621;86;6;0.7876404494382022
2020-08-20;0;621;81;7;0.8081534772182254
2020-08-21;1;622;83;5;0.7851851851851852
2020-08-22;1;623;88;3;0.8410326086956522
2020-08-23;0;623;73;4;0.8487874465049928
2020-08-24;0;623;72;3;0.8367952522255193
2020-08-25;1;624;81;3;0.8757861635220126
2020-08-26;0;624;79;8;0.8804523424878837
2020-08-27;0;624;69;1;0.9563025210084034
2020-08-28;0;624;107;4;0.99822695035461
2020-08-29;0;624;82;1;1.0646319569120288
2020-08-30;0;624;103;3;1.1724770642201834
2020-08-31;2;626;118;6;1.328646748681898
2020-09-01;0;626;198;1;1.477797513321492
2020-09-02;0;626;155;5;1.6104553119730185
2020-09-03;1;627;192;4;1.6384976525821595
2020-09-04;0;627;199;8;1.537037037037037
2020-09-05;0;627;197;12;1.5396634615384615
2020-09-06;1;628;222;9;1.5267015706806282
2020-09-07;0;628;295;7;1.515759312320917
2020-09-08;0;628;327;6;1.4845094664371772
2020-09-09;1;629;293;13;1.483216237314598
2020-09-10;0;629;367;14;1.4039780521262002
2020-09-11;1;630;346;11;1.3553875236294897
2020-09-12;1;631;301;17;1.289855072463768
2020-09-13;2;633;296;10;1.2157894736842105
2020-09-14;0;633;380;13;1.1812408402540302
2020-09-15;1;634;435;14;1.2431427243142725
2020-09-16;1;635;549;21;1.2687640449438202
2020-09-17;0;635;516;13;1.277922077922078
