,date,percentage
0,2020-05-29,0.7037037037037037
2,2020-05-30,0.7306397306397306
4,2020-05-31,0.6161616161616161
6,2020-06-01,0.6639209225700164
8,2020-06-02,0.6699029126213593
10,2020-06-03,0.6780487804878049
12,2020-06-04,0.6566037735849056
14,2020-06-05,0.702576112412178
16,2020-06-06,0.6480582524271845
18,2020-06-07,0.6507177033492823
20,2020-06-08,0.7116104868913857
22,2020-06-09,0.6636363636363637
24,2020-06-10,0.6591478696741855
26,2020-06-11,0.6933333333333334
28,2020-06-12,0.6914285714285714
30,2020-06-13,0.581081081081081
32,2020-06-14,0.6821705426356589
34,2020-06-15,0.636963696369637
36,2020-06-16,0.6219081272084805
38,2020-06-17,0.6051502145922747
40,2020-06-18,0.6825938566552902
42,2020-06-19,0.6652719665271967
44,2020-06-20,0.6214285714285714
46,2020-06-21,0.5783132530120482
48,2020-06-22,0.6455981941309256
50,2020-06-23,0.6109660574412533
52,2020-06-24,0.6532258064516129
54,2020-06-25,0.6222222222222222
56,2020-06-26,0.6237113402061856
58,2020-06-27,0.5492957746478874
60,2020-06-28,0.632258064516129
62,2020-06-29,0.6697819314641744
64,2020-06-30,0.6
66,2020-07-01,0.609375
68,2020-07-02,0.6460674157303371
70,2020-07-03,0.597444089456869
72,2020-07-04,0.6289855072463768
74,2020-07-05,0.6443850267379679
76,2020-07-06,0.6711864406779661
78,2020-07-07,0.7016129032258065
80,2020-07-08,0.5891089108910891
82,2020-07-09,0.6467889908256881
84,2020-07-10,0.7124463519313304
86,2020-07-11,0.6150793650793651
88,2020-07-12,0.6752411575562701
90,2020-07-13,0.6454849498327759
92,2020-07-14,0.6129032258064516
94,2020-07-15,0.6419213973799127
96,2020-07-16,0.636734693877551
98,2020-07-17,0.625748502994012
100,2020-07-18,0.615916955017301
102,2020-07-19,0.5910780669144982
104,2020-07-20,0.6405228758169934
106,2020-07-21,0.6363636363636364
108,2020-07-22,0.5954692556634305
110,2020-07-23,0.5731225296442688
112,2020-07-24,0.5851851851851851
114,2020-07-25,0.5873925501432665
116,2020-07-26,0.572992700729927
118,2020-07-27,0.6287128712871287
120,2020-07-28,0.6317567567567568
122,2020-07-29,0.5970149253731343
124,2020-07-30,0.6043478260869565
126,2020-07-31,0.5928853754940712
128,2020-08-01,0.6025641025641025
130,2020-08-02,0.5683453237410072
132,2020-08-03,0.6269592476489029
134,2020-08-04,0.6263345195729537
136,2020-08-05,0.6148648648648649
138,2020-08-06,0.6861924686192469
140,2020-08-07,0.6549019607843137
142,2020-08-08,0.6239316239316239
144,2020-08-09,0.6377358490566037
146,2020-08-10,0.6196078431372549
148,2020-08-11,0.6503067484662577
150,2020-08-12,0.6452205882352942
152,2020-08-13,0.6928838951310862
154,2020-08-14,0.6584507042253521
156,2020-08-15,0.6280701754385964
158,2020-08-16,0.6685878962536023
160,2020-08-17,0.6450511945392492
162,2020-08-18,0.5814606741573034
164,2020-08-19,0.6332179930795848
166,2020-08-20,0.6510416666666666
168,2020-08-21,0.6814516129032258
170,2020-08-22,0.7083333333333334
172,2020-08-23,0.625
174,2020-08-24,0.6384364820846905
176,2020-08-25,0.6236786469344608
178,2020-08-26,0.6525679758308157
180,2020-08-27,0.6979166666666666
182,2020-08-28,0.6075268817204301
184,2020-08-29,0.5958549222797928
186,2020-08-30,0.5959821428571429
188,2020-08-31,0.628968253968254
190,2020-09-01,0.6612529002320185
192,2020-09-02,0.6246418338108882
194,2020-09-03,0.6904761904761905
196,2020-09-04,0.6197718631178707
198,2020-09-05,0.6229508196721312
200,2020-09-06,0.6694915254237288
202,2020-09-07,0.6504424778761062
204,2020-09-08,0.6811594202898551
206,2020-09-09,0.6704545454545454
208,2020-09-10,0.696969696969697
210,2020-09-11,0.6593406593406593
212,2020-09-12,0.6299212598425197
214,2020-09-13,0.660427807486631
216,2020-09-14,0.6929133858267716
218,2020-09-15,0.6488294314381271
220,2020-09-16,0.6587677725118484
222,2020-09-17,0.694331983805668
224,2020-09-18,0.6693333333333333
226,2020-09-19,0.6225
228,2020-09-20,0.6257142857142857
230,2020-09-21,0.6908517350157729
232,2020-09-22,0.6447761194029851
234,2020-09-23,0.7014388489208633
236,2020-09-24,0.6336996336996337
238,2020-09-25,0.6466431095406361
240,2020-09-26,0.6358543417366946
242,2020-09-27,0.6351851851851852
244,2020-09-28,0.6853658536585366
246,2020-09-29,0.6887871853546911
248,2020-09-30,0.684863523573201
250,2020-10-01,0.6496815286624203
252,2020-10-02,0.676923076923077
254,2020-10-03,0.6208333333333333
256,2020-10-04,0.6103896103896104
258,2020-10-05,0.6925373134328359
260,2020-10-06,0.6821917808219178
262,2020-10-07,0.6575342465753424
264,2020-10-08,0.6712328767123288
266,2020-10-09,0.6141078838174274
268,2020-10-10,0.6422764227642277
270,2020-10-11,0.5774647887323944
272,2020-10-12,0.5617529880478087
274,2020-10-13,0.6044776119402985
276,2020-10-14,0.5846153846153846
278,2020-10-15,0.6219512195121951
280,2020-10-16,0.6415094339622641
282,2020-10-17,0.647239263803681
284,2020-10-18,0.6118421052631579
286,2020-10-19,0.6459143968871596
288,2020-10-20,0.6481994459833795
290,2020-10-21,0.6564625850340136
292,2020-10-22,0.6585365853658537
294,2020-10-23,0.648068669527897
296,2020-10-24,0.6930232558139535
298,2020-10-25,0.708904109589041
300,2020-10-26,0.6863636363636364
302,2020-10-27,0.6930379746835443
304,2020-10-28,0.7033492822966507
306,2020-10-29,0.678391959798995
308,2020-10-30,0.6826568265682657
310,2020-10-31,0.6812749003984063
312,2020-11-01,0.7436823104693141
314,2020-11-02,0.7192429022082019
316,2020-11-03,0.7303370786516854
318,2020-11-04,0.632996632996633
320,2020-11-05,0.7222222222222222
322,2020-11-06,0.7083333333333334
324,2020-11-07,0.6925675675675675
326,2020-11-08,0.6526315789473685
328,2020-11-09,0.7239057239057239
330,2020-11-10,0.636734693877551
332,2020-11-11,0.7011494252873564
334,2020-11-12,0.6328767123287671
336,2020-11-13,0.6733333333333333
338,2020-11-14,0.6925566343042071
340,2020-11-15,0.6712328767123288
342,2020-11-16,0.701195219123506
344,2020-11-17,0.6948356807511737
346,2020-11-18,0.7051792828685259
348,2020-11-19,0.6425531914893617
