,group
0,3
1,3
2,0
3,0
4,1
5,2
6,1
7,4
8,0
9,5
10,4
11,3
12,0
13,0
14,0
15,2
16,0
17,0
18,3
19,5
20,4
21,0
22,1
23,5
24,4
25,2
26,1
27,5
28,3
29,1
30,1
31,5
32,1
33,1
34,4
35,0
36,5
37,0
38,1
39,5
40,0
41,1
42,0
43,5
44,0
45,4
46,0
47,3
48,1
49,1
50,3
51,0
52,1
53,4
54,4
55,1
56,3
57,1
58,5
59,4
60,2
61,4
62,1
63,1
64,0
65,0
66,1
67,0
68,0
69,2
70,1
71,1
72,1
73,1
74,4
75,2
76,0
77,4
78,0
79,1
80,5
81,2
82,2
83,5
84,4
85,0
86,5
87,4
88,5
89,5
90,5
91,4
92,4
93,1
94,2
95,0
96,3
97,1
98,0
99,1
100,0
101,5
102,4
103,0
104,0
105,4
106,0
107,0
108,3
109,0
110,0
111,5
112,0
113,0
114,3
115,1
116,1
117,2
118,1
119,4
120,3
121,5
122,0
123,4
124,2
125,5
126,4
127,3
128,2
129,4
130,5
131,5
132,5
133,0
134,5
135,1
136,4
137,2
138,4
139,5
140,2
141,2
142,1
143,1
144,2
145,4
146,4
147,0
148,5
149,5
150,1
151,1
152,0
153,1
154,5
155,2
156,2
157,1
158,5
159,1
160,0
161,1
162,1
163,0
164,0
165,4
166,5
167,1
168,3
169,5
170,0
171,5
172,1
173,5
174,5
175,5
176,1
177,3
178,2
179,1
180,4
181,1
182,0
183,5
184,5
185,5
186,4
187,1
188,2
189,0
190,5
191,2
192,4
193,4
194,1
195,0
196,5
197,1
198,2
199,2
200,1
201,3
202,1
203,1
204,0
205,0
206,5
207,1
208,5
209,3
210,1
211,1
212,0
213,4
214,4
215,2
216,5
217,5
218,4
219,5
220,4
221,2
222,5
223,1
224,0
225,4
226,2
227,2
228,0
229,1
230,5
231,2
232,1
233,0
234,2
235,0
236,1
237,0
238,1
239,4
240,5
241,4
242,4
243,1
244,2
245,0
246,1
247,2
248,1
249,1
250,2
251,4
252,4
253,5
254,2
255,0
256,2
257,3
258,0
259,5
260,4
261,4
262,0
263,3
264,5
265,2
266,1
267,1
268,0
269,5
270,5
271,5
272,5
273,0
274,2
275,2
276,2
277,4
278,3
279,0
280,3
281,2
282,4
283,3
284,1
285,5
286,0
287,1
288,1
289,1
290,1
291,2
292,0
293,5
294,4
295,1
296,5
297,5
298,2
299,1
300,5
301,2
302,2
303,1
304,5
305,0
306,1
307,3
308,0
309,0
310,4
311,5
312,0
313,0
314,0
315,4
316,3
317,3
318,5
319,2
320,5
321,2
322,0
323,1
324,5
325,1
326,1
327,1
328,5
329,0
330,1
331,0
332,1
333,5
334,1
335,5
336,4
337,1
338,5
339,2
340,5
341,1
342,0
343,1
344,5
345,1
346,0
347,0
348,4
349,3
350,2
351,1
352,3
353,3
354,3
355,2
356,4
357,0
358,4
359,1
360,1
361,5
362,0
363,4
364,5
365,5
366,5
367,5
368,1
369,1
370,0
371,2
372,1
373,5
374,3
375,1
376,1
377,1
378,5
379,5
380,1
381,1
382,5
383,5
384,5
385,5
386,3
387,1
388,1
389,1
390,0
391,5
392,1
393,2
394,5
395,2
396,4
397,4
398,1
399,5
400,5
401,1
402,1
403,2
404,4
405,5
406,5
407,0
408,5
409,0
410,2
411,0
412,0
413,2
414,2
415,5
416,0
417,0
418,4
419,1
420,0
421,5
422,5
423,1
424,5
425,1
426,0
427,4
428,3
429,2
430,0
431,5
432,0
433,4
434,0
435,0
436,1
437,5
438,1
439,1
440,1
441,1
442,3
443,5
444,2
445,1
446,3
447,0
448,0
449,5
450,2
451,0
452,0
453,5
454,4
455,0
456,0
457,2
458,5
459,2
460,1
461,5
462,0
463,2
464,4
465,0
466,1
467,4
468,2
469,5
470,4
471,5
472,2
473,0
474,3
475,3
476,1
477,4
478,1
479,0
480,5
481,0
482,0
483,5
484,1
485,0
486,5
487,1
488,1
489,5
490,4
491,5
492,5
493,4
494,2
495,0
496,4
497,0
498,2
499,1
500,4
501,1
502,0
503,0
504,0
505,4
506,4
507,2
508,1
509,1
510,5
511,4
512,4
513,4
514,3
515,1
516,4
517,0
518,1
519,4
520,1
521,3
522,0
523,4
524,5
525,1
526,4
527,0
528,1
529,3
530,1
531,4
532,0
533,4
534,0
535,5
536,4
537,4
538,0
539,1
540,0
541,1
542,0
543,1
544,0
545,0
546,0
547,5
548,0
549,1
550,4
551,0
552,2
553,2
554,4
555,0
556,1
557,5
558,4
559,0
560,1
561,5
562,5
563,0
564,5
565,2
566,2
567,2
568,0
569,4
570,2
571,3
572,4
573,0
574,0
575,3
576,4
577,2
578,5
579,3
580,0
581,2
582,5
583,1
584,5
585,0
586,1
587,0
588,1
589,4
590,5
591,5
592,1
593,4
594,1
595,0
596,1
597,3
598,0
599,0
600,3
601,5
602,0
603,4
604,5
605,1
606,4
607,4
608,0
609,4
610,0
611,0
612,1
613,0
614,4
615,0
616,2
617,4
618,5
619,0
620,1
621,0
622,1
623,0
624,0
625,5
626,2
627,5
628,5
629,1
630,5
631,5
632,1
633,5
634,0
635,5
636,0
637,4
638,5
639,3
640,2
641,0
642,4
643,5
644,5
645,2
646,0
647,0
648,2
649,5
650,5
651,0
652,5
653,5
654,4
655,5
656,5
657,4
658,1
659,2
660,0
661,2
662,5
663,5
664,2
665,1
666,0
667,5
668,5
669,5
670,4
671,5
672,0
673,1
674,0
675,2
676,3
677,4
678,0
679,5
680,0
681,0
682,2
683,2
684,2
685,4
686,2
687,5
688,5
689,3
690,5
691,2
692,2
693,0
694,1
695,5
696,4
697,0
698,4
699,2
700,4
701,1
702,0
703,1
704,2
705,1
706,5
707,0
708,5
709,4
710,2
711,5
712,4
713,1
714,3
715,5
716,5
717,2
718,0
719,0
720,5
721,3
722,4
723,2
724,5
725,1
726,2
727,0
728,2
729,1
730,1
731,2
732,3
733,0
734,5
735,3
736,1
737,1
738,5
739,2
740,5
741,3
742,5
743,5
744,5
745,4
746,0
747,4
748,4
749,5
750,2
751,1
752,5
753,5
754,1
755,3
756,5
757,1
758,5
759,5
760,4
761,0
762,1
763,0
764,4
765,0
766,5
767,1
768,1
769,4
770,3
771,0
772,3
773,1
774,3
775,1
776,0
777,4
778,1
779,4
780,0
781,4
782,1
783,3
784,0
785,0
786,0
787,2
788,4
789,0
790,4
791,0
792,2
793,0
794,0
795,2
796,0
797,1
798,5
799,5
800,4
801,2
802,1
803,0
804,1
805,5
806,1
807,2
808,2
809,5
810,5
811,2
812,5
813,4
814,0
815,3
816,5
817,0
818,5
819,5
820,5
821,1
822,2
823,2
824,1
825,5
826,5
827,5
828,4
829,0
830,4
831,2
832,3
833,5
834,5
835,2
836,5
837,5
838,0
839,0
840,0
841,1
842,0
843,0
844,0
845,1
846,2
847,0
848,4
849,5
850,0
851,2
852,3
853,5
854,5
855,0
856,1
857,4
858,5
859,5
860,5
861,4
862,3
863,5
864,5
865,0
866,4
867,2
868,5
869,5
870,3
871,5
872,2
873,5
874,5
875,0
876,5
877,2
878,1
879,5
880,0
881,0
