,group
0,5
1,5
2,2
3,3
4,3
5,4
6,2
7,1
8,2
9,1
10,1
11,5
12,2
13,2
14,2
15,4
16,2
17,2
18,5
19,1
20,2
21,1
22,1
23,0
24,4
25,3
26,1
27,5
28,3
29,3
30,2
31,3
32,3
33,1
34,2
35,2
36,2
37,3
38,1
39,2
40,3
41,3
42,2
43,2
44,1
45,2
46,5
47,3
48,0
49,5
50,2
51,3
52,0
53,0
54,3
55,5
56,3
57,0
58,1
59,4
60,0
61,3
62,3
63,2
64,3
65,3
66,2
67,2
68,4
69,3
70,3
71,3
72,3
73,1
74,4
75,2
76,1
77,2
78,0
79,1
80,4
81,4
82,1
83,0
84,2
85,0
86,1
87,0
88,2
89,2
90,0
91,0
92,3
93,4
94,2
95,5
96,3
97,4
98,3
99,2
100,1
101,2
102,2
103,1
104,2
105,2
106,5
107,3
108,2
109,0
110,3
111,5
112,0
113,3
114,4
115,3
116,0
117,5
118,0
119,2
120,3
121,4
122,0
123,0
124,5
125,0
126,0
127,2
128,2
129,1
130,2
131,2
132,3
133,0
134,0
135,0
136,0
137,4
138,4
139,3
140,3
141,4
142,3
143,3
144,2
145,4
146,0
147,3
148,3
149,2
150,3
151,2
152,4
153,3
154,0
155,0
156,2
157,3
158,3
159,2
160,0
161,0
162,2
163,3
164,5
165,2
166,2
167,1
168,3
169,0
170,2
171,2
172,3
173,5
174,0
175,3
176,0
177,3
178,2
179,1
180,2
181,1
182,1
183,3
184,4
185,2
186,2
187,4
188,1
189,0
190,2
191,2
192,2
193,3
194,0
195,0
196,3
197,5
198,1
199,3
200,2
201,0
202,0
203,3
204,0
205,0
206,3
207,3
208,2
209,1
210,1
211,0
212,1
213,2
214,0
215,2
216,0
217,4
218,0
219,3
220,2
221,0
222,4
223,4
224,2
225,3
226,1
227,4
228,3
229,2
230,4
231,2
232,3
233,2
234,3
235,1
236,0
237,1
238,1
239,3
240,4
241,2
242,3
243,4
244,3
245,3
246,4
247,0
248,1
249,1
250,4
251,2
252,4
253,5
254,2
255,5
256,0
257,0
258,2
259,5
260,1
261,4
262,3
263,3
264,2
265,1
266,1
267,2
268,0
269,2
270,4
271,4
272,4
273,1
274,5
275,2
276,5
277,1
278,1
279,5
280,3
281,2
282,0
283,3
284,3
285,3
286,4
287,2
288,0
289,1
290,3
291,0
292,0
293,0
294,3
295,1
296,0
297,4
298,3
299,2
300,5
301,2
302,2
303,1
304,4
305,2
306,2
307,2
308,0
309,5
310,5
311,2
312,4
313,0
314,2
315,3
316,2
317,3
318,3
319,3
320,0
321,3
322,3
323,2
324,3
325,2
326,3
327,1
328,1
329,3
330,2
331,0
332,2
333,3
334,2
335,3
336,0
337,3
338,2
339,0
340,0
341,5
342,3
343,5
344,5
345,5
346,4
347,3
348,2
349,0
350,3
351,3
352,2
353,2
354,0
355,2
356,0
357,0
358,0
359,3
360,3
361,2
362,4
363,3
364,2
365,5
366,0
367,3
368,3
369,2
370,2
371,3
372,3
373,1
374,2
375,1
376,1
377,5
378,3
379,3
380,3
381,2
382,1
383,3
384,0
385,0
386,4
387,1
388,1
389,3
390,2
391,2
392,3
393,3
394,4
395,1
396,1
397,4
398,2
399,2
400,2
401,4
402,2
403,2
404,4
405,4
406,2
407,2
408,2
409,3
410,3
411,2
412,0
413,2
414,3
415,1
416,3
417,2
418,1
419,5
420,4
421,2
422,0
423,2
424,0
425,2
426,2
427,3
428,2
429,3
430,3
431,3
432,3
433,5
434,0
435,4
436,3
437,5
438,2
439,2
440,2
441,4
442,2
443,2
444,2
445,1
446,2
447,2
448,0
449,2
450,0
451,3
452,2
453,2
454,4
455,0
456,2
457,1
458,0
459,0
460,2
461,0
462,0
463,0
464,2
465,5
466,5
467,0
468,0
469,3
470,2
471,0
472,2
473,0
474,0
475,3
476,2
477,2
478,1
479,3
480,0
481,0
482,1
483,1
484,3
485,4
486,2
487,1
488,2
489,4
490,2
491,0
492,3
493,2
494,2
495,0
496,1
497,4
498,3
499,3
500,0
501,1
502,0
503,0
504,5
505,3
506,1
507,2
508,3
509,1
510,3
511,5
512,2
513,0
514,2
515,3
516,1
517,2
518,3
519,5
520,3
521,1
522,3
523,1
524,2
525,0
526,1
527,1
528,2
529,3
530,2
531,3
532,2
533,3
534,2
535,2
536,2
537,0
538,2
539,3
540,1
541,2
542,4
543,4
544,0
545,2
546,3
547,1
548,2
549,3
550,1
551,4
552,4
553,4
554,2
555,1
556,0
557,5
558,1
559,2
560,5
561,1
562,4
563,0
564,5
565,2
