,group
0,0
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,1
15,0
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,0
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,1
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,0
132,1
133,1
134,0
135,1
136,0
137,1
138,0
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,1
150,1
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,0
185,1
186,0
187,0
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,1
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,0
223,0
224,1
225,1
226,1
227,0
228,1
229,0
230,0
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,0
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,1
258,0
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,0
297,0
298,1
299,0
300,1
301,0
302,0
303,1
304,0
305,1
306,0
307,1
308,1
309,1
310,0
311,1
312,0
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,0
345,0
346,0
347,1
348,1
349,1
350,1
351,1
352,1
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,1
361,1
362,0
363,1
364,0
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,0
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,0
391,1
392,1
393,1
394,0
395,1
396,0
397,0
398,0
399,1
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,0
424,1
425,0
426,0
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,0
435,0
436,1
437,1
438,1
439,0
440,0
441,0
442,0
443,1
444,0
445,1
446,1
447,0
448,0
449,0
450,0
451,1
452,1
453,1
454,0
455,1
456,0
457,1
458,1
459,1
460,1
461,1
462,1
463,0
464,1
465,0
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,1
476,1
477,0
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,0
512,0
513,1
514,0
515,1
516,1
517,1
518,1
519,0
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,0
533,1
534,0
535,0
536,1
537,1
538,1
539,1
540,1
541,1
542,0
543,0
544,1
545,0
546,1
547,1
548,1
549,1
550,1
551,0
552,0
553,0
554,1
555,1
556,0
557,1
558,1
559,0
560,1
561,1
562,0
563,1
564,1
565,1
566,0
567,1
568,1
569,0
570,1
571,1
572,0
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,0
602,1
603,0
604,1
605,1
606,1
607,0
608,0
609,0
610,1
611,1
612,1
613,1
614,1
615,0
616,1
617,1
618,0
619,1
620,0
621,1
622,0
623,0
624,1
625,0
626,1
627,0
628,1
629,0
630,0
631,1
632,1
633,0
634,1
635,0
636,1
637,1
638,1
639,1
640,1
641,0
642,1
643,1
644,1
645,1
646,0
647,1
648,1
649,0
650,0
651,1
652,1
653,0
654,1
655,1
656,0
657,0
658,0
659,1
660,0
661,1
662,1
663,0
664,0
665,0
666,1
667,0
668,1
669,0
670,1
671,0
672,0
673,0
674,0
675,1
676,1
677,1
678,1
679,1
680,0
681,1
682,1
683,0
684,1
685,0
686,1
687,1
688,0
689,1
690,1
691,0
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,0
700,1
701,1
702,1
703,1
704,0
705,0
706,1
707,0
708,1
709,1
710,1
711,0
712,1
713,1
714,1
715,1
716,1
717,1
718,0
719,1
720,1
721,1
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,0
730,1
731,1
732,1
733,1
734,1
735,0
736,1
737,1
738,0
739,1
740,1
741,1
742,0
743,1
744,0
745,1
746,1
747,1
748,1
749,1
750,0
751,1
752,1
753,1
754,1
755,0
756,1
757,1
758,1
759,1
760,1
761,1
762,0
763,1
764,1
765,1
766,0
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,0
777,1
778,1
779,1
780,0
781,1
782,1
783,1
784,0
785,0
786,0
787,0
788,1
789,1
790,1
791,1
792,1
793,0
794,1
795,1
796,0
797,0
798,1
799,0
800,0
801,1
802,0
803,0
804,1
805,1
806,1
807,0
808,1
809,1
810,1
811,0
812,1
813,1
814,0
815,1
816,0
817,1
818,1
819,1
820,0
821,1
822,0
823,1
824,1
825,1
826,0
827,0
828,1
829,0
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,0
838,0
839,0
840,1
841,1
842,0
843,0
844,1
845,1
846,0
847,1
848,1
849,0
850,1
851,1
852,1
853,1
854,1
855,1
856,0
857,0
858,1
859,0
860,1
861,1
862,1
863,1
864,0
865,1
866,0
867,1
868,0
869,0
870,1
871,1
872,1
873,1
874,1
875,0
876,1
877,1
878,1
879,0
880,1
881,1
882,0
883,0
884,0
885,1
886,1
887,1
888,1
889,1
890,0
891,0
892,1
893,1
894,0
895,1
896,1
897,0
898,1
899,1
900,1
901,1
902,1
903,1
904,0
905,0
906,1
907,0
908,0
909,0
910,1
911,0
912,1
913,1
914,1
915,1
916,1
917,1
918,0
919,0
920,1
921,0
922,1
923,1
924,0
925,0
926,1
927,1
928,1
929,1
930,1
931,0
932,0
933,0
934,1
935,1
936,1
937,0
938,1
939,1
940,1
941,1
942,0
943,0
944,1
945,1
946,1
947,1
948,1
949,1
950,0
951,1
952,1
953,1
954,1
955,0
956,1
957,1
958,0
959,1
960,1
961,1
962,1
963,0
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,0
975,1
976,1
977,1
978,1
979,0
980,1
981,0
982,1
983,1
984,0
985,0
986,1
987,1
988,0
989,0
990,1
991,1
992,1
993,1
994,1
995,0
996,1
997,0
998,1
999,0
1000,0
1001,0
1002,1
1003,0
1004,1
1005,1
1006,1
1007,1
1008,1
1009,0
1010,0
1011,1
1012,0
1013,0
1014,1
1015,0
1016,0
1017,0
1018,1
1019,0
1020,1
1021,0
1022,1
1023,0
1024,1
1025,1
1026,0
1027,1
1028,0
1029,1
1030,0
1031,1
1032,0
1033,1
1034,1
1035,0
1036,1
1037,0
1038,1
1039,0
1040,0
1041,1
1042,1
1043,0
1044,0
1045,0
1046,0
1047,1
1048,0
1049,0
1050,1
1051,0
1052,1
1053,1
1054,0
1055,0
1056,0
1057,0
1058,1
1059,1
1060,0
