,group
0,1
1,1
2,0
3,0
4,3
5,4
6,0
7,2
8,0
9,2
10,2
11,1
12,0
13,0
14,0
15,4
16,0
17,0
18,1
19,2
20,0
21,2
22,2
23,2
24,4
25,3
26,0
27,1
28,3
29,3
30,0
31,3
32,3
33,2
34,0
35,0
36,0
37,3
38,2
39,0
40,3
41,3
42,0
43,0
44,2
45,0
46,1
47,3
48,3
49,1
50,0
51,3
52,2
53,2
54,3
55,1
56,3
57,0
58,2
59,4
60,2
61,3
62,3
63,0
64,3
65,3
66,0
67,0
68,4
69,3
70,3
71,3
72,3
73,2
74,4
75,0
76,2
77,0
78,3
79,2
80,4
81,4
82,2
83,2
84,0
85,4
86,2
87,0
88,0
89,0
90,2
91,2
92,3
93,4
94,0
95,1
96,3
97,4
98,3
99,0
100,2
101,0
102,0
103,2
104,0
105,0
106,1
107,0
108,0
109,4
110,3
111,1
112,3
113,3
114,1
115,3
116,3
117,1
118,4
119,0
120,3
121,4
122,4
123,2
124,1
125,4
126,2
127,0
128,0
129,2
130,0
131,0
132,3
133,3
134,4
135,3
136,4
137,4
138,4
139,3
140,3
141,4
142,3
143,3
144,0
145,4
146,4
147,3
148,3
149,0
150,3
151,0
152,4
153,3
154,2
155,3
156,0
157,3
158,3
159,0
160,0
161,3
162,0
163,3
164,1
165,0
166,0
167,2
168,3
169,2
170,0
171,0
172,3
173,1
174,4
175,3
176,2
177,3
178,0
179,2
180,0
181,2
182,2
183,3
184,4
185,0
186,0
187,4
188,2
189,3
190,0
191,0
192,0
193,3
194,4
195,4
196,3
197,1
198,2
199,3
200,0
201,0
202,0
203,3
204,4
205,4
206,3
207,3
208,0
209,2
210,2
211,4
212,2
213,0
214,2
215,0
216,2
217,4
218,0
219,3
220,0
221,2
222,4
223,4
224,0
225,3
226,2
227,4
228,3
229,0
230,4
231,0
232,3
233,0
234,3
235,2
236,0
237,2
238,2
239,3
240,4
241,0
242,3
243,4
244,3
245,3
246,4
247,3
248,2
249,2
250,4
251,0
252,4
253,1
254,0
255,1
256,4
257,3
258,0
259,1
260,2
261,4
262,3
263,3
264,0
265,2
266,2
267,0
268,4
269,0
270,4
271,4
272,4
273,2
274,4
275,0
276,1
277,2
278,2
279,1
280,3
281,0
282,0
283,3
284,3
285,3
286,4
287,0
288,2
289,2
290,3
291,3
292,4
293,4
294,3
295,2
296,4
297,4
298,3
299,0
300,1
301,0
302,0
303,2
304,4
305,0
306,0
307,0
308,4
309,1
310,1
311,0
312,4
313,2
314,0
315,3
316,0
317,3
318,3
319,3
320,2
321,0
322,3
323,0
324,3
325,0
326,3
327,2
328,2
329,3
330,0
331,4
332,0
333,3
334,0
335,3
336,4
337,3
338,0
339,3
340,3
341,1
342,3
343,1
344,1
345,1
346,4
347,3
348,0
349,2
350,3
351,3
352,0
353,0
354,2
355,0
356,2
357,0
358,3
359,3
360,3
361,0
362,4
363,3
364,0
365,1
366,3
367,3
368,3
369,0
370,0
371,3
372,3
373,2
374,0
375,2
376,2
377,1
378,3
379,3
380,3
381,0
382,2
383,3
384,4
385,2
386,4
387,2
388,2
389,3
390,0
391,0
392,3
393,3
394,4
395,2
396,2
397,4
398,0
399,0
400,0
401,4
402,0
403,0
404,4
405,4
406,0
407,0
408,0
409,3
410,3
411,0
412,0
413,0
414,3
415,2
416,3
417,0
418,2
419,1
420,4
421,0
422,0
423,0
424,3
425,0
426,0
427,3
428,0
429,3
430,3
431,3
432,3
433,1
434,4
435,4
436,3
437,1
438,0
439,0
440,0
441,4
442,4
443,0
444,0
445,2
446,0
447,0
448,4
449,0
450,4
451,3
452,0
453,0
454,4
455,2
456,0
457,2
458,3
459,4
460,0
461,3
462,2
463,4
464,0
465,1
466,1
467,3
468,3
469,3
470,0
471,4
472,0
473,0
474,0
475,3
476,0
477,0
478,2
479,3
480,4
481,3
482,2
483,2
484,3
485,4
486,0
487,2
488,0
489,4
490,0
491,2
492,3
493,0
494,0
495,2
496,2
497,4
498,3
499,3
500,0
501,2
502,3
503,2
504,1
505,3
506,2
507,0
508,3
509,2
510,3
511,1
512,0
513,2
514,0
515,3
516,2
517,0
518,3
519,1
520,3
521,2
522,3
523,2
524,0
525,2
526,2
527,2
528,0
529,3
530,0
531,3
532,0
533,3
534,0
535,0
536,0
537,2
538,0
539,3
540,2
541,0
542,4
543,4
544,2
545,0
546,3
547,2
548,0
549,3
550,2
551,4
552,4
553,4
554,0
555,2
556,4
557,1
558,2
559,0
560,1
561,2
562,4
563,0
564,1
565,0
566,4
567,0
568,3
569,0
570,0
571,3
572,0
573,3
574,2
575,2
576,2
577,3
578,3
579,3
580,3
581,1
582,4
583,0
584,1
585,0
586,2
587,2
588,3
589,2
590,0
591,2
592,0
593,0
594,3
595,0
596,3
597,0
598,4
599,2
600,0
601,0
602,3
603,0
604,3
605,0
606,0
607,0
608,4
609,4
610,4
611,3
612,0
613,2
614,3
615,4
616,0
617,4
618,0
619,2
620,0
621,1
622,4
623,0
624,2
625,0
626,0
627,4
628,0
629,0
630,4
631,2
632,2
633,0
634,2
635,0
636,2
637,0
638,0
639,2
640,3
641,4
642,0
643,4
644,0
645,0
646,4
647,3
648,0
649,0
650,4
651,4
652,3
653,0
654,0
655,3
656,0
657,4
658,1
659,3
660,0
661,4
662,0
663,4
664,4
665,4
666,2
667,4
668,0
669,4
670,4
671,0
672,4
673,4
674,0
675,3
676,0
677,3
678,0
679,4
680,4
681,2
682,3
683,0
684,3
685,4
686,3
687,0
688,0
689,0
690,4
691,4
692,4
693,2
694,3
695,2
696,0
697,0
698,4
699,0
700,0
701,4
702,1
703,2
704,4
705,0
706,3
707,1
708,0
709,3
710,3
711,4
712,1
713,0
714,0
715,1
716,3
717,0
718,4
719,2
720,1
721,2
722,0
723,4
724,2
725,0
726,2
727,2
728,0
729,4
730,3
731,2
732,2
733,3
734,1
735,4
736,3
737,0
738,4
739,2
740,0
741,3
742,0
743,2
744,0
745,4
746,3
747,3
748,2
749,1
750,0
751,1
752,3
753,1
754,3
755,0
756,2
757,3
758,2
759,0
760,4
761,3
762,1
763,0
764,0
765,0
766,4
767,2
768,0
769,2
770,0
771,4
772,0
773,4
774,3
775,3
776,0
777,0
778,2
779,3
780,0
781,3
782,3
783,3
784,4
785,4
786,0
787,4
788,4
789,0
790,2
791,0
792,1
793,0
794,0
795,2
796,0
797,2
798,3
799,4
800,4
801,3
802,0
803,0
804,2
805,0
806,3
807,4
808,1
809,2
810,2
811,4
812,1
