,group
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,2
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,2
20,0
21,0
22,1
23,0
24,1
25,0
26,2
27,0
28,0
29,0
30,0
31,0
32,0
33,2
34,0
35,0
36,0
37,0
38,2
39,0
40,0
41,0
42,0
43,0
44,2
45,0
46,2
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,2
59,2
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,2
70,0
71,0
72,0
73,2
74,1
75,0
76,2
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,2
87,0
88,0
89,1
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,2
101,0
102,1
103,2
104,0
105,0
106,2
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,0
121,1
122,0
123,0
124,0
125,0
126,0
127,1
128,1
129,2
130,0
131,1
132,0
133,0
134,0
135,0
136,1
137,0
138,1
139,0
140,0
141,1
142,0
143,0
144,1
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,1
166,0
167,1
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,2
180,0
181,1
182,2
183,0
184,1
185,0
186,1
187,0
188,2
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,2
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,2
213,1
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,0
222,1
223,1
224,0
225,0
226,2
227,1
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,2
238,2
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,2
249,2
250,2
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,1
262,0
263,0
264,0
265,2
266,0
267,1
268,0
269,0
270,0
271,0
272,1
273,0
274,0
275,0
276,0
277,2
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,2
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,0
303,2
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,2
329,0
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,2
351,0
352,0
353,0
354,2
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,1
370,0
371,0
372,0
373,1
374,1
375,0
376,2
377,0
378,0
379,0
380,0
381,0
382,2
383,0
384,0
385,0
386,1
387,2
388,2
389,0
390,1
391,0
392,0
393,0
394,0
395,2
396,1
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,2
416,0
417,0
418,2
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,1
445,2
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,1
478,2
479,0
480,0
481,0
482,0
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,2
497,0
498,0
499,0
500,0
501,2
502,0
503,2
504,0
505,0
506,2
507,0
508,0
509,2
510,0
511,0
512,1
513,0
514,1
515,0
516,2
517,0
518,0
519,0
520,2
521,2
522,0
523,0
524,0
525,0
526,2
527,2
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,2
541,0
542,1
543,1
544,0
545,0
546,0
547,2
548,0
549,0
550,2
551,0
552,1
553,1
554,0
555,2
556,0
557,0
558,2
559,1
560,0
561,2
562,1
563,0
564,0
565,0
566,1
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,2
576,2
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,2
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,0
612,0
613,2
614,0
615,1
616,0
617,0
618,0
619,2
620,1
621,0
622,0
623,0
624,2
625,0
626,0
627,0
628,0
629,0
630,1
631,0
632,2
633,0
634,2
635,0
636,2
637,0
638,0
639,2
640,0
641,1
642,0
643,0
644,0
645,0
646,1
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,0
655,0
656,0
657,1
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,1
666,2
667,0
668,0
669,0
670,0
671,1
672,1
673,1
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,2
688,0
689,0
690,0
691,0
692,1
693,2
694,0
695,0
696,2
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,1
705,1
706,0
707,0
708,0
709,0
710,0
711,1
712,0
713,0
714,0
715,0
716,0
717,0
718,1
719,0
720,0
721,0
722,0
723,0
724,2
725,0
726,2
727,0
728,0
729,0
730,0
731,0
732,2
733,0
734,0
735,0
736,0
737,0
738,1
739,2
740,0
741,0
742,0
743,2
744,0
745,0
746,0
747,0
748,2
749,0
750,0
751,1
752,0
753,0
754,0
755,0
756,2
757,0
758,2
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,1
767,2
768,0
769,2
770,0
771,1
772,0
773,0
774,0
775,0
776,1
777,0
778,2
779,0
780,0
781,0
782,0
783,0
784,1
785,1
786,0
787,0
788,2
789,0
790,2
791,0
792,0
793,1
794,0
795,1
796,1
797,1
798,0
799,0
800,1
801,0
802,0
803,0
804,2
805,0
806,0
807,1
808,0
809,2
810,0
811,1
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,1
821,0
822,1
823,2
824,0
825,0
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,2
837,1
838,1
839,1
840,0
841,0
842,1
843,1
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,1
860,0
861,0
862,0
863,0
864,0
865,2
866,1
867,0
868,1
869,0
870,0
871,0
872,0
873,2
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,2
882,1
883,1
884,1
885,0
886,0
887,0
888,0
889,0
890,0
891,1
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,2
904,0
905,0
906,0
907,0
908,0
909,1
910,0
911,1
912,0
913,2
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,2
924,0
925,1
926,0
927,2
928,0
929,0
930,0
931,1
932,0
933,0
934,0
935,2
936,2
937,0
938,0
939,0
940,0
941,0
942,1
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,2
953,0
954,0
955,1
956,0
957,0
958,1
959,0
960,0
961,0
962,2
963,1
964,0
965,0
966,2
967,0
968,0
969,2
970,0
971,2
972,0
973,0
974,0
975,2
976,0
977,0
978,2
979,0
980,0
981,0
982,2
983,0
984,1
985,1
986,0
987,0
988,0
989,0
990,0
991,2
992,0
993,2
994,0
995,1
996,0
997,1
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,1
1011,0
1012,1
1013,1
1014,0
1015,1
1016,0
1017,0
1018,2
1019,2
1020,0
1021,0
1022,0
1023,1
1024,0
1025,2
1026,1
1027,0
1028,0
1029,0
1030,1
1031,0
1032,0
1033,2
1034,2
1035,0
1036,0
1037,0
1038,0
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,1
1046,0
1047,2
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,1
1055,0
1056,1
1057,0
1058,0
1059,2
1060,1
1061,0
1062,0
1063,0
1064,0
1065,1
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,2
1073,2
1074,2
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,2
1082,1
1083,2
1084,0
1085,2
1086,2
1087,0
1088,0
1089,2
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,1
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,1
1107,0
1108,1
1109,2
1110,0
1111,2
1112,0
1113,2
1114,0
1115,1
1116,1
1117,0
1118,0
1119,0
1120,1
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,1
1131,1
1132,0
1133,0
1134,1
1135,2
1136,2
1137,0
1138,0
1139,0
1140,0
1141,2
1142,0
1143,2
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,1
1158,0
1159,0
1160,0
1161,1
1162,0
1163,1
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,1
1175,1
1176,1
1177,0
1178,1
1179,0
1180,0
1181,0
1182,0
1183,2
1184,0
1185,0
1186,0
1187,0
1188,1
1189,0
1190,0
1191,0
1192,1
1193,1
1194,0
1195,2
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,2
1206,1
1207,1
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,2
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,2
1229,1
1230,0
