,group
0,1
1,2
2,1
3,0
4,2
5,1
6,0
7,2
8,0
9,0
10,0
11,0
12,3
13,1
14,1
15,1
16,1
17,3
18,0
19,1
20,1
21,0
22,1
23,2
24,1
25,0
26,1
27,0
28,2
29,2
30,1
31,2
32,0
33,2
34,3
35,1
36,3
37,2
38,1
39,1
40,0
41,0
42,1
43,3
44,2
45,3
46,0
47,0
48,0
49,0
50,0
51,2
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,2
66,3
67,3
68,0
69,2
70,0
71,2
72,2
73,0
74,3
75,3
76,0
77,1
78,0
79,1
80,1
81,3
82,0
83,0
84,1
85,1
86,2
87,0
88,1
89,3
90,0
91,0
92,2
93,1
94,3
95,0
96,2
97,3
98,0
99,1
100,2
101,1
102,3
103,0
104,3
105,1
106,2
107,0
108,3
109,0
110,0
111,1
112,0
113,2
114,2
115,2
116,2
117,0
118,1
119,1
120,2
121,3
122,0
123,0
124,1
125,0
126,0
127,3
128,3
129,1
130,1
131,3
132,0
133,2
134,1
135,0
136,1
137,0
138,3
139,0
140,2
141,3
142,2
143,2
144,3
145,3
146,1
147,2
148,2
149,1
150,0
151,3
152,1
153,2
154,0
155,0
156,1
157,2
158,2
159,0
160,0
161,2
162,3
163,2
164,2
165,3
166,1
167,1
168,0
169,0
170,3
171,3
172,0
173,0
174,0
175,2
176,0
177,2
178,0
179,0
180,1
181,3
182,2
183,0
184,3
185,0
186,3
187,1
188,2
189,2
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,2
198,0
199,2
200,3
201,1
202,1
203,0
204,1
205,0
206,2
207,2
208,1
209,0
210,0
211,0
212,1
213,3
214,2
215,0
216,0
217,1
218,1
219,2
220,3
221,0
222,1
223,1
224,1
225,2
226,1
227,1
228,0
229,3
230,1
231,3
232,2
233,1
234,2
235,2
236,0
237,0
238,2
239,2
240,0
241,1
242,2
243,1
244,0
245,2
246,3
247,2
248,2
249,0
250,0
251,3
252,1
253,0
254,3
255,0
256,0
257,0
258,3
259,0
260,1
261,3
262,0
263,0
264,3
265,0
266,0
267,1
268,1
269,3
270,0
271,1
272,3
273,0
274,1
275,1
276,2
277,0
278,2
279,0
280,0
281,1
282,0
283,2
284,2
285,2
286,1
287,1
288,0
289,0
290,2
291,0
292,1
293,0
294,0
295,3
296,1
297,1
298,2
299,3
300,2
301,3
302,3
303,2
304,1
305,1
306,3
307,1
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,2
316,3
317,2
318,2
319,2
320,1
321,0
322,2
323,1
324,2
325,3
326,0
327,1
328,2
329,2
330,3
331,0
332,1
333,0
334,1
335,0
336,1
337,2
338,1
339,0
340,2
341,2
342,0
343,0
344,0
345,0
346,1
347,2
348,1
349,0
350,2
351,0
352,1
353,3
354,0
355,0
356,0
357,1
358,0
359,2
360,2
361,1
362,1
363,0
364,3
365,1
366,0
367,2
368,0
369,3
370,1
371,0
372,2
373,1
374,3
375,0
376,1
377,0
378,0
379,2
380,0
381,1
382,0
383,2
384,1
385,1
386,1
387,2
388,2
389,2
390,3
391,1
392,2
393,2
394,1
395,2
396,1
397,3
398,3
399,1
400,3
401,1
402,1
403,3
404,1
405,1
406,3
407,3
408,1
409,2
410,2
411,3
412,1
413,0
414,2
415,0
416,0
417,1
418,2
419,0
420,3
421,1
422,0
423,3
424,2
425,3
426,3
427,2
428,1
429,2
430,2
431,2
432,2
433,0
434,1
435,1
436,2
437,2
438,1
439,3
440,3
441,3
442,3
443,1
444,3
445,2
446,3
447,3
448,1
449,3
450,1
451,2
452,1
453,1
454,1
455,0
456,3
457,0
458,2
459,0
460,1
461,0
462,0
463,1
464,3
465,1
466,0
467,0
468,2
469,0
470,3
471,0
472,1
473,1
474,1
475,2
476,1
477,3
478,2
479,2
480,0
481,0
482,0
483,0
484,2
485,1
486,1
487,2
488,1
489,0
490,0
491,0
492,2
493,1
494,0
495,0
496,2
497,1
498,0
499,2
500,0
501,2
502,2
503,2
504,0
505,2
506,0
507,3
508,2
509,2
510,2
511,1
512,3
513,0
514,1
515,2
516,2
517,1
518,2
519,1
520,2
521,0
522,0
523,2
524,3
525,0
526,2
527,2
528,1
529,2
530,1
531,0
532,3
533,2
534,3
535,3
536,1
537,1
538,1
539,0
540,0
541,1
542,3
543,3
544,0
545,3
546,2
547,0
548,1
549,0
550,0
551,1
552,3
553,0
554,1
555,0
556,1
557,0
558,2
559,3
560,0
561,2
562,1
563,0
564,2
565,0
566,0
567,0
568,0
569,3
570,0
571,2
572,3
573,2
574,0
575,1
576,0
577,2
578,2
579,0
580,0
581,2
582,1
583,1
584,2
585,1
586,0
587,1
588,2
589,2
590,1
591,0
592,1
593,1
594,2
595,0
596,2
597,1
598,1
599,2
600,1
601,3
602,2
603,3
604,2
605,0
606,1
607,3
608,1
609,3
610,0
611,0
612,1
613,1
614,2
615,1
616,1
617,0
618,3
619,2
620,3
621,0
622,1
623,3
624,2
625,1
626,0
627,1
628,0
629,3
630,1
631,0
632,1
633,3
634,1
635,3
636,0
637,0
638,1
639,2
640,0
641,3
642,1
643,0
644,1
645,1
646,1
647,0
648,0
649,3
650,1
651,0
652,2
653,3
654,0
655,2
656,1
657,3
658,1
659,0
660,3
661,1
662,1
663,1
664,1
665,3
666,2
667,1
668,1
669,1
670,0
671,1
672,1
673,3
674,1
675,2
676,1
677,0
678,1
679,0
680,1
681,0
682,2
683,3
684,2
685,3
686,2
687,1
688,3
689,1
690,0
691,1
692,1
693,1
694,0
695,0
696,1
697,1
698,0
699,3
700,1
701,0
702,0
703,2
704,3
705,3
706,0
707,1
708,1
709,0
710,0
711,3
712,0
713,1
714,1
715,2
716,2
717,0
718,1
719,0
720,2
721,0
722,1
723,1
724,0
725,1
726,2
727,0
728,0
729,1
730,0
731,0
732,1
733,2
734,0
735,1
736,0
737,1
738,1
739,2
740,1
741,2
742,3
743,0
744,3
745,0
746,2
747,2
748,0
749,0
750,3
751,0
752,2
753,0
754,2
755,1
756,0
757,2
758,0
759,1
760,0
761,0
762,0
763,1
764,1
765,1
766,3
767,0
768,1
769,2
770,1
771,0
772,1
773,1
774,0
775,2
776,3
777,0
778,0
779,2
780,3
781,2
782,0
783,0
784,3
785,3
786,1
787,1
788,0
789,1
790,2
791,0
792,0
793,3
794,1
795,1
796,3
797,1
798,0
799,1
800,3
801,2
802,3
803,1
804,1
805,3
806,0
807,3
808,0
809,1
810,0
811,3
812,0
813,1
814,3
815,3
816,3
817,2
818,1
819,0
820,3
821,2
822,3
823,2
824,0
825,1
826,1
827,0
828,1
829,1
830,1
831,2
832,0
833,0
834,0
835,1
836,0
837,1
838,1
839,3
840,1
841,0
842,3
843,3
844,0
845,1
846,1
847,0
848,1
849,3
850,1
851,0
852,0
853,0
854,1
855,1
856,3
857,3
858,1
859,1
860,2
861,0
862,1
863,1
864,1
865,0
866,1
867,2
868,3
869,1
870,0
871,1
872,2
873,2
874,0
875,3
876,0
877,0
878,0
879,1
880,2
881,0
882,3
883,1
884,1
885,0
886,2
887,0
888,1
889,1
890,3
891,3
892,0
893,0
894,3
895,1
896,2
897,3
898,1
899,0
900,1
901,1
902,1
903,2
904,3
905,1
906,2
907,1
908,1
909,3
910,2
911,3
912,0
913,0
914,2
915,1
916,0
917,1
918,3
919,3
920,0
921,3
922,0
923,2
924,3
925,1
926,2
927,0
928,1
929,1
930,0
931,1
932,1
933,1
934,1
935,1
936,2
937,1
938,1
939,0
940,2
941,0
942,3
943,1
944,2
945,0
946,0
947,2
948,2
949,2
950,1
951,0
952,0
953,2
954,1
955,3
956,0
957,0
958,1
959,2
960,2
961,2
962,0
963,3
