iteration,random_seed,method,number_cluster,silhouette_score,ch_score,model_specific_score,db_score
0,51,gmm_diag,2,0.1540285420265474,8395.824738961386,-106781.19829084762,2.286609788700064
0,51,gmm_diag,3,0.059746139464464,5108.85590083955,-122786.03738654888,2.934500367614451
0,51,gmm_diag,4,0.0324808531723636,4142.696732871163,-155839.71269697073,4.462885919430122
0,51,gmm_diag,5,0.0307377052233739,3831.122302316257,-162508.21477901586,3.6009415617933294
0,51,gmm_diag,6,0.0386679149721718,3739.365135506772,-167285.1050192305,3.212741589788982
0,51,gmm_diag,7,0.0049242327673978,3264.136041981566,-169564.41201964385,3.770526117995822
0,51,gmm_full,2,0.1605917442263914,6212.971813596321,-124545.94754313628,2.6402802650482884
0,51,gmm_full,3,0.02320076952132,4081.871800174142,-132902.39924355652,3.759702960637911
0,51,gmm_full,4,0.0230728693926714,3492.396203491371,-168105.54863111643,3.2741944988002
0,51,gmm_full,5,0.0154124903372058,3323.174231944209,-172764.7701519158,3.437477747900348
0,51,gmm_full,6,0.0196820924831173,3061.2075077669783,-174870.72665250837,3.2405772843972502
0,51,gmm_full,7,0.0010008810693522,2837.4939442874875,-176716.00473802583,3.614409718629
0,51,gmm_spherical,2,0.2139126697513778,8604.204259306314,-76745.03594846698,2.2095464474448487
0,51,gmm_spherical,3,0.1264235211648619,8307.14287373257,-86754.26855272218,1.9043245687580488
0,51,gmm_spherical,4,0.0879006090887586,6391.650823533273,-93642.29429637422,2.450968181358246
0,51,gmm_spherical,5,0.1050962911640522,6169.841606497756,-96973.96149570476,2.1911692594657253
0,51,gmm_spherical,6,0.1105027885562442,5776.709563473466,-99903.00157269968,1.9486561382891283
0,51,gmm_spherical,7,0.133590712272868,6262.323145754721,-101703.52044628408,1.7268838775899058
0,51,gmm_tied,2,0.2412904788776169,3582.2941871592006,-103728.0985490258,1.8114535432695988
0,51,gmm_tied,3,0.1419869186984686,6036.093582703174,-104215.08746583424,2.0195827104618327
0,51,gmm_tied,4,0.146014752742389,5711.911336274694,-115612.70032931358,1.8545376864062373
0,51,gmm_tied,5,0.1379482279668012,5470.974791622398,-117583.50777591522,1.8104402244927016
0,51,gmm_tied,6,0.1273111875613423,5201.582851054386,-117718.6974044728,1.774207307417182
0,51,gmm_tied,7,0.1016700882842966,4730.841484645518,-117893.56759320546,1.803166554177771
0,51,kmeans,2,0.186944880057513,10526.380876463129,9059.159108508196,1.9992244029672293
0,51,kmeans,3,0.1541100235658902,9620.836578245162,7948.833881277955,1.794490107738601
0,51,kmeans,4,0.1581085663081858,8109.419944602543,7356.809848439574,1.7997713568107112
0,51,kmeans,5,0.1442661283206514,7363.083445186447,6871.111647195495,1.7349291945708205
0,51,kmeans,6,0.1499440175736642,6971.485299471112,6437.59037206078,1.6770803700997974
0,51,kmeans,7,0.1398138617873465,6648.472602788798,6082.13179427717,1.6241487798025165
0,51,nnmf,2,0.3082391694895734,3185.0522614023816,77.34888173313306,1.36073384988332
0,51,nnmf,3,0.145544337956934,4419.662130932997,64.70202708346471,2.119217241587387
0,51,nnmf,4,0.0875055858468207,3651.92003221992,52.72920887676336,1.8950676458207143
0,51,nnmf,5,0.2369259737004718,1311.726270786612,37.32619088193727,1.5257173883337114
0,51,nnmf,6,0.1426545927002187,697.4883071620003,25.59266905507215,1.7108685071219083
0,51,nnmf,7,0.2434487925256705,559.6170481363762,0.6733617712827391,1.7896290597657765
1,108,gmm_diag,2,0.1540285420265474,8395.824738961386,-106780.96448274305,2.286609788700064
1,108,gmm_diag,3,0.0597553271186604,5108.659033082879,-122786.78157927089,2.9345315199826216
1,108,gmm_diag,4,0.014180284570159,3760.9717891178793,-155435.00764874104,3.901233775934509
1,108,gmm_diag,5,0.0311311618238323,3840.6448401196617,-162525.2055169113,3.608069616008249
1,108,gmm_diag,6,0.0357994185974887,3668.967075726975,-167152.0633322518,3.230465043851712
1,108,gmm_diag,7,0.0145001581578887,3358.09613729974,-169908.35797924382,3.2321902554385047
1,108,gmm_full,2,0.1606238041534917,6214.334265644724,-124545.73454064848,2.6398861922375687
1,108,gmm_full,3,0.0229735949816045,4074.0132103878886,-132878.47258210566,3.7728700585636177
1,108,gmm_full,4,0.01527272113332,3371.645069077195,-167971.88558738676,3.5909773559435494
1,108,gmm_full,5,0.0170343324662137,3299.168620311572,-172733.29507576607,3.3801927149950908
1,108,gmm_full,6,0.0130529259990061,3043.0953074830154,-174692.14942465752,3.4036115071106647
1,108,gmm_full,7,0.001208385640297,2846.818010988452,-176674.88822985068,3.595050233445337
1,108,gmm_spherical,2,0.214335481582613,8602.105776702389,-76747.01740060544,2.208433554914084
1,108,gmm_spherical,3,0.1264639245339302,8307.771285098055,-86752.53676020286,1.9042802201388809
1,108,gmm_spherical,4,0.0873508571985858,6388.243374522061,-93643.837895449,2.445381877882943
1,108,gmm_spherical,5,0.1072646603293861,6255.560315518516,-96853.41744968313,2.1678528271555693
1,108,gmm_spherical,6,0.1216810930760649,6012.133050372574,-99858.3558575418,2.019055132765567
1,108,gmm_spherical,7,0.1045495801563952,5661.655222141455,-103025.00139803544,1.8462308090287392
1,108,gmm_tied,2,0.2413039156416454,3581.647358960849,-103728.40034695406,1.8113483603290987
1,108,gmm_tied,3,0.1419757551870142,6035.6161694331295,-104214.85349695978,2.019521047548849
1,108,gmm_tied,4,0.146092882887969,5716.325152982246,-115612.10727227968,1.8549784240288387
1,108,gmm_tied,5,0.1430238395709818,6459.0661412199215,-115851.75215368996,1.785573927464941
1,108,gmm_tied,6,0.1273351864376822,5182.868245413405,-117741.00747401408,1.7735705349674025
1,108,gmm_tied,7,0.1123397432433183,5039.2779722616815,-118041.61062966236,1.8418127592433
1,108,kmeans,2,0.1869534638846929,10527.429076674787,9059.159178297254,1.999247111151861
1,108,kmeans,3,0.1543169706063366,9624.733584349067,7948.795049328297,1.794108687520661
1,108,kmeans,4,0.1581523485842584,8108.867083805636,7356.766013518349,1.8006011267034574
1,108,kmeans,5,0.1340608965358947,7344.354036157654,6891.7797404163375,1.7827525751551327
1,108,kmeans,6,0.1502097604091033,6973.112599794475,6437.512078997593,1.6783140415359146
1,108,kmeans,7,0.1399624914342693,6656.317222498546,6082.07153013377,1.6254231984978442
1,108,nnmf,2,0.3526314118601445,2313.598384949231,77.34835223546477,1.1710246672545634
1,108,nnmf,3,0.1648521233040907,3354.169294447134,64.701939894309,2.0109973556564853
1,108,nnmf,4,0.1459758776573732,2878.820272481474,52.72921001339801,1.8440997562084436
1,108,nnmf,5,0.2317651797926851,1387.906406887333,37.32620034587268,1.580462652937879
1,108,nnmf,6,0.2260127556678298,1243.6644898056436,25.58286365745948,1.5984382037529945
1,108,nnmf,7,0.1875809724132877,1199.6921903613245,0.5799838569355679,1.6494358166547107
2,75,gmm_diag,2,0.1540550886627936,8395.993042846449,-106780.47491388746,2.2865959037508885
2,75,gmm_diag,3,0.059964710118741,5092.880684395285,-122819.26997472356,2.9423074101669777
2,75,gmm_diag,4,0.0401390145442002,4138.214557044735,-155757.64887180217,3.957390479156917
2,75,gmm_diag,5,0.0308278966993017,3832.997418977231,-162507.83805984948,3.607086301946251
2,75,gmm_diag,6,0.0386134887270131,3737.658443502899,-167296.3091130272,3.2090040050766926
2,75,gmm_diag,7,0.0145320204978097,3363.584124917659,-169880.32924594937,3.21843613048253
2,75,gmm_full,2,0.160660275198012,6216.00145097069,-124545.24546269032,2.639428650145407
2,75,gmm_full,3,0.0230914979040512,4080.1613904535766,-132898.81686436935,3.756831232705732
2,75,gmm_full,4,0.026129728281373,3533.5481999190324,-168135.16983181614,3.2569272863770067
2,75,gmm_full,5,0.0183763860737717,3344.285364132574,-172456.5916594402,3.44401825458692
2,75,gmm_full,6,0.0212318189424132,3090.969072443738,-174902.49248195096,3.2098191914020617
2,75,gmm_full,7,0.00072869499995,2837.2195760881195,-176693.51600599466,3.612396064077483
2,75,gmm_spherical,2,0.2145703058829117,8600.52461018339,-76747.61062764308,2.2078118315658126
2,75,gmm_spherical,3,0.1264313947897486,8307.802811927191,-86754.0936205544,1.9042001443617904
2,75,gmm_spherical,4,0.0838385370317782,6354.689798204457,-93619.16923416928,2.4124709207858945
2,75,gmm_spherical,5,0.108632615882505,6286.257775839726,-96804.9988151228,2.164586579461049
2,75,gmm_spherical,6,0.1114516899851751,5805.017572318141,-99907.16272572364,1.9492116233332384
2,75,gmm_spherical,7,0.1042885656514989,5654.6799364757,-103013.73182025211,1.8428002864886552
2,75,gmm_tied,2,0.2412904788776169,3582.2941871592006,-103728.24446763948,1.8114535432695988
