method,number_cluster,silhouette_score_avg,ch_score_avg,model_specific_score_avg,db_score_avg,silhouette_score_std,ch_score_std,model_specific_score_std,db_score_std
gmm_diag,2,0.15403739090529617,8395.880840256408,-106780.97404025069,2.286605160383672,1.53267075828449e-05,0.09717029334578837,0.2945615246791497,8.016479144083551e-06
gmm_diag,3,0.05965242242930827,5112.916518220122,-122773.3248188958,2.931737529874813,0.00012328206126785676,4.948773435155701,15.458367956117135,0.00294266671348067
gmm_diag,4,0.04634576440673921,4328.663160903664,-147269.7677649201,3.56099425137935,0.014791404357326253,342.3953100786706,14760.208878198606,0.9343600902118441
gmm_diag,5,0.030875255928323558,3830.5744120229715,-162531.76347721313,3.5991517592431266,0.00021945847985733219,3.196085441110558,15.197252574898569,0.004900978910731718
gmm_diag,6,0.03669786831420094,3721.408896644411,-167227.24995783888,3.2378846809490134,0.0013931497179799914,7.179812048084067,57.28594768525998,0.015230062879655374
gmm_diag,7,0.014232386989430973,3386.7508419199603,-169642.72593680595,3.1411790516931823,8.454053011097114e-05,10.224450795527728,74.59832735158892,0.004425764929099778
gmm_full,2,0.1606156104437548,6214.256511217071,-124545.72831816568,2.639931673711155,2.8458461180516472e-05,0.9873593581814298,0.27793641725531576,0.00028780506616175546
gmm_full,3,0.023391478623788126,4083.219124523497,-132895.36468978864,3.758853283592723,0.00046111333961330105,2.992010987433829,8.017169168263818,0.007078606547958371
gmm_full,4,0.02794281504185152,3697.974358251047,-157868.50978020488,3.289609883430124,0.004832474620945812,266.0842135094701,17693.14102883954,0.1264579850931168
gmm_full,5,0.018630729703878506,3383.614483894944,-172505.0525153474,3.391895259101416,0.00206202425859096,93.46393579743065,180.91352083006703,0.021187930438465973
gmm_full,6,0.012768202221909738,3079.078613384622,-174502.3834966674,3.618801457635397,0.00784604831433839,33.3465686637726,368.0346151385275,0.4714519031864566
gmm_full,7,0.0007944407714808926,2803.7866250564657,-176855.8914289896,3.741830530118689,0.0029801707017475965,21.27304022942458,224.9805295318786,0.26035427770316705
gmm_spherical,2,0.2145496905591497,8600.835143900958,-76747.59369924529,2.207850676323387,3.0611968803972445e-05,0.8478055007690187,0.09200423883569064,0.00010864548312831294
gmm_spherical,3,0.126439218702356,8309.398897473724,-86753.5305954501,1.9037402806896886,2.7850518623686466e-05,2.3336051554759263,1.1142889510403322,0.0004457001246363716
gmm_spherical,4,0.08602551710440091,6342.022539809705,-93629.89581237997,2.447951740114339,0.0027514985094800456,82.34544160921585,22.891697111942474,0.0033059299828511247
gmm_spherical,5,0.10615899826429102,6190.381300873228,-96948.80767476877,2.188093258650124,0.0019983849631996665,77.99790846741419,118.67577097694567,0.01936082717578403
gmm_spherical,6,0.11180772023629619,5799.7072552461905,-99887.83608216127,1.9518514831649976,0.00044801031835641956,15.235195825484357,9.47442745188852,0.0008185582984445544
gmm_spherical,7,0.10737695252367631,5723.182575953273,-102641.4650147339,1.8113951095634393,0.0003048935086416874,21.67346628737969,90.18626435966394,0.011037957990404416
gmm_tied,2,0.2412994367203026,3581.8629683602994,-103728.27339735389,1.8113834213092652,7.75771932892732e-06,0.37344643443781034,0.10976072560023709,6.072739901189125e-05
gmm_tied,3,0.18325354808645397,4681.630435960521,-111740.78633666346,1.9227513453317953,0.035763159367136595,1173.5957910111104,6519.363093339035,0.08443613004631952
gmm_tied,4,0.1459721490496438,5712.619142441669,-115614.35547129968,1.8563485738115244,3.347411465495866e-05,4.071990830833457,3.7646312545512584,0.002694674846958179
gmm_tied,5,0.13755712857595295,5496.833175979796,-117549.95416976174,1.8130360314872542,0.0003843277034498559,17.39036576015377,23.78486461245407,0.0023252217462129995
gmm_tied,6,0.12475080454484715,5162.302888418111,-117658.37187820014,1.7788709813433783,0.004410146371985873,135.86486402898043,162.28899952054766,0.01247263494045013
gmm_tied,7,0.11496519403080717,5151.062413982424,-117991.13971844509,1.8463009803195953,0.001236653847273016,84.24928027301921,70.98445762901433,0.014729640729204853
kmeans,2,0.18673454295121236,10526.823133483535,9059.166629087367,2.0001379252533478,4.7234788573036645e-05,1.6666300354865933,0.0038177149407641526,0.00033584766798170783
kmeans,3,0.1542524667222633,9626.292954077551,7948.79161264727,1.7928722997950512,5.3724884654835365e-05,2.0340257625264284,0.0130694672606339,0.0010896870968889556
kmeans,4,0.15815522044697652,8109.294266122185,7356.865440287055,1.8024547971340945,1.4673037941947354e-05,1.0567594014457946,0.0368115641400807,0.004756984697091371
kmeans,5,0.14415529851939327,7362.4342289280185,6871.096557396297,1.7404289860312776,0.00043999191070075486,2.8640533369429164,0.056616693477410905,0.0011208061830886447
kmeans,6,0.14911097203949134,6967.409869569689,6439.425742188282,1.686564543934421,0.0020784931911378406,10.02776198996718,3.3468112472813685,0.018153523271517112
kmeans,7,0.14022508104233997,6653.151816064809,6082.050606912618,1.620910375928341,0.00020336397449145714,4.962602306026633,0.07748141142919399,0.00797580493363327
