iteration,random_seed,method,number_cluster,silhouette_score,ch_score,model_specific_score,db_score
0,51,gmm_full,1,,,-67805.98142468228,
0,51,gmm_full,2,0.21692068226636554,9587.550475581585,-88399.28268571623,1.9965381642704498
0,51,gmm_full,3,0.11888412427577459,8138.022509384269,-91546.11772216522,1.9825188243786747
0,51,gmm_full,4,0.05666416364041091,5563.0322741348955,-129734.75824150126,3.3756575625506704
0,51,gmm_full,5,0.03874883198399907,4450.512448763107,-132756.16324518656,3.8384754761697435
0,51,gmm_full,6,0.033589043039515876,4331.059004395141,-133586.49423628513,3.144881267533309
0,51,gmm_full,7,0.020940474701853295,4365.753382663986,-133375.8744908208,3.332120890159953
0,51,gmm_tied,1,,,-67805.98142468232,
0,51,gmm_tied,2,0.29594718820638183,4927.526898816627,-79226.37743763109,1.4947026571559114
0,51,gmm_tied,3,0.19491235881505958,8868.872446465386,-79726.8820042706,1.6105894011060975
0,51,gmm_tied,4,0.19356446283745243,9283.061349016392,-82508.44027292053,1.5121479588759852
0,51,gmm_tied,5,0.11562281223558543,8128.929936041446,-82686.95106834295,1.8828962656163466
0,51,gmm_tied,6,0.15497669829524457,7363.795470734155,-84742.90117431125,1.6119123316248942
0,51,gmm_tied,7,0.1566970877223698,6919.834677476105,-86504.42967679953,1.6603689041311824
0,51,gmm_diag,1,,,-47979.68658704199,
0,51,gmm_diag,2,0.2107128720475594,12615.431214533339,-79124.65137901128,1.7907197652965587
0,51,gmm_diag,3,0.083989683409511,7187.525672735295,-120026.69394198382,2.9075391505445882
0,51,gmm_diag,4,0.05956643812014766,5785.988467514195,-125444.34330497141,3.763146673540044
0,51,gmm_diag,5,0.07242394659894767,5651.280553316526,-128301.69012088,3.2430007264514997
0,51,gmm_diag,6,0.04809409723258138,5084.409243559652,-130478.64834520585,2.7678581138684852
0,51,gmm_diag,7,0.04480306205557927,4820.146552819569,-131724.4764992687,2.8370527489270883
0,51,gmm_spherical,1,,,-43012.16371162263,
0,51,gmm_spherical,2,0.24387784256096373,12416.495047415481,-56608.49630298848,1.7870495712061139
0,51,gmm_spherical,3,0.19116824294057666,12682.119536366436,-67579.90458359674,1.5022794647063995
0,51,gmm_spherical,4,0.17278305317181447,10970.859575696324,-73158.08059943428,1.6067011316838056
0,51,gmm_spherical,5,0.1890126661656378,10616.830324344442,-75566.3905194542,1.4289433144811587
0,51,gmm_spherical,6,0.16036801440348708,9354.7256915923,-79229.37782668007,1.600706739939054
0,51,gmm_spherical,7,0.16243211545444103,9164.852106179938,-81111.90046964788,1.5467019210896553
0,51,kmeans,1,,,7487.960379744773,
0,51,kmeans,2,0.22790936323097874,13955.621964767606,5772.411553656868,1.6866544976605509
0,51,kmeans,3,0.21040378111760946,13829.872748544782,4767.2473224470505,1.4376436283198206
0,51,kmeans,4,0.1931092468790419,12128.694926628325,4253.327057484612,1.4903756928231968
0,51,kmeans,5,0.1972494903779884,11288.211144369456,3851.903712250916,1.4293595796296656
0,51,kmeans,6,0.17372097346573184,10462.892863911728,3588.401680993881,1.5199600500187682
0,51,kmeans,7,0.1786586431867837,9934.414045156085,3344.477637059742,1.4574772193567007
0,51,nnmf,1,,,71.72494039948448,
0,51,nnmf,2,0.20251867013498243,12788.354710976782,53.60121343115661,1.7698252159413346
0,51,nnmf,3,0.16440122387739298,10157.9871087986,37.740822369656414,1.672983780252201
0,51,nnmf,4,0.1869700053876314,10365.76583383068,25.18909499053393,1.6438256472963602
0,51,nnmf,5,0.12437784752092779,8177.504221085878,0.5720743709808417,1.8880954259476652
0,51,nnmf,6,0.0754118492136249,5749.334527834181,0.45279206577613146,2.514731296555
0,51,nnmf,7,0.12647325850986085,6964.750375640721,0.5552599520782985,1.9461124277522077
1,108,gmm_full,1,,,-67805.98142468228,
1,108,gmm_full,2,0.21567237476251,9897.743728552707,-88388.92541440658,1.9735200146742327
1,108,gmm_full,3,0.11897362473514939,8141.937211099047,-91547.28652378518,1.9823867896705039
1,108,gmm_full,4,0.05666762646192624,5561.882084843992,-129735.39800538721,3.3760430259190066
1,108,gmm_full,5,0.061145138944358385,5276.2696742044045,-131159.8533537048,2.8096534051857156
1,108,gmm_full,6,0.03290820251641423,4643.162468919502,-133169.47043940236,2.6927329937561786
1,108,gmm_full,7,0.028984625203611263,4050.4558108821675,-134003.44426071335,3.0214361516759496
1,108,gmm_tied,1,,,-67805.98142468232,
1,108,gmm_tied,2,0.29594718820638183,4927.526898816627,-79225.81631648428,1.4947026571559114
1,108,gmm_tied,3,0.19491274295928934,8868.813926386583,-79726.92153635033,1.610605642641449
1,108,gmm_tied,4,0.1938616716722123,9316.64206177702,-82487.01638934987,1.5130701535903144
1,108,gmm_tied,5,0.18149999017548607,9848.059477681145,-81969.93679300866,1.4759532459580256
1,108,gmm_tied,6,0.15882013466980832,7343.705561912266,-84746.14554043612,1.586596270584401
1,108,gmm_tied,7,0.13797746468262154,6828.357641401382,-84838.55154287528,1.540821950459306
1,108,gmm_diag,1,,,-47979.68658704199,
1,108,gmm_diag,2,0.21314840059851053,12659.216173357161,-79067.61765776115,1.7856203506410828
1,108,gmm_diag,3,0.0839950977606092,7187.403458589172,-120026.64310930902,2.907275039301684
1,108,gmm_diag,4,0.0595778922280613,5787.443518357284,-125446.39075570257,3.761365501201338
1,108,gmm_diag,5,0.07273881090600018,5656.155380082107,-128281.50870923976,3.222694929907477
1,108,gmm_diag,6,0.04790983409385841,5083.975238914249,-130490.88095064112,2.760507363180409
1,108,gmm_diag,7,0.031301342273196454,4611.754925833103,-131608.28984496108,2.8895462514450996
1,108,gmm_spherical,1,,,-43012.16371162263,
1,108,gmm_spherical,2,0.243793762824529,12414.68124852393,-56607.98843255494,1.787399053605217
1,108,gmm_spherical,3,0.1911947255666864,12681.097738637563,-67578.18669737695,1.5025068853625327
1,108,gmm_spherical,4,0.17279212958736717,10972.087970732951,-73153.31428500987,1.606051203181867
1,108,gmm_spherical,5,0.189012504534454,10616.471096733401,-75566.24244455216,1.4289391170421593
1,108,gmm_spherical,6,0.1537456274947359,9226.534993358626,-79230.00704476437,1.6260164311807312
