date,R_t
2020-07-31,1.5578911
2020-08-01,1.5733693
2020-08-02,1.5890088
2020-08-03,1.6048149
2020-08-04,1.6208018
2020-08-05,1.6369647
2020-08-06,1.6533186
2020-08-07,1.6677581
2020-08-08,1.6840845
2020-08-09,1.7084653
2020-08-10,1.7411696
2020-08-11,1.7853214
2020-08-12,1.8342644
2020-08-13,1.8846171
2020-08-14,1.9217368
2020-08-15,1.9347975
2020-08-16,1.9122659
2020-08-17,1.8534777
2020-08-18,1.7604091
2020-08-19,1.6437863
2020-08-20,1.5172426
2020-08-21,1.3875061
2020-08-22,1.2645712
2020-08-23,1.1504999
2020-08-24,1.0510792
2020-08-25,0.9722392
2020-08-26,0.91127795
2020-08-27,0.8716915
2020-08-28,0.8468842
2020-08-29,0.8324595
2020-08-30,0.82958406
2020-08-31,0.8321517
2020-09-01,0.8389064
2020-09-02,0.8509503
2020-09-03,0.87149245
2020-09-04,0.9018154
2020-09-05,0.9421087
2020-09-06,0.9975371
2020-09-07,1.05847
2020-09-08,1.117831
2020-09-09,1.1626446
2020-09-10,1.1895964
2020-09-11,1.2098777
2020-09-12,1.2373719
2020-09-13,1.2783345
2020-09-14,1.332165
2020-09-15,1.3833797
2020-09-16,1.4174112
2020-09-17,1.4437286
2020-09-18,1.4787861
2020-09-19,1.5304272
2020-09-20,1.5952148
2020-09-21,1.6565951
2020-09-22,1.6887751
2020-09-23,1.6658942
2020-09-24,1.6012057
2020-09-25,1.5092597
2020-09-26,1.3930163
2020-09-27,1.2680802
2020-09-28,1.1599029
2020-09-29,1.064365
2020-09-30,0.9855553
2020-10-01,0.93155897
2020-10-02,0.8934916
2020-10-03,0.86672467
2020-10-04,0.8563844
2020-10-05,0.86829877
2020-10-06,0.9078901
2020-10-07,0.97412467
2020-10-08,1.055309
2020-10-09,1.1335078
2020-10-10,1.1925839
2020-10-11,1.2298611
2020-10-12,1.2467283
2020-10-13,1.2492735
2020-10-14,1.2405825
2020-10-15,1.2312276
2020-10-16,1.2235409
2020-10-17,1.2195097
2020-10-18,1.2186085
2020-10-19,1.2243315
2020-10-20,1.2396253
2020-10-21,1.2607757
2020-10-22,1.2828096
2020-10-23,1.3036481
2020-10-24,1.3266103
2020-10-25,1.3431685
2020-10-26,1.3477597
2020-10-27,1.3313752
2020-10-28,1.2979964
2020-10-29,1.2516043
2020-10-30,1.2024449
2020-10-31,1.1497934
2020-11-01,1.0976889
2020-11-02,1.0492005
2020-11-03,1.002903
2020-11-04,0.96151036
2020-11-05,0.9326742
2020-11-06,0.9224143
2020-11-07,0.92551315
2020-11-08,0.927809
2020-11-09,0.92441434
2020-11-10,0.9217516
2020-11-11,0.92319316
2020-11-12,0.93073577
2020-11-13,0.944758
2020-11-14,0.96207523
2020-11-15,0.97836936
2020-11-16,0.9857651
2020-11-17,0.9852196
2020-11-18,0.989108
2020-11-19,1.0023103
2020-11-20,1.0230489
2020-11-21,1.0496616
2020-11-22,1.0729858
2020-11-23,1.0912398
2020-11-24,1.1101758
2020-11-25,1.1347342
2020-11-26,1.1740373
2020-11-27,1.242588
2020-11-28,1.3411576
2020-11-29,1.4524115
2020-11-30,1.5539596
2020-12-01,1.6283501
2020-12-02,1.668259
2020-12-03,1.6738391
2020-12-04,1.6462963
2020-12-05,1.5922227
2020-12-06,1.5332274
2020-12-07,1.4933535
2020-12-08,1.5055743
2020-12-09,1.5627735
2020-12-10,1.6043433
2020-12-11,1.6409389
2020-12-12,1.6987764
2020-12-13,1.7028176
2020-12-14,1.5616739
2020-12-15,1.3281229
2020-12-16,1.127212
2020-12-17,0.99436176
2020-12-18,0.91048104
2020-12-19,0.8587903
2020-12-20,0.83657277
2020-12-21,0.81398207
2020-12-22,0.80937
2020-12-23,0.8551771
2020-12-24,0.9300234
2020-12-25,0.96801364
2020-12-26,0.94024855
2020-12-27,0.87592924
2020-12-28,0.77679217
2020-12-29,0.7197307
2020-12-30,0.73768747
2020-12-31,0.79005015
2021-01-01,0.829065
2021-01-02,0.84482914
2021-01-03,0.85631275
2021-01-04,0.8491162
2021-01-05,0.8366041
2021-01-06,0.82363266
2021-01-07,0.7968585
2021-01-08,0.78013295
2021-01-09,0.7818076
2021-01-10,0.79222417
2021-01-11,0.80283624
2021-01-12,0.81947714
2021-01-13,0.8435679
2021-01-14,0.8654431
2021-01-15,0.8713101
2021-01-16,0.84822327
2021-01-17,0.79001504
2021-01-18,0.69911045
2021-01-19,0.6108853
2021-01-20,0.54819286
2021-01-21,0.50312704
2021-01-22,0.46931934
2021-01-23,0.44631362
2021-01-24,0.42994493
2021-01-25,0.41652524
2021-01-26,0.40628356
2021-01-27,0.39906174
2021-01-28,0.39416245
2021-01-29,0.39156255
2021-01-30,0.39085165
2021-01-31,0.3908686
