date,R_t
2020-08-01,1.7992357
2020-08-02,1.7917985
2020-08-03,1.7843908
2020-08-04,1.7770096
2020-08-05,1.7696562
2020-08-06,1.7623297
2020-08-07,1.7550211
2020-08-08,1.7445453
2020-08-09,1.7308035
2020-08-10,1.713922
2020-08-11,1.6943959
2020-08-12,1.6728358
2020-08-13,1.64985
2020-08-14,1.6261878
2020-08-15,1.6026038
2020-08-16,1.5797364
2020-08-17,1.5580796
2020-08-18,1.5382111
2020-08-19,1.5205303
2020-08-20,1.5053916
2020-08-21,1.4931118
2020-08-22,1.483792
2020-08-23,1.4772931
2020-08-24,1.4734086
2020-08-25,1.4718485
2020-08-26,1.4722403
2020-08-27,1.4743322
2020-08-28,1.4776696
2020-08-29,1.4815145
2020-08-30,1.4850583
2020-08-31,1.4874966
2020-09-01,1.4883277
2020-09-02,1.4867631
2020-09-03,1.4820813
2020-09-04,1.4739891
2020-09-05,1.4624188
2020-09-06,1.447908
2020-09-07,1.4309738
2020-09-08,1.4113139
2020-09-09,1.3884271
2020-09-10,1.3625939
2020-09-11,1.3346963
2020-09-12,1.3052275
2020-09-13,1.2747226
2020-09-14,1.2433566
2020-09-15,1.210896
2020-09-16,1.1776416
2020-09-17,1.1444896
2020-09-18,1.1119411
2020-09-19,1.0798779
2020-09-20,1.049245
2020-09-21,1.0211096
2020-09-22,0.99590695
2020-09-23,0.97364336
2020-09-24,0.9546683
2020-09-25,0.93995
2020-09-26,0.92959344
2020-09-27,0.9226899
2020-09-28,0.9186938
2020-09-29,0.9178091
2020-09-30,0.9199794
2020-10-01,0.92518574
2020-10-02,0.9339374
2020-10-03,0.94652987
2020-10-04,0.9624774
2020-10-05,0.9816339
2020-10-06,1.0050838
2020-10-07,1.0327241
2020-10-08,1.0632333
2020-10-09,1.0951653
2020-10-10,1.1269399
2020-10-11,1.1575997
2020-10-12,1.1862543
2020-10-13,1.2130883
2020-10-14,1.2388257
2020-10-15,1.2637591
2020-10-16,1.2881392
2020-10-17,1.3117561
2020-10-18,1.3333051
2020-10-19,1.3518597
2020-10-20,1.3679446
2020-10-21,1.380724
2020-10-22,1.388816
2020-10-23,1.390241
2020-10-24,1.3834115
2020-10-25,1.367646
2020-10-26,1.3423619
2020-10-27,1.3094698
2020-10-28,1.272043
2020-10-29,1.2315363
2020-10-30,1.1890764
2020-10-31,1.146023
2020-11-01,1.1039531
2020-11-02,1.064621
2020-11-03,1.0289695
2020-11-04,0.99837685
2020-11-05,0.9755378
2020-11-06,0.96232355
2020-11-07,0.955853
2020-11-08,0.95082784
2020-11-09,0.94489026
2020-11-10,0.94070137
2020-11-11,0.9397632
2020-11-12,0.94183093
2020-11-13,0.94572574
2020-11-14,0.9487732
2020-11-15,0.9491906
2020-11-16,0.945551
2020-11-17,0.94028777
2020-11-18,0.94004214
2020-11-19,0.94905674
2020-11-20,0.967116
2020-11-21,0.99341804
2020-11-22,1.0261066
2020-11-23,1.063557
2020-11-24,1.1074
2020-11-25,1.1593587
2020-11-26,1.2209913
2020-11-27,1.2947454
2020-11-28,1.3773546
2020-11-29,1.4589175
2020-11-30,1.5286881
2020-12-01,1.5804075
2020-12-02,1.6150085
2020-12-03,1.636097
2020-12-04,1.6450616
2020-12-05,1.6410284
2020-12-06,1.6285065
2020-12-07,1.6149247
2020-12-08,1.615223
2020-12-09,1.6271214
2020-12-10,1.626968
2020-12-11,1.6173189
2020-12-12,1.6015265
2020-12-13,1.5489124
2020-12-14,1.4342763
2020-12-15,1.2806834
2020-12-16,1.1376946
2020-12-17,1.0285554
2020-12-18,0.9518753
2020-12-19,0.90332025
2020-12-20,0.8777773
2020-12-21,0.8595675
2020-12-22,0.8520359
2020-12-23,0.86439717
2020-12-24,0.8848369
2020-12-25,0.8900759
2020-12-26,0.87327814
2020-12-27,0.84433144
2020-12-28,0.8034076
2020-12-29,0.777999
2020-12-30,0.7841208
2020-12-31,0.80484426
2021-01-01,0.82125354
2021-01-02,0.8297332
2021-01-03,0.83610696
2021-01-04,0.8351496
2021-01-05,0.831214
2021-01-06,0.82613045
2021-01-07,0.81537265
2021-01-08,0.807662
2021-01-09,0.8065392
2021-01-10,0.8085434
2021-01-11,0.80995655
2021-01-12,0.8117409
2021-01-13,0.81280595
2021-01-14,0.8087319
2021-01-15,0.79504013
2021-01-16,0.76899487
2021-01-17,0.7303722
2021-01-18,0.6806956
2021-01-19,0.6312264
2021-01-20,0.5912553
2021-01-21,0.5594642
2021-01-22,0.53409475
2021-01-23,0.51531845
2021-01-24,0.50135344
2021-01-25,0.49036354
2021-01-26,0.482253
2021-01-27,0.47670212
2021-01-28,0.47312245
2021-01-29,0.47129127
2021-01-30,0.470784
2021-01-31,0.470794
