iteration,R0,sigma,phi,alpha
0,1.6685482263565063,0.03108416497707367,24.723875045776367,0.03144863247871399
1,1.7144893407821655,0.032435961067676544,24.7334041595459,0.02788550965487957
2,1.6802024841308594,0.030756287276744843,24.713809967041016,0.029396554455161095
3,1.5322842597961426,0.045013729482889175,24.586307525634766,0.0498601533472538
4,1.4999998807907104,0.09744670987129211,25.0,0.027999991551041603
5,1.4999998807907104,0.0937473326921463,25.0,0.027999991551041603
6,1.480301022529602,0.09850947558879852,24.25768280029297,0.013811063952744007
7,1.7122948169708252,0.027902450412511826,24.72891616821289,0.028795747086405754
8,1.9028911590576172,0.02806008979678154,24.63848304748535,0.029749082401394844
9,1.477565884590149,0.09996473789215088,24.718542098999023,0.00941333919763565
10,1.7831835746765137,0.028156664222478867,24.666059494018555,0.028966834768652916
11,2.04555344581604,0.028833478689193726,24.551759719848633,0.02647959627211094
12,1.4999998807907104,0.09824856370687485,25.0,0.027999991551041603
13,1.4796408414840698,0.09106294810771942,24.29205894470215,0.019351176917552948
14,1.4746228456497192,0.09764508157968521,24.974504470825195,0.006515461951494217
15,1.5070210695266724,0.05253920704126358,24.211750030517578,0.046694327145814896
16,1.470231294631958,0.09735120087862015,24.96983528137207,0.004453104920685291
17,1.4999998807907104,0.10217797011137009,25.0,0.027999991551041603
18,1.4999998807907104,0.09650687873363495,25.0,0.027999991551041603
19,1.475082278251648,0.10510307550430298,24.974985122680664,0.006798414513468742
20,1.490522027015686,0.04380229115486145,24.685701370239258,0.020405147224664688
21,1.4999998807907104,0.0983932837843895,24.96472930908203,0.027999991551041603
22,1.8536481857299805,0.028901614248752594,24.632640838623047,0.029348738491535187
23,1.4999998807907104,0.0976104885339737,25.0,0.027999991551041603
24,1.474789023399353,0.10076972097158432,24.974441528320312,0.006647493690252304
25,1.5232104063034058,0.04601951688528061,24.70697593688965,0.04940352588891983
26,1.4730415344238281,0.09084656089544296,24.973052978515625,0.005499137565493584
27,1.48534095287323,0.05589064955711365,24.464933395385742,0.039704520255327225
28,1.4811781644821167,0.0878847986459732,24.927431106567383,0.010196566581726074
29,1.4695407152175903,0.09506577253341675,24.966562271118164,0.004277598112821579
30,1.4999998807907104,0.10062315315008163,24.466468811035156,0.027999991551041603
31,1.4756299257278442,0.10317400097846985,24.975500106811523,0.007090944796800613
32,1.8555538654327393,0.028196485713124275,24.618682861328125,0.029567604884505272
33,1.5909404754638672,0.04224352538585663,24.709918975830078,0.034896451979875565
34,1.4747461080551147,0.09934509545564651,24.97481346130371,0.006884006783366203
35,1.4665721654891968,0.1898554265499115,24.96605110168457,0.003431101329624653
36,1.4999998807907104,0.10011986643075943,25.0,0.027999991551041603
37,1.8970999717712402,0.03208785876631737,24.628263473510742,0.02762611210346222
38,1.495245099067688,0.07149232178926468,24.716245651245117,0.017031293362379074
39,1.4530335664749146,0.028111720457673073,24.679502487182617,0.03188302740454674
