date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.058182433
2020-08-03,0.17504044
2020-08-04,0.3765925
2020-08-05,0.601897
2020-08-06,0.8460257
2020-08-07,1.0897248
2020-08-08,1.2674032
2020-08-09,1.4344087
2020-08-10,1.5959374
2020-08-11,1.7523099
2020-08-12,1.9069107
2020-08-13,2.0598462
2020-08-14,2.210881
2020-08-15,2.3643675
2020-08-16,2.5167675
2020-08-17,2.6703448
2020-08-18,2.8241458
2020-08-19,2.9813683
2020-08-20,3.1436882
2020-08-21,3.310989
2020-08-22,3.4825442
2020-08-23,3.6557226
2020-08-24,3.8337812
2020-08-25,4.019303
2020-08-26,4.211625
2020-08-27,4.409731
2020-08-28,4.6095457
2020-08-29,4.818818
2020-08-30,5.039684
2020-08-31,5.2743287
2020-09-01,5.5207834
2020-09-02,5.77426
2020-09-03,6.040607
2020-09-04,6.322311
2020-09-05,6.6142945
2020-09-06,6.925742
2020-09-07,7.2471623
2020-09-08,7.5822678
2020-09-09,7.9285483
2020-09-10,8.286867
2020-09-11,8.658931
2020-09-12,9.037024
2020-09-13,9.419995
2020-09-14,9.810908
2020-09-15,10.208263
2020-09-16,10.628164
2020-09-17,11.048158
2020-09-18,11.475964
2020-09-19,11.913592
2020-09-20,12.350471
2020-09-21,12.780222
2020-09-22,13.204599
2020-09-23,13.620616
2020-09-24,14.032429
2020-09-25,14.451203
2020-09-26,14.869502
2020-09-27,15.2989645
2020-09-28,15.741483
2020-09-29,16.196238
2020-09-30,16.652405
2020-10-01,17.124426
2020-10-02,17.605968
2020-10-03,18.10682
2020-10-04,18.639858
2020-10-05,19.204668
2020-10-06,19.799606
2020-10-07,20.418789
2020-10-08,21.06096
2020-10-09,21.724226
2020-10-10,22.41496
2020-10-11,23.107338
2020-10-12,23.825777
2020-10-13,24.580677
2020-10-14,25.39703
2020-10-15,26.28886
2020-10-16,27.24825
2020-10-17,28.272732
2020-10-18,29.369553
2020-10-19,30.507978
2020-10-20,31.699345
2020-10-21,32.91329
2020-10-22,34.12137
2020-10-23,35.338654
2020-10-24,36.546
2020-10-25,37.737335
2020-10-26,38.899757
2020-10-27,40.001266
2020-10-28,41.073822
2020-10-29,42.12493
2020-10-30,43.14209
2020-10-31,44.127422
2020-11-01,45.08783
2020-11-02,46.03552
2020-11-03,46.957485
2020-11-04,47.82089
2020-11-05,48.707813
2020-11-06,49.590286
2020-11-07,50.46042
2020-11-08,51.332108
2020-11-09,52.245865
2020-11-10,53.17211
2020-11-11,54.165245
2020-11-12,55.082546
2020-11-13,56.00881
2020-11-14,56.955753
2020-11-15,57.907925
2020-11-16,58.83886
2020-11-17,59.82654
2020-11-18,60.833702
2020-11-19,61.926037
2020-11-20,63.061684
2020-11-21,64.265305
2020-11-22,65.54163
2020-11-23,66.858215
2020-11-24,68.25624
2020-11-25,69.764854
2020-11-26,71.34083
2020-11-27,72.99282
2020-11-28,74.73552
2020-11-29,76.56843
2020-11-30,78.50525
2020-12-01,80.497734
2020-12-02,82.55808
2020-12-03,84.747955
2020-12-04,87.01068
2020-12-05,89.31478
2020-12-06,91.69547
2020-12-07,94.194954
2020-12-08,96.74477
2020-12-09,99.310524
2020-12-10,101.81104
2020-12-11,104.279366
2020-12-12,106.7158
2020-12-13,108.973274
2020-12-14,110.92809
2020-12-15,112.626854
2020-12-16,114.07209
2020-12-17,115.3302
2020-12-18,116.33497
2020-12-19,117.0511
2020-12-20,117.57023
2020-12-21,117.887665
2020-12-22,118.05
2020-12-23,117.99412
2020-12-24,117.84152
2020-12-25,117.702736
2020-12-26,117.6738
2020-12-27,117.69023
2020-12-28,117.85646
2020-12-29,118.10274
2020-12-30,118.49813
2020-12-31,118.68942
2021-01-01,118.56631
2021-01-02,117.97
2021-01-03,117.22227
2021-01-04,116.27885
2021-01-05,115.16887
2021-01-06,113.81519
2021-01-07,112.52307
2021-01-08,111.30349
2021-01-09,110.24773
2021-01-10,109.0703
2021-01-11,107.76623
2021-01-12,106.371475
2021-01-13,104.8876
2021-01-14,103.30993
2021-01-15,101.63965
2021-01-16,99.88539
2021-01-17,98.03811
2021-01-18,96.14731
2021-01-19,94.23167
2021-01-20,92.32027
2021-01-21,90.374725
2021-01-22,88.39511
2021-01-23,86.41327
2021-01-24,84.50235
2021-01-25,82.60989
2021-01-26,80.74373
2021-01-27,78.92482
2021-01-28,77.13523
2021-01-29,75.46552
2021-01-30,73.83474
2021-01-31,72.331894
