date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.058190472
2020-08-03,0.17506462
2020-08-04,0.37664452
2020-08-05,0.60198015
2020-08-06,0.8461426
2020-08-07,1.0898753
2020-08-08,1.2504385
2020-08-09,1.3885465
2020-08-10,1.5128146
2020-08-11,1.6232482
2020-08-12,1.7243316
2020-08-13,1.818279
2020-08-14,1.9041232
2020-08-15,1.9872532
2020-08-16,2.0669878
2020-08-17,2.1409333
2020-08-18,2.2095058
2020-08-19,2.275593
2020-08-20,2.3402705
2020-08-21,2.400641
2020-08-22,2.455256
2020-08-23,2.5023446
2020-08-24,2.5491242
2020-08-25,2.5976136
2020-08-26,2.6455457
2020-08-27,2.6924767
2020-08-28,2.7376852
2020-08-29,2.785312
2020-08-30,2.8385127
2020-08-31,2.8916976
2020-09-01,2.9454942
2020-09-02,2.994482
2020-09-03,3.0439847
2020-09-04,3.0933316
2020-09-05,3.144957
2020-09-06,3.1991534
2020-09-07,3.2529037
2020-09-08,3.3036098
2020-09-09,3.354909
2020-09-10,3.40636
2020-09-11,3.4568553
2020-09-12,3.5016186
2020-09-13,3.544922
2020-09-14,3.5938928
2020-09-15,3.6436791
2020-09-16,3.7027996
2020-09-17,3.7646325
2020-09-18,3.8331544
2020-09-19,3.909849
2020-09-20,3.9931445
2020-09-21,4.0788484
2020-09-22,4.172162
2020-09-23,4.2742863
2020-09-24,4.3784804
2020-09-25,4.4978642
2020-09-26,4.629022
2020-09-27,4.7778587
2020-09-28,4.9466457
2020-09-29,5.136821
2020-09-30,5.3405433
2020-10-01,5.5656676
2020-10-02,5.804122
2020-10-03,6.0604815
2020-10-04,6.332622
2020-10-05,6.62387
2020-10-06,6.932294
2020-10-07,7.253454
2020-10-08,7.5880423
2020-10-09,7.933513
2020-10-10,8.291433
2020-10-11,8.6505995
2020-10-12,9.024154
2020-10-13,9.417879
2020-10-14,9.845649
2020-10-15,10.324226
2020-10-16,10.849753
2020-10-17,11.431871
2020-10-18,12.07066
2020-10-19,12.740067
2020-10-20,13.44763
2020-10-21,14.176028
2020-10-22,14.914374
2020-10-23,15.679947
2020-10-24,16.439592
2020-10-25,17.192968
2020-10-26,17.942636
2020-10-27,18.690834
2020-10-28,19.464264
2020-10-29,20.23841
2020-10-30,20.999216
2020-10-31,21.77126
2020-11-01,22.568834
2020-11-02,23.382332
2020-11-03,24.186148
2020-11-04,24.970854
2020-11-05,25.813217
2020-11-06,26.683502
2020-11-07,27.531073
2020-11-08,28.366394
2020-11-09,29.243925
2020-11-10,30.161274
2020-11-11,31.14012
2020-11-12,32.08509
2020-11-13,33.10636
2020-11-14,34.29523
2020-11-15,35.604797
2020-11-16,37.01671
2020-11-17,38.55319
2020-11-18,40.17085
2020-11-19,41.909203
2020-11-20,43.764896
2020-11-21,45.706516
2020-11-22,47.753216
2020-11-23,49.879528
2020-11-24,52.151024
2020-11-25,54.606617
2020-11-26,57.177204
2020-11-27,59.811935
2020-11-28,62.525833
2020-11-29,65.38235
2020-11-30,68.27143
2020-12-01,71.15735
2020-12-02,74.06574
2020-12-03,77.159775
2020-12-04,80.30846
2020-12-05,83.560936
2020-12-06,87.064514
2020-12-07,90.91896
2020-12-08,95.093285
2020-12-09,99.57285
2020-12-10,104.147255
2020-12-11,108.9253
2020-12-12,113.64112
2020-12-13,117.983826
2020-12-14,121.74984
2020-12-15,125.10095
2020-12-16,127.8586
2020-12-17,130.22626
2020-12-18,132.06227
2020-12-19,133.37875
2020-12-20,134.42311
2020-12-21,135.38777
2020-12-22,136.27884
2020-12-23,136.91194
2020-12-24,137.44403
2020-12-25,138.13707
2020-12-26,138.96521
2020-12-27,139.86998
2020-12-28,140.80418
2020-12-29,141.5831
2020-12-30,142.45366
2020-12-31,142.65393
2021-01-01,141.83757
2021-01-02,139.86916
2021-01-03,137.38512
2021-01-04,134.42331
2021-01-05,131.10875
2021-01-06,127.40897
2021-01-07,123.87657
2021-01-08,120.616295
2021-01-09,117.853065
2021-01-10,114.91086
2021-01-11,111.85427
2021-01-12,108.71007
2021-01-13,105.38544
2021-01-14,102.03203
2021-01-15,98.58687
2021-01-16,95.12996
2021-01-17,91.6766
2021-01-18,88.25744
2021-01-19,84.817444
2021-01-20,81.53605
2021-01-21,78.368645
2021-01-22,75.218346
2021-01-23,72.096176
2021-01-24,69.14338
2021-01-25,66.27798
2021-01-26,63.519516
2021-01-27,60.85459
2021-01-28,58.208508
2021-01-29,55.766945
2021-01-30,53.4134
2021-01-31,51.286224
