date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.011844858
2020-08-03,0.035634965
2020-08-04,0.076667204
2020-08-05,0.12253499
2020-08-06,0.17223504
2020-08-07,0.22184764
2020-08-08,0.25892448
2020-08-09,0.294508
2020-08-10,0.32976955
2020-08-11,0.3650447
2020-08-12,0.4007198
2020-08-13,0.43695748
2020-08-14,0.47361714
2020-08-15,0.511187
2020-08-16,0.5494347
2020-08-17,0.5888887
2020-08-18,0.6294728
2020-08-19,0.6716271
2020-08-20,0.715543
2020-08-21,0.761148
2020-08-22,0.80899626
2020-08-23,0.85900056
2020-08-24,0.9114956
2020-08-25,0.9663922
2020-08-26,1.0238501
2020-08-27,1.084144
2020-08-28,1.1470346
2020-08-29,1.2124145
2020-08-30,1.2806182
2020-08-31,1.3516846
2020-09-01,1.4256617
2020-09-02,1.5029902
2020-09-03,1.58375
2020-09-04,1.668398
2020-09-05,1.7574148
2020-09-06,1.8510846
2020-09-07,1.9488697
2020-09-08,2.0518038
2020-09-09,2.1598024
2020-09-10,2.2721853
2020-09-11,2.3906188
2020-09-12,2.5149817
2020-09-13,2.6454241
2020-09-14,2.783746
2020-09-15,2.9300778
2020-09-16,3.0851114
2020-09-17,3.2488327
2020-09-18,3.4195707
2020-09-19,3.5983977
2020-09-20,3.7861376
2020-09-21,3.9819667
2020-09-22,4.184671
2020-09-23,4.3963833
2020-09-24,4.6181364
2020-09-25,4.851258
2020-09-26,5.0951996
2020-09-27,5.3502197
2020-09-28,5.617743
2020-09-29,5.8996778
2020-09-30,6.194932
2020-10-01,6.506414
2020-10-02,6.833881
2020-10-03,7.1780715
2020-10-04,7.540658
2020-10-05,7.921357
2020-10-06,8.319783
2020-10-07,8.737773
2020-10-08,9.176691
2020-10-09,9.637513
2020-10-10,10.122191
2020-10-11,10.629563
2020-10-12,11.161726
2020-10-13,11.721212
2020-10-14,12.307302
2020-10-15,12.923564
2020-10-16,13.572691
2020-10-17,14.259743
2020-10-18,14.986303
2020-10-19,15.750421
2020-10-20,16.556913
2020-10-21,17.410677
2020-10-22,18.305748
2020-10-23,19.236885
2020-10-24,20.202301
2020-10-25,21.20396
2020-10-26,22.246126
2020-10-27,23.329355
2020-10-28,24.449959
2020-10-29,25.614668
2020-10-30,26.824753
2020-10-31,28.06654
2020-11-01,29.337896
2020-11-02,30.637325
2020-11-03,31.7529
2020-11-04,32.78991
2020-11-05,33.734028
2020-11-06,34.584103
2020-11-07,35.506035
2020-11-08,36.609768
2020-11-09,37.805958
2020-11-10,39.119843
2020-11-11,40.36999
2020-11-12,41.395336
2020-11-13,42.370834
2020-11-14,43.35424
2020-11-15,44.245655
2020-11-16,45.126137
2020-11-17,46.091896
2020-11-18,47.11696
2020-11-19,48.318184
2020-11-20,49.431973
2020-11-21,50.448833
2020-11-22,51.427357
2020-11-23,52.555077
2020-11-24,53.736626
2020-11-25,55.16246
2020-11-26,56.826252
2020-11-27,58.68862
2020-11-28,60.723267
2020-11-29,62.926044
2020-11-30,65.27564
2020-12-01,67.799706
2020-12-02,70.469246
2020-12-03,73.277824
2020-12-04,76.23312
2020-12-05,79.317345
2020-12-06,82.549225
2020-12-07,85.94708
2020-12-08,89.49944
2020-12-09,93.23972
2020-12-10,97.1773
2020-12-11,101.28698
2020-12-12,105.58936
2020-12-13,110.04223
2020-12-14,114.65756
2020-12-15,118.783905
2020-12-16,122.923065
2020-12-17,126.83864
2020-12-18,130.7324
2020-12-19,134.41437
2020-12-20,137.82295
2020-12-21,140.67714
2020-12-22,143.67429
2020-12-23,146.11877
2020-12-24,147.90509
2020-12-25,149.89223
2020-12-26,150.78001
2020-12-27,151.03934
2020-12-28,151.06367
2020-12-29,150.57025
2020-12-30,149.2318
2020-12-31,146.92755
2021-01-01,143.21785
2021-01-02,138.5379
2021-01-03,134.51808
2021-01-04,130.60406
2021-01-05,126.59716
2021-01-06,122.59371
2021-01-07,118.989174
2021-01-08,115.489204
2021-01-09,112.97241
2021-01-10,109.96199
2021-01-11,106.82744
2021-01-12,103.765
2021-01-13,100.77092
2021-01-14,97.86738
2021-01-15,94.99
2021-01-16,92.14366
2021-01-17,89.321915
2021-01-18,86.40326
2021-01-19,83.55598
2021-01-20,80.68307
2021-01-21,77.85718
2021-01-22,75.11546
2021-01-23,72.20311
2021-01-24,69.35165
2021-01-25,66.55301
2021-01-26,63.805313
2021-01-27,61.05141
2021-01-28,58.4322
2021-01-29,55.935596
2021-01-30,53.57669
2021-01-31,51.38378
