date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.057705626
2020-08-03,0.17360596
2020-08-04,0.37350628
2020-08-05,0.5969644
2020-08-06,0.8390925
2020-08-07,1.0807945
2020-08-08,1.242711
2020-08-09,1.3839443
2020-08-10,1.5126505
2020-08-11,1.6286572
2020-08-12,1.736292
2020-08-13,1.8375152
2020-08-14,1.9314057
2020-08-15,2.0232785
2020-08-16,2.112164
2020-08-17,2.1959236
2020-08-18,2.2748384
2020-08-19,2.3518872
2020-08-20,2.4281409
2020-08-21,2.5008674
2020-08-22,2.5684607
2020-08-23,2.6288884
2020-08-24,2.689477
2020-08-25,2.7524023
2020-08-26,2.8152738
2020-08-27,2.8774915
2020-08-28,2.9381018
2020-08-29,3.0017467
2020-08-30,3.071736
2020-08-31,3.1426125
2020-09-01,3.2148592
2020-09-02,3.282624
2020-09-03,3.3516285
2020-09-04,3.4213617
2020-09-05,3.4939535
2020-09-06,3.5702364
2020-09-07,3.6464803
2020-09-08,3.7202103
2020-09-09,3.7950177
2020-09-10,3.8706238
2020-09-11,3.9458702
2020-09-12,4.015311
2020-09-13,4.0831976
2020-09-14,4.157332
2020-09-15,4.232434
2020-09-16,4.3182173
2020-09-17,4.4068465
2020-09-18,4.503041
2020-09-19,4.6085405
2020-09-20,4.7211957
2020-09-21,4.836162
2020-09-22,4.9592786
2020-09-23,5.0918026
2020-09-24,5.2264934
2020-09-25,5.378387
2020-09-26,5.5434203
2020-09-27,5.726926
2020-09-28,5.9284964
2020-09-29,6.1488695
2020-09-30,6.3827953
2020-10-01,6.635636
2020-10-02,6.9021072
2020-10-03,7.185457
2020-10-04,7.484884
2020-10-05,7.8025284
2020-10-06,8.137333
2020-10-07,8.486447
2020-10-08,8.850498
2020-10-09,9.228194
2020-10-10,9.620827
2020-10-11,10.021226
2020-10-12,10.438177
2020-10-13,10.87574
2020-10-14,11.343131
2020-10-15,11.850964
2020-10-16,12.396953
2020-10-17,12.986758
2020-10-18,13.620764
2020-10-19,14.28305
2020-10-20,14.978731
2020-10-21,15.697225
2020-10-22,16.431805
2020-10-23,17.193094
2020-10-24,17.962679
2020-10-25,18.740461
2020-10-26,19.519663
2020-10-27,20.299475
2020-10-28,21.107288
2020-10-29,21.918617
2020-10-30,22.718536
2020-10-31,23.530958
2020-11-01,24.370329
2020-11-02,25.227465
2020-11-03,26.075747
2020-11-04,26.903557
2020-11-05,27.792294
2020-11-06,28.710491
2020-11-07,29.60735
2020-11-08,30.493824
2020-11-09,31.42682
2020-11-10,32.40181
2020-11-11,33.44434
2020-11-12,34.448917
2020-11-13,35.531
2020-11-14,36.76349
2020-11-15,38.095825
2020-11-16,39.51474
2020-11-17,41.03609
2020-11-18,42.6333
2020-11-19,44.332596
2020-11-20,46.12964
2020-11-21,48.010605
2020-11-22,49.987278
2020-11-23,52.043682
2020-11-24,54.218555
2020-11-25,56.53534
2020-11-26,58.956684
2020-11-27,61.45819
2020-11-28,64.04921
2020-11-29,66.76445
2020-11-30,69.55101
2020-12-01,72.37849
2020-12-02,75.24999
2020-12-03,78.29842
2020-12-04,81.43308
2020-12-05,84.67977
2020-12-06,88.123634
2020-12-07,91.818634
2020-12-08,95.744965
2020-12-09,99.894196
2020-12-10,104.15386
2020-12-11,108.585335
2020-12-12,113.05699
2020-12-13,117.19401
2020-12-14,120.787506
2020-12-15,123.98425
2020-12-16,126.62147
2020-12-17,128.89049
2020-12-18,130.65424
2020-12-19,131.91322
2020-12-20,132.906
2020-12-21,133.80614
2020-12-22,134.62396
2020-12-23,135.18257
2020-12-24,135.63957
2020-12-25,136.2493
2020-12-26,137.00098
2020-12-27,137.83127
2020-12-28,138.71393
2020-12-29,139.47069
2020-12-30,140.33409
2020-12-31,140.56158
2021-01-01,139.823
2021-01-02,137.97173
2021-01-03,135.63083
2021-01-04,132.82776
2021-01-05,129.67957
2021-01-06,126.178955
2021-01-07,122.817276
2021-01-08,119.710396
2021-01-09,117.07662
2021-01-10,114.26134
2021-01-11,111.324036
2021-01-12,108.29383
2021-01-13,105.08495
2021-01-14,101.838974
2021-01-15,98.4981
2021-01-16,95.136955
2021-01-17,91.769
2021-01-18,88.42559
2021-01-19,85.060555
2021-01-20,81.840004
2021-01-21,78.72206
2021-01-22,75.617325
2021-01-23,72.53882
2021-01-24,69.62455
2021-01-25,66.79355
2021-01-26,64.06529
2021-01-27,61.428753
2021-01-28,58.81267
2021-01-29,56.398533
2021-01-30,54.070267
2021-01-31,51.96474
