date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.05819327
2020-08-03,0.17507303
2020-08-04,0.3766626
2020-08-05,0.60200906
2020-08-06,0.84618324
2020-08-07,1.0899278
2020-08-08,1.249313
2020-08-09,1.3879095
2020-08-10,1.5143412
2020-08-11,1.631232
2020-08-12,1.7409129
2020-08-13,1.8439491
2020-08-14,1.9414935
2020-08-15,2.0378635
2020-08-16,2.1314962
2020-08-17,2.2178633
2020-08-18,2.2975152
2020-08-19,2.374995
2020-08-20,2.4559107
2020-08-21,2.5317047
2020-08-22,2.6045218
2020-08-23,2.6680398
2020-08-24,2.7335186
2020-08-25,2.7966924
2020-08-26,2.85675
2020-08-27,2.9113922
2020-08-28,2.9639106
2020-08-29,3.0180087
2020-08-30,3.0781164
2020-08-31,3.1349344
2020-09-01,3.193935
2020-09-02,3.250452
2020-09-03,3.3063366
2020-09-04,3.3579485
2020-09-05,3.4039934
2020-09-06,3.4505138
2020-09-07,3.4929671
2020-09-08,3.5282218
2020-09-09,3.5635698
2020-09-10,3.5941374
2020-09-11,3.6264176
2020-09-12,3.6573796
2020-09-13,3.6885614
2020-09-14,3.7265542
2020-09-15,3.769126
2020-09-16,3.8233502
2020-09-17,3.884768
2020-09-18,3.956042
2020-09-19,4.0365424
2020-09-20,4.1270366
2020-09-21,4.2273006
2020-09-22,4.335748
2020-09-23,4.4517794
2020-09-24,4.574461
2020-09-25,4.7117486
2020-09-26,4.861543
2020-09-27,5.027284
2020-09-28,5.2091527
2020-09-29,5.4125276
2020-09-30,5.6269975
2020-10-01,5.8595243
2020-10-02,6.1007314
2020-10-03,6.3600082
2020-10-04,6.6282134
2020-10-05,6.920136
2020-10-06,7.2283006
2020-10-07,7.560954
2020-10-08,7.9138975
2020-10-09,8.288988
2020-10-10,8.677947
2020-10-11,9.085025
2020-10-12,9.508653
2020-10-13,9.97026
2020-10-14,10.456657
2020-10-15,10.98116
2020-10-16,11.534934
2020-10-17,12.1317005
2020-10-18,12.757668
2020-10-19,13.385429
2020-10-20,14.015414
2020-10-21,14.650232
2020-10-22,15.308066
2020-10-23,15.990955
2020-10-24,16.690928
2020-10-25,17.4206
2020-10-26,18.175688
2020-10-27,18.954798
2020-10-28,19.762383
2020-10-29,20.57451
2020-10-30,21.39128
2020-10-31,22.199533
2020-11-01,22.990763
2020-11-02,23.781946
2020-11-03,24.555096
2020-11-04,25.300102
2020-11-05,26.057293
2020-11-06,26.839521
2020-11-07,27.639925
2020-11-08,28.494062
2020-11-09,29.415388
2020-11-10,30.420204
2020-11-11,31.559729
2020-11-12,32.744232
2020-11-13,34.023945
2020-11-14,35.426205
2020-11-15,36.91713
2020-11-16,38.493164
2020-11-17,40.17712
2020-11-18,41.853813
2020-11-19,43.576813
2020-11-20,45.382015
2020-11-21,47.24594
2020-11-22,49.17747
2020-11-23,51.17789
2020-11-24,53.2962
2020-11-25,55.631386
2020-11-26,58.124355
2020-11-27,60.702976
2020-11-28,63.39934
2020-11-29,66.192345
2020-11-30,69.00852
2020-12-01,71.75777
2020-12-02,74.52377
2020-12-03,77.35056
2020-12-04,80.19331
2020-12-05,83.22109
2020-12-06,86.64914
2020-12-07,90.45115
2020-12-08,94.63717
2020-12-09,99.137764
2020-12-10,103.939545
2020-12-11,109.030846
2020-12-12,114.017426
2020-12-13,118.58104
2020-12-14,122.62857
2020-12-15,126.18172
2020-12-16,129.17271
2020-12-17,131.80243
2020-12-18,133.94528
2020-12-19,135.56343
2020-12-20,136.87302
2020-12-21,138.05157
2020-12-22,139.06328
2020-12-23,139.75212
2020-12-24,140.14307
2020-12-25,140.42049
2020-12-26,140.5932
2020-12-27,140.69307
2020-12-28,140.67163
2020-12-29,140.43906
2020-12-30,140.25798
2020-12-31,139.3791
2021-01-01,137.74722
2021-01-02,135.54163
2021-01-03,132.95737
2021-01-04,130.11115
2021-01-05,127.078995
2021-01-06,123.90073
2021-01-07,120.64764
2021-01-08,117.62874
2021-01-09,114.829765
2021-01-10,111.95268
2021-01-11,109.06848
2021-01-12,106.1797
2021-01-13,103.166275
2021-01-14,100.2459
2021-01-15,97.29318
2021-01-16,94.34974
2021-01-17,91.44179
2021-01-18,88.50897
2021-01-19,85.586136
2021-01-20,82.71351
2021-01-21,79.912544
2021-01-22,77.15478
2021-01-23,74.45043
2021-01-24,71.84043
2021-01-25,69.33764
2021-01-26,66.8901
2021-01-27,64.58298
2021-01-28,62.295765
2021-01-29,60.057247
2021-01-30,57.869175
2021-01-31,55.792942
