date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.05760071
2020-08-03,0.17329033
2020-08-04,0.3728272
2020-08-05,0.595879
2020-08-06,0.83756685
2020-08-07,1.0788294
2020-08-08,1.243525
2020-08-09,1.3916944
2020-08-10,1.5301148
2020-08-11,1.6609136
2020-08-12,1.7858944
2020-08-13,1.9055368
2020-08-14,2.0195882
2020-08-15,2.1314213
2020-08-16,2.2404914
2020-08-17,2.3465874
2020-08-18,2.4503846
2020-08-19,2.5539293
2020-08-20,2.658933
2020-08-21,2.7632775
2020-08-22,2.8676956
2020-08-23,2.9697218
2020-08-24,3.0740006
2020-08-25,3.1781504
2020-08-26,3.2826898
2020-08-27,3.3867128
2020-08-28,3.484237
2020-08-29,3.5779433
2020-08-30,3.6793463
2020-08-31,3.7623746
2020-09-01,3.843997
2020-09-02,3.904963
2020-09-03,3.9578946
2020-09-04,4.0055265
2020-09-05,4.0653896
2020-09-06,4.1366544
2020-09-07,4.2146883
2020-09-08,4.292021
2020-09-09,4.380887
2020-09-10,4.4565673
2020-09-11,4.5450134
2020-09-12,4.6318603
2020-09-13,4.7147703
2020-09-14,4.8072686
2020-09-15,4.9094515
2020-09-16,5.0253253
2020-09-17,5.152488
2020-09-18,5.287818
2020-09-19,5.431623
2020-09-20,5.5852776
2020-09-21,5.7495055
2020-09-22,5.92561
2020-09-23,6.109614
2020-09-24,6.3019924
2020-09-25,6.506393
2020-09-26,6.723065
2020-09-27,6.9512124
2020-09-28,7.190143
2020-09-29,7.44026
2020-09-30,7.700535
2020-10-01,7.9744744
2020-10-02,8.2614975
2020-10-03,8.561311
2020-10-04,8.87253
2020-10-05,9.200562
2020-10-06,9.542506
2020-10-07,9.901838
2020-10-08,10.276083
2020-10-09,10.663493
2020-10-10,11.066068
2020-10-11,11.486792
2020-10-12,11.922269
2020-10-13,12.383504
2020-10-14,12.863753
2020-10-15,13.369208
2020-10-16,13.8996725
2020-10-17,14.455865
2020-10-18,15.035295
2020-10-19,15.634713
2020-10-20,16.242865
2020-10-21,16.87204
2020-10-22,17.519735
2020-10-23,18.186876
2020-10-24,18.872766
2020-10-25,19.577168
2020-10-26,20.301554
2020-10-27,21.055546
2020-10-28,21.832571
2020-10-29,22.631918
2020-10-30,23.452143
2020-10-31,24.29066
2020-11-01,25.14969
2020-11-02,26.021494
2020-11-03,26.89947
2020-11-04,27.79035
2020-11-05,28.702044
2020-11-06,29.633112
2020-11-07,30.587648
2020-11-08,31.579815
2020-11-09,32.619514
2020-11-10,33.71712
2020-11-11,34.86784
2020-11-12,36.058857
2020-11-13,37.315998
2020-11-14,38.62823
2020-11-15,39.982773
2020-11-16,41.405037
2020-11-17,42.884293
2020-11-18,44.409367
2020-11-19,45.992744
2020-11-20,47.638237
2020-11-21,49.351543
2020-11-22,51.132084
2020-11-23,52.966892
2020-11-24,54.86407
2020-11-25,56.84662
2020-11-26,58.89184
2020-11-27,60.992706
2020-11-28,63.17244
2020-11-29,65.43322
2020-11-30,67.74364
2020-12-01,70.12421
2020-12-02,72.57984
2020-12-03,75.15894
2020-12-04,77.83943
2020-12-05,80.63431
2020-12-06,83.57561
2020-12-07,86.69046
2020-12-08,89.960495
2020-12-09,93.36598
2020-12-10,96.88712
2020-12-11,100.53633
2020-12-12,104.25906
2020-12-13,108.00569
2020-12-14,111.735756
2020-12-15,115.44971
2020-12-16,119.20661
2020-12-17,123.05108
2020-12-18,126.86003
2020-12-19,129.95583
2020-12-20,132.68672
2020-12-21,135.48595
2020-12-22,138.5078
2020-12-23,140.67178
2020-12-24,141.5236
2020-12-25,142.96794
2020-12-26,144.71162
2020-12-27,146.7286
2020-12-28,148.72446
2020-12-29,150.27046
2020-12-30,152.63235
2020-12-31,153.10298
2021-01-01,150.90282
2021-01-02,147.19269
2021-01-03,143.00496
2021-01-04,138.23683
2021-01-05,133.40422
2021-01-06,127.44389
2021-01-07,122.46701
2021-01-08,118.5446
2021-01-09,115.51258
2021-01-10,112.16441
2021-01-11,108.959915
2021-01-12,105.85269
2021-01-13,102.695694
2021-01-14,99.78956
2021-01-15,96.909904
2021-01-16,94.080414
2021-01-17,91.26172
2021-01-18,88.19949
2021-01-19,84.99183
2021-01-20,81.73657
2021-01-21,78.609924
2021-01-22,75.14183
2021-01-23,71.34724
2021-01-24,67.77756
2021-01-25,64.38123
2021-01-26,61.055317
2021-01-27,57.99395
2021-01-28,54.8667
2021-01-29,52.036633
2021-01-30,49.324432
2021-01-31,46.850452
