date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.025196169
2020-08-03,0.07580206
2020-08-04,0.16308509
2020-08-05,0.2606542
2020-08-06,0.36637527
2020-08-07,0.47191027
2020-08-08,0.5455195
2020-08-09,0.61303425
2020-08-10,0.6771211
2020-08-11,0.73889667
2020-08-12,0.79944575
2020-08-13,0.8591422
2020-08-14,0.9177991
2020-08-15,0.97658765
2020-08-16,1.0352021
2020-08-17,1.0943125
2020-08-18,1.1538762
2020-08-19,1.2143687
2020-08-20,1.276392
2020-08-21,1.3394213
2020-08-22,1.4040259
2020-08-23,1.4703494
2020-08-24,1.5381845
2020-08-25,1.6077
2020-08-26,1.6794322
2020-08-27,1.7538099
2020-08-28,1.8306262
2020-08-29,1.9103678
2020-08-30,1.9932783
2020-08-31,2.0795522
2020-09-01,2.1693056
2020-09-02,2.2627883
2020-09-03,2.3604152
2020-09-04,2.4621937
2020-09-05,2.5683024
2020-09-06,2.6789088
2020-09-07,2.7940724
2020-09-08,2.913714
2020-09-09,3.0379846
2020-09-10,3.1663558
2020-09-11,3.2991269
2020-09-12,3.436229
2020-09-13,3.5786164
2020-09-14,3.7266006
2020-09-15,3.8805084
2020-09-16,4.0413003
2020-09-17,4.2084517
2020-09-18,4.38254
2020-09-19,4.5640235
2020-09-20,4.7532177
2020-09-21,4.9503713
2020-09-22,5.155807
2020-09-23,5.3697176
2020-09-24,5.59217
2020-09-25,5.823294
2020-09-26,6.0632973
2020-09-27,6.312537
2020-09-28,6.57135
2020-09-29,6.8400793
2020-09-30,7.1194
2020-10-01,7.4100957
2020-10-02,7.712652
2020-10-03,8.0277
2020-10-04,8.355812
2020-10-05,8.697521
2020-10-06,9.053399
2020-10-07,9.423875
2020-10-08,9.80943
2020-10-09,10.210752
2020-10-10,10.627516
2020-10-11,11.059097
2020-10-12,11.504494
2020-10-13,11.962431
2020-10-14,12.430928
2020-10-15,12.908614
2020-10-16,13.39431
2020-10-17,13.8892145
2020-10-18,14.395402
2020-10-19,14.916127
2020-10-20,15.455329
2020-10-21,16.01854
2020-10-22,16.609203
2020-10-23,17.229897
2020-10-24,17.881752
2020-10-25,18.565475
2020-10-26,19.281172
2020-10-27,20.028318
2020-10-28,20.805296
2020-10-29,21.611912
2020-10-30,22.449347
2020-10-31,23.318604
2020-11-01,24.2204
2020-11-02,25.155075
2020-11-03,26.12312
2020-11-04,27.124996
2020-11-05,28.161152
2020-11-06,29.23162
2020-11-07,30.336643
2020-11-08,31.476818
2020-11-09,32.65302
2020-11-10,33.866673
2020-11-11,35.119778
2020-11-12,36.41425
2020-11-13,37.75199
2020-11-14,39.13484
2020-11-15,40.56486
2020-11-16,42.04456
2020-11-17,43.57536
2020-11-18,45.159065
2020-11-19,46.797028
2020-11-20,48.49094
2020-11-21,50.243477
2020-11-22,52.056637
2020-11-23,53.932163
2020-11-24,55.873066
2020-11-25,57.881294
2020-11-26,59.962082
2020-11-27,62.119507
2020-11-28,64.356384
2020-11-29,66.67689
2020-11-30,69.08496
2020-12-01,71.58399
2020-12-02,74.17707
2020-12-03,76.8657
2020-12-04,79.65215
2020-12-05,82.53843
2020-12-06,85.52543
2020-12-07,88.61032
2020-12-08,91.789246
2020-12-09,95.05695
2020-12-10,98.40605
2020-12-11,101.83005
2020-12-12,105.31939
2020-12-13,108.86106
2020-12-14,112.45162
2020-12-15,116.08673
2020-12-16,119.76572
2020-12-17,123.491165
2020-12-18,127.26347
2020-12-19,131.08287
2020-12-20,134.95007
2020-12-21,138.8522
2020-12-22,142.75128
2020-12-23,145.86401
2020-12-24,147.72472
2020-12-25,147.93085
2020-12-26,147.9848
2020-12-27,147.85579
2020-12-28,146.99307
2020-12-29,145.4117
2020-12-30,143.55399
2020-12-31,141.58887
2021-01-01,139.6069
2021-01-02,137.56139
2021-01-03,135.36784
2021-01-04,132.94118
2021-01-05,130.20694
2021-01-06,127.302475
2021-01-07,124.4922
2021-01-08,121.85546
2021-01-09,119.14042
2021-01-10,116.10524
2021-01-11,112.75752
2021-01-12,109.18579
2021-01-13,105.51907
2021-01-14,101.81126
2021-01-15,98.0975
2021-01-16,94.39377
2021-01-17,90.715645
2021-01-18,87.0785
2021-01-19,83.50278
2021-01-20,79.99838
2021-01-21,76.556526
2021-01-22,73.20515
2021-01-23,69.96709
2021-01-24,66.86808
2021-01-25,63.916504
2021-01-26,61.125862
2021-01-27,58.504192
2021-01-28,56.051144
2021-01-29,53.770058
2021-01-30,51.665173
2021-01-31,49.747025
