date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.058195487
2020-08-03,0.1750797
2020-08-04,0.37667695
2020-08-05,0.602032
2020-08-06,0.8462155
2020-08-07,1.0899693
2020-08-08,1.2574339
2020-08-09,1.4067019
2020-08-10,1.5471524
2020-08-11,1.6785557
2020-08-12,1.799929
2020-08-13,1.9103931
2020-08-14,2.0108647
2020-08-15,2.1075382
2020-08-16,2.200964
2020-08-17,2.2839093
2020-08-18,2.3603275
2020-08-19,2.4360082
2020-08-20,2.5137112
2020-08-21,2.5879152
2020-08-22,2.65719
2020-08-23,2.7132566
2020-08-24,2.772667
2020-08-25,2.8268378
2020-08-26,2.8758512
2020-08-27,2.91723
2020-08-28,2.9499054
2020-08-29,2.9765172
2020-08-30,3.0036519
2020-08-31,3.0196745
2020-09-01,3.0321002
2020-09-02,3.0348294
2020-09-03,3.0326633
2020-09-04,3.02673
2020-09-05,3.0227854
2020-09-06,3.0216327
2020-09-07,3.021558
2020-09-08,3.0195048
2020-09-09,3.0205624
2020-09-10,3.014797
2020-09-11,3.011888
2020-09-12,3.006265
2020-09-13,2.998541
2020-09-14,2.9931827
2020-09-15,2.990405
2020-09-16,2.9989984
2020-09-17,3.0209134
2020-09-18,3.049959
2020-09-19,3.086637
2020-09-20,3.1349926
2020-09-21,3.1962893
2020-09-22,3.2725968
2020-09-23,3.354818
2020-09-24,3.443356
2020-09-25,3.5478485
2020-09-26,3.6687994
2020-09-27,3.803607
2020-09-28,3.949911
2020-09-29,4.108902
2020-09-30,4.277465
2020-10-01,4.4644074
2020-10-02,4.66754
2020-10-03,4.886346
2020-10-04,5.116021
2020-10-05,5.372076
2020-10-06,5.6449327
2020-10-07,5.9451137
2020-10-08,6.265343
2020-10-09,6.5974016
2020-10-10,6.948724
2020-10-11,7.326511
2020-10-12,7.7200947
2020-10-13,8.165584
2020-10-14,8.641247
2020-10-15,9.16724
2020-10-16,9.742483
2020-10-17,10.369099
2020-10-18,11.039173
2020-10-19,11.737312
2020-10-20,12.420369
2020-10-21,13.132447
2020-10-22,13.861282
2020-10-23,14.609544
2020-10-24,15.3714
2020-10-25,16.1432
2020-10-26,16.928055
2020-10-27,17.764738
2020-10-28,18.622122
2020-10-29,19.494024
2020-10-30,20.370752
2020-10-31,21.237232
2020-11-01,22.099524
2020-11-02,22.91891
2020-11-03,23.66194
2020-11-04,24.35603
2020-11-05,25.033806
2020-11-06,25.68572
2020-11-07,26.326681
2020-11-08,27.014668
2020-11-09,27.787483
2020-11-10,28.683962
2020-11-11,29.678972
2020-11-12,30.713934
2020-11-13,31.894302
2020-11-14,33.169205
2020-11-15,34.479515
2020-11-16,35.930283
2020-11-17,37.470562
2020-11-18,39.04612
2020-11-19,40.706528
2020-11-20,42.46328
2020-11-21,44.33677
2020-11-22,46.318317
2020-11-23,48.342064
2020-11-24,50.438107
2020-11-25,52.7073
2020-11-26,55.035202
2020-11-27,57.379593
2020-11-28,59.843254
2020-11-29,62.42829
2020-11-30,64.97199
2020-12-01,67.56429
2020-12-02,70.2189
2020-12-03,73.164215
2020-12-04,76.28126
2020-12-05,79.62499
2020-12-06,83.34648
2020-12-07,87.57691
2020-12-08,92.21909
2020-12-09,97.165306
2020-12-10,102.301346
2020-12-11,107.67959
2020-12-12,112.98334
2020-12-13,117.90963
2020-12-14,122.20103
2020-12-15,125.88271
2020-12-16,129.25603
2020-12-17,132.502
2020-12-18,135.18997
2020-12-19,137.09636
2020-12-20,138.53032
2020-12-21,139.73409
2020-12-22,140.8444
2020-12-23,141.38379
2020-12-24,141.21068
2020-12-25,141.13486
2020-12-26,141.05458
2020-12-27,140.98892
2020-12-28,140.81665
2020-12-29,140.3821
2020-12-30,140.23355
2020-12-31,139.26862
2021-01-01,137.25258
2021-01-02,134.63472
2021-01-03,131.803
2021-01-04,128.71075
2021-01-05,125.56468
2021-01-06,121.92315
2021-01-07,118.67282
2021-01-08,115.85416
2021-01-09,113.41296
2021-01-10,110.82844
2021-01-11,108.30142
2021-01-12,105.81954
2021-01-13,103.318535
2021-01-14,100.92967
2021-01-15,98.55128
2021-01-16,96.2018
2021-01-17,93.86895
2021-01-18,91.43772
2021-01-19,88.94675
2021-01-20,86.4466
2021-01-21,84.02432
2021-01-22,81.45186
2021-01-23,78.722435
2021-01-24,76.104256
2021-01-25,73.5699
2021-01-26,71.077126
2021-01-27,68.72775
2021-01-28,66.33276
2021-01-29,64.10439
2021-01-30,61.936802
2021-01-31,59.902454
