date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.05795023
2020-08-03,0.17434186
2020-08-04,0.3750895
2020-08-05,0.5994948
2020-08-06,0.8426492
2020-08-07,1.0853757
2020-08-08,1.2621739
2020-08-09,1.4282562
2020-08-10,1.5888103
2020-08-11,1.7441864
2020-08-12,1.8977435
2020-08-13,2.0495973
2020-08-14,2.199507
2020-08-15,2.3517857
2020-08-16,2.502945
2020-08-17,2.65523
2020-08-18,2.8077025
2020-08-19,2.9635158
2020-08-20,3.1243353
2020-08-21,3.290027
2020-08-22,3.4598958
2020-08-23,3.6313682
2020-08-24,3.8076267
2020-08-25,3.991207
2020-08-26,4.1814756
2020-08-27,4.3774495
2020-08-28,4.5751214
2020-08-29,4.782095
2020-08-30,5.000465
2020-08-31,5.2323694
2020-09-01,5.4758773
2020-09-02,5.7263026
2020-09-03,5.9893785
2020-09-04,6.267533
2020-09-05,6.555798
2020-09-06,6.8631654
2020-09-07,7.180353
2020-09-08,7.5109854
2020-09-09,7.8526125
2020-09-10,8.206058
2020-09-11,8.572999
2020-09-12,8.94589
2020-09-13,9.323644
2020-09-14,9.709255
2020-09-15,10.101264
2020-09-16,10.515437
2020-09-17,10.9298
2020-09-18,11.351906
2020-09-19,11.783724
2020-09-20,12.214935
2020-09-21,12.639322
2020-09-22,13.058603
2020-09-23,13.469869
2020-09-24,13.87718
2020-09-25,14.291442
2020-09-26,14.705399
2020-09-27,15.130424
2020-09-28,15.568357
2020-09-29,16.018417
2020-09-30,16.470034
2020-10-01,16.937315
2020-10-02,17.414083
2020-10-03,17.909906
2020-10-04,18.437363
2020-10-05,18.996056
2020-10-06,19.584385
2020-10-07,20.196615
2020-10-08,20.831524
2020-10-09,21.48726
2020-10-10,22.170069
2020-10-11,22.854734
2020-10-12,23.565107
2020-10-13,24.311348
2020-10-14,25.117872
2020-10-15,25.998379
2020-10-16,26.94514
2020-10-17,27.95575
2020-10-18,29.037281
2020-10-19,30.159733
2020-10-20,31.334179
2020-10-21,32.530994
2020-10-22,33.72245
2020-10-23,34.923252
2020-10-24,36.11476
2020-10-25,37.291058
2020-10-26,38.439568
2020-10-27,39.529102
2020-10-28,40.590828
2020-10-29,41.632076
2020-10-30,42.640663
2020-10-31,43.61864
2020-11-01,44.572765
2020-11-02,45.51494
2020-11-03,46.432465
2020-11-04,47.293278
2020-11-05,48.177532
2020-11-06,49.0579
2020-11-07,49.926697
2020-11-08,50.797485
2020-11-09,51.70988
2020-11-10,52.63497
2020-11-11,53.625973
2020-11-12,54.54333
2020-11-13,55.469967
2020-11-14,56.417355
2020-11-15,57.37038
2020-11-16,58.303154
2020-11-17,59.29201
2020-11-18,60.300484
2020-11-19,61.3929
2020-11-20,62.52831
2020-11-21,63.730904
2020-11-22,65.005325
2020-11-23,66.319824
2020-11-24,67.71477
2020-11-25,69.21877
2020-11-26,70.78948
2020-11-27,72.43541
2020-11-28,74.17099
2020-11-29,75.99577
2020-11-30,77.92321
2020-12-01,79.90604
2020-12-02,81.95625
2020-12-03,84.134315
2020-12-04,86.38471
2020-12-05,88.676605
2020-12-06,91.04455
2020-12-07,93.52997
2020-12-08,96.06576
2020-12-09,98.61825
2020-12-10,101.107864
2020-12-11,103.567
2020-12-12,105.99598
2020-12-13,108.250595
2020-12-14,110.20945
2020-12-15,111.9182
2020-12-16,113.379166
2020-12-17,114.65742
2020-12-18,115.687775
2020-12-19,116.4354
2020-12-20,116.99006
2020-12-21,117.34699
2020-12-22,117.55181
2020-12-23,117.54221
2020-12-24,117.43763
2020-12-25,117.346756
2020-12-26,117.36429
2020-12-27,117.42664
2020-12-28,117.63691
2020-12-29,117.926346
2020-12-30,118.363235
2020-12-31,118.598854
2021-01-01,118.5241
2021-01-02,117.981804
2021-01-03,117.28963
2021-01-04,116.40356
2021-01-05,115.35212
2021-01-06,114.05866
2021-01-07,112.82533
2021-01-08,111.66309
2021-01-09,110.66251
2021-01-10,109.540276
2021-01-11,108.2913
2021-01-12,106.951195
2021-01-13,105.52134
2021-01-14,103.99694
2021-01-15,102.379
2021-01-16,100.675934
2021-01-17,98.887085
2021-01-18,97.051094
2021-01-19,95.18548
2021-01-20,93.321396
2021-01-21,91.440346
2021-01-22,89.558464
2021-01-23,87.67839
2021-01-24,85.834854
2021-01-25,84.00035
2021-01-26,82.18442
2021-01-27,80.410484
2021-01-28,78.66169
2021-01-29,77.02968
2021-01-30,75.43252
2021-01-31,73.96102
