date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.058137845
2020-08-03,0.17490628
2020-08-04,0.37630385
2020-08-05,0.60143566
2020-08-06,0.8453773
2020-08-07,1.0888896
2020-08-08,1.2564391
2020-08-09,1.4057729
2020-08-10,1.5464609
2020-08-11,1.6780698
2020-08-12,1.7993809
2020-08-13,1.9093981
2020-08-14,2.0091376
2020-08-15,2.1050146
2020-08-16,2.197673
2020-08-17,2.2793124
2020-08-18,2.354156
2020-08-19,2.4282906
2020-08-20,2.504555
2020-08-21,2.5771677
2020-08-22,2.6445324
2020-08-23,2.6978648
2020-08-24,2.754746
2020-08-25,2.8060834
2020-08-26,2.8519084
2020-08-27,2.8895786
2020-08-28,2.9180422
2020-08-29,2.940064
2020-08-30,2.9625778
2020-08-31,2.9734023
2020-09-01,2.980448
2020-09-02,2.9773617
2020-09-03,2.9691653
2020-09-04,2.9570827
2020-09-05,2.9470875
2020-09-06,2.9399943
2020-09-07,2.9340217
2020-09-08,2.9260275
2020-09-09,2.921238
2020-09-10,2.9095142
2020-09-11,2.900744
2020-09-12,2.889248
2020-09-13,2.8756237
2020-09-14,2.8644164
2020-09-15,2.8558402
2020-09-16,2.8587344
2020-09-17,2.8750565
2020-09-18,2.8985264
2020-09-19,2.929632
2020-09-20,2.9724193
2020-09-21,3.0281386
2020-09-22,3.0988507
2020-09-23,3.1753986
2020-09-24,3.2581809
2020-09-25,3.3568885
2020-09-26,3.4720197
2020-09-27,3.6009521
2020-09-28,3.7413185
2020-09-29,3.894334
2020-09-30,4.056858
2020-10-01,4.2378025
2020-10-02,4.4349484
2020-10-03,4.6478033
2020-10-04,4.8715076
2020-10-05,5.1218314
2020-10-06,5.38907
2020-10-07,5.6839643
2020-10-08,5.9991345
2020-10-09,6.326216
2020-10-10,6.6728234
2020-10-11,7.046363
2020-10-12,7.435905
2020-10-13,7.8786216
2020-10-14,8.352236
2020-10-15,8.877626
2020-10-16,9.4538145
2020-10-17,10.083138
2020-10-18,10.757523
2020-10-19,11.461029
2020-10-20,12.148654
2020-10-21,12.866361
2020-10-22,13.601312
2020-10-23,14.356257
2020-10-24,15.125038
2020-10-25,15.903792
2020-10-26,16.69573
2020-10-27,17.541658
2020-10-28,18.408766
2020-10-29,19.290483
2020-10-30,20.176514
2020-10-31,21.050844
2020-11-01,21.91978
2020-11-02,22.742233
2020-11-03,23.48268
2020-11-04,24.170109
2020-11-05,24.839073
2020-11-06,25.479431
2020-11-07,26.106941
2020-11-08,26.782862
2020-11-09,27.547049
2020-11-10,28.440393
2020-11-11,29.436302
2020-11-12,30.47291
2020-11-13,31.661657
2020-11-14,32.94884
2020-11-15,34.27193
2020-11-16,35.742184
2020-11-17,37.305695
2020-11-18,38.90492
2020-11-19,40.592476
2020-11-20,42.380604
2020-11-21,44.291077
2020-11-22,46.314663
2020-11-23,48.381165
2020-11-24,50.52262
2020-11-25,52.84685
2020-11-26,55.231445
2020-11-27,57.6311
2020-11-28,60.15584
2020-11-29,62.80797
2020-11-30,65.41266
2020-12-01,68.06633
2020-12-02,70.783585
2020-12-03,73.810005
2020-12-04,77.01768
2020-12-05,80.46589
2020-12-06,84.3177
2020-12-07,88.71527
2020-12-08,93.55462
2020-12-09,98.72003
2020-12-10,104.08822
2020-12-11,109.71604
2020-12-12,115.258934
2020-12-13,120.38589
2020-12-14,124.81472
2020-12-15,128.57199
2020-12-16,131.98656
2020-12-17,135.25613
2020-12-18,137.91173
2020-12-19,139.71123
2020-12-20,140.99278
2020-12-21,142.02086
2020-12-22,142.9445
2020-12-23,143.24898
2020-12-24,142.78456
2020-12-25,142.42445
2020-12-26,142.05945
2020-12-27,141.71034
2020-12-28,141.24814
2020-12-29,140.50781
2020-12-30,140.07133
2020-12-31,138.7728
2021-01-01,136.61307
2021-01-02,134.06563
2021-01-03,131.23822
2021-01-04,128.19794
2021-01-05,125.02257
2021-01-06,121.70627
2021-01-07,118.41657
2021-01-08,115.52313
2021-01-09,112.97631
2021-01-10,110.24517
2021-01-11,107.54649
2021-01-12,104.88828
2021-01-13,102.18573
2021-01-14,99.59559
2021-01-15,97.004616
2021-01-16,94.43696
2021-01-17,91.88696
2021-01-18,89.234665
2021-01-19,86.528114
2021-01-20,83.810196
2021-01-21,81.175995
2021-01-22,78.529816
2021-01-23,75.90167
2021-01-24,73.314224
2021-01-25,70.77722
2021-01-26,68.300674
2021-01-27,65.90207
2021-01-28,63.54488
2021-01-29,61.282745
2021-01-30,59.066845
2021-01-31,56.976784
