date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.058194596
2020-08-03,0.17507702
2020-08-04,0.3766712
2020-08-05,0.6020228
2020-08-06,0.84620255
2020-08-07,1.0899526
2020-08-08,1.2564164
2020-08-09,1.4048828
2020-08-10,1.5438712
2020-08-11,1.6740206
2020-08-12,1.7953565
2020-08-13,1.907497
2020-08-14,2.0109375
2020-08-15,2.1108956
2020-08-16,2.20753
2020-08-17,2.2960672
2020-08-18,2.379299
2020-08-19,2.4617102
2020-08-20,2.5457077
2020-08-21,2.6269207
2020-08-22,2.7046564
2020-08-23,2.7728941
2020-08-24,2.843616
2020-08-25,2.9105246
2020-08-26,2.973942
2020-08-27,3.0321686
2020-08-28,3.084101
2020-08-29,3.1318355
2020-08-30,3.1803606
2020-08-31,3.2206783
2020-09-01,3.25846
2020-09-02,3.2888932
2020-09-03,3.3157454
2020-09-04,3.3397272
2020-09-05,3.3654768
2020-09-06,3.3937244
2020-09-07,3.4231079
2020-09-08,3.4510584
2020-09-09,3.4818678
2020-09-10,3.5068877
2020-09-11,3.5344753
2020-09-12,3.559774
2020-09-13,3.5835214
2020-09-14,3.609613
2020-09-15,3.6382656
2020-09-16,3.6776385
2020-09-17,3.7294204
2020-09-18,3.7881444
2020-09-19,3.8543544
2020-09-20,3.9318569
2020-09-21,4.0219107
2020-09-22,4.126501
2020-09-23,4.23731
2020-09-24,4.3547454
2020-09-25,4.4876885
2020-09-26,4.6366463
2020-09-27,4.799251
2020-09-28,4.973329
2020-09-29,5.1599245
2020-09-30,5.3562193
2020-10-01,5.570118
2020-10-02,5.799685
2020-10-03,6.0443654
2020-10-04,6.299864
2020-10-05,6.579819
2020-10-06,6.875719
2020-10-07,7.196666
2020-10-08,7.536232
2020-10-09,7.8872585
2020-10-10,8.256092
2020-10-11,8.648783
2020-10-12,9.056287
2020-10-13,9.508702
2020-10-14,9.9876375
2020-10-15,10.509476
2020-10-16,11.072894
2020-10-17,11.679182
2020-10-18,12.321576
2020-10-19,12.987613
2020-10-20,13.643388
2020-10-21,14.323785
2020-10-22,15.019362
2020-10-23,15.732374
2020-10-24,16.458511
2020-10-25,17.195143
2020-10-26,17.944866
2020-10-27,18.737104
2020-10-28,19.548504
2020-10-29,20.374634
2020-10-30,21.208492
2020-10-31,22.039177
2020-11-01,22.871557
2020-11-02,23.677387
2020-11-03,24.432333
2020-11-04,25.156784
2020-11-05,25.874895
2020-11-06,26.579752
2020-11-07,27.282526
2020-11-08,28.026493
2020-11-09,28.840204
2020-11-10,29.753113
2020-11-11,30.746681
2020-11-12,31.777258
2020-11-13,32.923508
2020-11-14,34.14744
2020-11-15,35.405235
2020-11-16,36.774574
2020-11-17,38.217796
2020-11-18,39.69524
2020-11-19,41.243317
2020-11-20,42.870434
2020-11-21,44.591293
2020-11-22,46.399704
2020-11-23,48.248444
2020-11-24,50.1594
2020-11-25,52.204395
2020-11-26,54.30243
2020-11-27,56.424206
2020-11-28,58.642365
2020-11-29,60.95856
2020-11-30,63.25972
2020-12-01,65.609146
2020-12-02,68.01693
2020-12-03,70.641655
2020-12-04,73.400986
2020-12-05,76.33274
2020-12-06,79.54025
2020-12-07,83.11176
2020-12-08,86.978745
2020-12-09,91.06647
2020-12-10,95.29736
2020-12-11,99.706566
2020-12-12,104.085434
2020-12-13,108.237976
2020-12-14,111.999985
2020-12-15,115.39042
2020-12-16,118.60573
2020-12-17,121.76369
2020-12-18,124.58143
2020-12-19,126.90855
2020-12-20,128.94467
2020-12-21,130.84755
2020-12-22,132.70688
2020-12-23,134.19513
2020-12-24,135.20735
2020-12-25,136.29913
2020-12-26,137.39938
2020-12-27,138.52075
2020-12-28,139.57535
2020-12-29,140.44841
2020-12-30,141.54222
2020-12-31,142.03596
2021-01-01,141.73837
2021-01-02,140.96988
2021-01-03,140.01532
2021-01-04,138.82727
2021-01-05,137.5601
2021-01-06,135.84285
2021-01-07,134.40442
2021-01-08,133.29253
2021-01-09,132.47194
2021-01-10,131.48228
2021-01-11,130.50397
2021-01-12,129.52681
2021-01-13,128.49222
2021-01-14,127.52546
2021-01-15,126.525986
2021-01-16,125.512665
2021-01-17,124.476425
2021-01-18,123.2978
2021-01-19,122.01004
2021-01-20,120.65958
2021-01-21,119.337036
2021-01-22,117.79206
2021-01-23,116.01208
2021-01-24,114.294754
2021-01-25,112.60975
2021-01-26,110.90345
2021-01-27,109.29851
2021-01-28,107.570984
2021-01-29,105.987724
2021-01-30,104.41461
2021-01-31,102.94394
