date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.058194514
2020-08-03,0.17507678
2020-08-04,0.37667066
2020-08-05,0.60202193
2020-08-06,0.84620136
2020-08-07,1.089951
2020-08-08,1.2564294
2020-08-09,1.4049067
2020-08-10,1.5439161
2020-08-11,1.674083
2020-08-12,1.7954168
2020-08-13,1.9075282
2020-08-14,2.0109186
2020-08-15,2.1108217
2020-08-16,2.207402
2020-08-17,2.295847
2020-08-18,2.378967
2020-08-19,2.4612672
2020-08-20,2.5451603
2020-08-21,2.626257
2020-08-22,2.7038524
2020-08-23,2.7718904
2020-08-24,2.842426
2020-08-25,2.9091237
2020-08-26,2.972303
2020-08-27,3.03025
2020-08-28,3.081863
2020-08-29,3.129245
2020-08-30,3.1774116
2020-08-31,3.2173204
2020-09-01,3.254673
2020-09-02,3.2846334
2020-09-03,3.310988
2020-09-04,3.334452
2020-09-05,3.3596852
2020-09-06,3.3874168
2020-09-07,3.4162807
2020-09-08,3.443698
2020-09-09,3.4739752
2020-09-10,3.4984398
2020-09-11,3.5254738
2020-09-12,3.5502074
2020-09-13,3.5733738
2020-09-14,3.598882
2020-09-15,3.6269479
2020-09-16,3.6657476
2020-09-17,3.7169755
2020-09-18,3.7751496
2020-09-19,3.840814
2020-09-20,3.9177809
2020-09-21,4.0073113
2020-09-22,4.1113935
2020-09-23,4.221689
2020-09-24,4.3386073
2020-09-25,4.471047
2020-09-26,4.6195164
2020-09-27,4.7816434
2020-09-28,4.9552464
2020-09-29,5.141374
2020-09-30,5.3372006
2020-10-01,5.5506516
2020-10-02,5.7797837
2020-10-03,6.024045
2020-10-04,6.2791247
2020-10-05,6.5587044
2020-10-06,6.8542466
2020-10-07,7.1748805
2020-10-08,7.5141625
2020-10-09,7.864911
2020-10-10,8.233493
2020-10-11,8.6259775
2020-10-12,9.033294
2020-10-13,9.48565
2020-10-14,9.964589
2020-10-15,10.486561
2020-10-16,11.050246
2020-10-17,11.656945
2020-10-18,12.299868
2020-10-19,12.966499
2020-10-20,13.622777
2020-10-21,14.303742
2020-10-22,14.999902
2020-10-23,15.713523
2020-10-24,16.440268
2020-10-25,17.17749
2020-10-26,17.927795
2020-10-27,18.720757
2020-10-28,19.532902
2020-10-29,20.35976
2020-10-30,21.194294
2020-10-31,22.025532
2020-11-01,22.858366
2020-11-02,23.664381
2020-11-03,24.419094
2020-11-04,25.143019
2020-11-05,25.860432
2020-11-06,26.564386
2020-11-07,27.266108
2020-11-08,28.009108
2020-11-09,28.822094
2020-11-10,29.734669
2020-11-11,30.728191
2020-11-12,31.758753
2020-11-13,32.90547
2020-11-14,34.13014
2020-11-15,35.388676
2020-11-16,36.75921
2020-11-17,38.20387
2020-11-18,39.682755
2020-11-19,41.232487
2020-11-20,42.86151
2020-11-21,44.58463
2020-11-22,46.395607
2020-11-23,48.24692
2020-11-24,50.16059
2020-11-25,52.208885
2020-11-26,54.31029
2020-11-27,56.435314
2020-11-28,58.65704
2020-11-29,60.977154
2020-11-30,63.281803
2020-12-01,65.63471
2020-12-02,68.04603
2020-12-03,70.67537
2020-12-04,73.43985
2020-12-05,76.37753
2020-12-06,79.59248
2020-12-07,83.17354
2020-12-08,87.05173
2020-12-09,91.15184
2020-12-10,95.39575
2020-12-11,99.81884
2020-12-12,104.21092
2020-12-13,108.374466
2020-12-14,112.14394
2020-12-15,115.538445
2020-12-16,118.755905
2020-12-17,121.91498
2020-12-18,124.73066
2020-12-19,127.051544
2020-12-20,129.07869
2020-12-21,130.97115
2020-12-22,132.81921
2020-12-23,134.29315
2020-12-24,135.28743
2020-12-25,136.36139
2020-12-26,137.44348
2020-12-27,138.54648
2020-12-28,139.58188
2020-12-29,140.43434
2020-12-30,141.50842
2020-12-31,141.97879
2021-01-01,141.65341
2021-01-02,140.85464
2021-01-03,139.86899
2021-01-04,138.64899
2021-01-05,137.34984
2021-01-06,135.59924
2021-01-07,134.12903
2021-01-08,132.98686
2021-01-09,132.1372
2021-01-10,131.11842
2021-01-11,130.11139
2021-01-12,129.10585
2021-01-13,128.04315
2021-01-14,127.04874
2021-01-15,126.02196
2021-01-16,124.9817
2021-01-17,123.91888
2021-01-18,122.71393
2021-01-19,121.4003
2021-01-20,120.024475
2021-01-21,118.67714
2021-01-22,117.108086
2021-01-23,115.304825
2021-01-24,113.564865
2021-01-25,111.85791
2021-01-26,110.13048
2021-01-27,108.50501
2021-01-28,106.75799
2021-01-29,105.15557
2021-01-30,103.56408
2021-01-31,102.07547
