date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.057953604
2020-08-03,0.174352
2020-08-04,0.37511134
2020-08-05,0.5995297
2020-08-06,0.8426983
2020-08-07,1.0854388
2020-08-08,1.2578707
2020-08-09,1.4184917
2020-08-10,1.573538
2020-08-11,1.7254928
2020-08-12,1.8769424
2020-08-13,2.028859
2020-08-14,2.1808796
2020-08-15,2.335778
2020-08-16,2.4927838
2020-08-17,2.653274
2020-08-18,2.8168685
2020-08-19,2.9842708
2020-08-20,3.1563888
2020-08-21,3.3312943
2020-08-22,3.5094235
2020-08-23,3.6905594
2020-08-24,3.8735368
2020-08-25,4.0584116
2020-08-26,4.246019
2020-08-27,4.437098
2020-08-28,4.6315312
2020-08-29,4.830858
2020-08-30,5.0361547
2020-08-31,5.2487707
2020-09-01,5.4697475
2020-09-02,5.7007823
2020-09-03,5.944108
2020-09-04,6.200374
2020-09-05,6.4703503
2020-09-06,6.753932
2020-09-07,7.050223
2020-09-08,7.35827
2020-09-09,7.6771927
2020-09-10,8.004592
2020-09-11,8.34056
2020-09-12,8.684459
2020-09-13,9.038887
2020-09-14,9.405654
2020-09-15,9.785773
2020-09-16,10.181758
2020-09-17,10.592592
2020-09-18,11.0194
2020-09-19,11.462102
2020-09-20,11.919732
2020-09-21,12.390615
2020-09-22,12.872889
2020-09-23,13.363191
2020-09-24,13.857769
2020-09-25,14.353045
2020-09-26,14.846063
2020-09-27,15.334735
2020-09-28,15.817971
2020-09-29,16.295908
2020-09-30,16.77144
2020-10-01,17.247925
2020-10-02,17.727495
2020-10-03,18.214437
2020-10-04,18.711702
2020-10-05,19.220095
2020-10-06,19.739859
2020-10-07,20.27144
2020-10-08,20.815361
2020-10-09,21.373695
2020-10-10,21.943027
2020-10-11,22.521332
2020-10-12,23.10637
2020-10-13,23.695656
2020-10-14,24.282383
2020-10-15,24.863047
2020-10-16,25.433067
2020-10-17,25.995104
2020-10-18,26.551037
2020-10-19,27.105236
2020-10-20,27.6641
2020-10-21,28.238882
2020-10-22,28.831078
2020-10-23,29.440098
2020-10-24,30.062325
2020-10-25,30.694542
2020-10-26,31.332533
2020-10-27,31.968462
2020-10-28,32.591568
2020-10-29,33.197086
2020-10-30,33.78549
2020-10-31,34.355614
2020-11-01,34.906437
2020-11-02,35.43623
2020-11-03,35.945038
2020-11-04,36.43352
2020-11-05,36.901264
2020-11-06,37.346424
2020-11-07,37.767452
2020-11-08,38.16246
2020-11-09,38.530056
2020-11-10,38.870018
2020-11-11,39.182533
2020-11-12,39.470608
2020-11-13,39.734425
2020-11-14,39.976746
2020-11-15,40.200138
2020-11-16,40.40747
2020-11-17,40.599785
2020-11-18,40.78028
2020-11-19,40.947563
2020-11-20,41.103046
2020-11-21,41.24741
2020-11-22,41.380913
2020-11-23,41.504887
2020-11-24,41.623558
2020-11-25,41.738026
2020-11-26,41.85454
2020-11-27,41.976704
2020-11-28,42.107567
2020-11-29,42.25179
2020-11-30,42.411358
2020-12-01,42.584934
2020-12-02,42.77027
2020-12-03,42.964993
2020-12-04,43.16789
2020-12-05,43.374245
2020-12-06,43.576958
2020-12-07,43.765797
2020-12-08,43.929043
2020-12-09,44.05444
2020-12-10,44.127316
2020-12-11,44.133865
2020-12-12,44.061283
2020-12-13,43.896687
2020-12-14,43.63818
2020-12-15,43.286846
2020-12-16,42.84756
2020-12-17,42.329147
2020-12-18,41.73964
2020-12-19,41.088364
2020-12-20,40.38602
2020-12-21,39.635975
2020-12-22,38.833435
2020-12-23,37.966347
2020-12-24,37.02609
2020-12-25,36.006947
2020-12-26,34.905125
2020-12-27,33.71776
2020-12-28,32.446903
2020-12-29,31.107403
2020-12-30,29.720829
2020-12-31,28.305513
2021-01-01,26.878962
2021-01-02,25.459366
2021-01-03,24.06417
2021-01-04,22.706987
2021-01-05,21.398167
2021-01-06,20.14746
2021-01-07,18.959587
2021-01-08,17.835718
2021-01-09,16.774542
2021-01-10,15.774458
2021-01-11,14.833388
2021-01-12,13.948166
2021-01-13,13.114289
2021-01-14,12.328577
2021-01-15,11.589368
2021-01-16,10.895089
2021-01-17,10.243044
2021-01-18,9.631026
2021-01-19,9.05669
2021-01-20,8.517759
2021-01-21,8.012347
2021-01-22,7.5382586
2021-01-23,7.0934873
2021-01-24,6.6766353
2021-01-25,6.286041
2021-01-26,5.920332
2021-01-27,5.5781727
2021-01-28,5.2581596
2021-01-29,4.959142
2021-01-30,4.6801505
2021-01-31,4.4200807
