date,expected_hospitalisation
2020-08-01,2.5e-14
2020-08-02,0.05751944
2020-08-03,0.17304583
2020-08-04,0.37230116
2020-08-05,0.5950383
2020-08-06,0.83638513
2020-08-07,1.0773072
2020-08-08,1.2283667
2020-08-09,1.3583629
2020-08-10,1.4709564
2020-08-11,1.573255
2020-08-12,1.6749334
2020-08-13,1.7798592
2020-08-14,1.88492
2020-08-15,1.9871264
2020-08-16,2.0833058
2020-08-17,2.190485
2020-08-18,2.3016357
2020-08-19,2.409497
2020-08-20,2.5130112
2020-08-21,2.618761
2020-08-22,2.7335043
2020-08-23,2.8747075
2020-08-24,3.0084274
2020-08-25,3.1526356
2020-08-26,3.311606
2020-08-27,3.4943233
2020-08-28,3.7020223
2020-08-29,3.9329581
2020-08-30,4.1727986
2020-08-31,4.454669
2020-09-01,4.760599
2020-09-02,5.112952
2020-09-03,5.5031404
2020-09-04,5.930115
2020-09-05,6.375334
2020-09-06,6.837162
2020-09-07,7.324669
2020-09-08,7.8525605
2020-09-09,8.397457
2020-09-10,9.010915
2020-09-11,9.6403
2020-09-12,10.3204975
2020-09-13,11.06554
2020-09-14,11.844604
2020-09-15,12.658332
2020-09-16,13.441588
2020-09-17,14.143573
2020-09-18,14.819631
2020-09-19,15.463252
2020-09-20,16.02914
2020-09-21,16.513592
2020-09-22,16.959286
2020-09-23,17.367834
2020-09-24,17.746521
2020-09-25,18.10793
2020-09-26,18.456284
2020-09-27,18.790867
2020-09-28,19.112543
2020-09-29,19.42404
2020-09-30,19.724783
2020-10-01,20.022694
2020-10-02,20.317833
2020-10-03,20.608644
2020-10-04,20.892954
2020-10-05,21.183285
2020-10-06,21.472431
2020-10-07,21.76588
2020-10-08,22.060543
2020-10-09,22.351412
2020-10-10,22.642834
2020-10-11,22.937277
2020-10-12,23.230217
2020-10-13,23.537985
2020-10-14,23.84984
2020-10-15,24.173632
2020-10-16,24.507582
2020-10-17,24.850452
2020-10-18,25.198849
2020-10-19,25.54555
2020-10-20,25.87798
2020-10-21,26.20936
2020-10-22,26.535616
2020-10-23,26.859041
2020-10-24,27.17797
2020-10-25,27.49283
2020-10-26,27.805143
2020-10-27,28.122757
2020-10-28,28.438324
2020-10-29,28.751612
2020-10-30,29.060266
2020-10-31,29.360054
2020-11-01,29.654266
2020-11-02,30.067299
2020-11-03,30.677317
2020-11-04,31.427326
2020-11-05,32.248177
2020-11-06,33.166954
2020-11-07,34.157192
2020-11-08,35.08769
2020-11-09,35.86913
2020-11-10,36.555138
2020-11-11,37.201324
2020-11-12,37.809902
2020-11-13,38.410877
2020-11-14,38.996193
2020-11-15,39.55623
2020-11-16,40.11332
2020-11-17,40.659184
2020-11-18,41.18668
2020-11-19,41.70841
2020-11-20,42.22699
2020-11-21,42.743305
2020-11-22,43.257458
2020-11-23,43.763298
2020-11-24,44.264954
2020-11-25,44.773357
2020-11-26,45.274242
2020-11-27,45.765465
2020-11-28,46.26003
2020-11-29,46.757244
2020-11-30,47.239124
2020-12-01,47.716434
2020-12-02,48.190075
2020-12-03,48.684624
2020-12-04,49.187386
2020-12-05,49.702522
2020-12-06,50.243103
2020-12-07,50.819946
2020-12-08,51.422157
2020-12-09,52.037407
2020-12-10,52.65404
2020-12-11,53.273106
2020-12-12,53.86981
2020-12-13,54.46653
2020-12-14,55.54195
2020-12-15,57.09496
2020-12-16,58.922997
2020-12-17,60.909523
2020-12-18,63.41701
2020-12-19,66.67427
2020-12-20,70.487045
2020-12-21,74.69192
2020-12-22,79.19987
2020-12-23,84.57599
2020-12-24,91.10819
2020-12-25,97.89784
2020-12-26,105.11093
2020-12-27,112.77015
2020-12-28,121.114334
2020-12-29,130.48283
2020-12-30,139.8782
2020-12-31,151.70238
2021-01-01,166.89491
2021-01-02,184.94104
2021-01-03,205.27512
2021-01-04,228.5341
2021-01-05,254.48627
2021-01-06,285.68616
2021-01-07,318.3235
2021-01-08,351.87296
2021-01-09,386.38037
2021-01-10,426.1522
2021-01-11,469.85135
2021-01-12,517.9491
2021-01-13,571.6561
2021-01-14,629.7649
2021-01-15,694.46545
2021-01-16,766.07196
2021-01-17,845.3618
2021-01-18,935.94385
2021-01-19,1038.7384
2021-01-20,1154.4287
2021-01-21,1281.913
2021-01-22,1431.4421
2021-01-23,1607.0892
2021-01-24,1800.1222
2021-01-25,2014.2819
2021-01-26,2255.4336
2021-01-27,2518.9739
2021-01-28,2823.6519
2021-01-29,3152.014
2021-01-30,3519.3958
2021-01-31,3920.373
