"Uge";"Aldersgruppe";"Vaccinationsstatus";"Bekræftede tilfælde";"Befolkningstørrelse";"Bekræftede tilfælde pr. 100.000"
2020-W52;12-15;Forventet fuld effekt;0;0;0,00
2020-W52;12-15;Ikke vaccineret;784;283610;276,44
2020-W52;12-15;Påbegyndt vaccinationsforløb;0;0;0,00
2020-W52;16-19;Forventet fuld effekt;0;0;0,00
2020-W52;16-19;Ikke vaccineret;1064;278165;382,51
2020-W52;16-19;Påbegyndt vaccinationsforløb;0;0;0,00
2020-W52;20-39;Forventet fuld effekt;0;0;0,00
2020-W52;20-39;Ikke vaccineret;5214;1485292;351,04
2020-W52;20-39;Påbegyndt vaccinationsforløb;0;6;0,00
2020-W52;40-64;Forventet fuld effekt;0;0;0,00
2020-W52;40-64;Ikke vaccineret;5887;1905822;308,90
2020-W52;40-64;Påbegyndt vaccinationsforløb;0;3;0,00
2020-W52;65-79;Forventet fuld effekt;0;0;0,00
2020-W52;65-79;Ikke vaccineret;1469;895183;164,10
2020-W52;65-79;Påbegyndt vaccinationsforløb;0;1;0,00
2020-W52;80+;Forventet fuld effekt;0;0;0,00
2020-W52;80+;Ikke vaccineret;684;271763;251,69
2020-W52;80+;Påbegyndt vaccinationsforløb;0;2;0,00
2020-W53;12-15;Forventet fuld effekt;0;0;0,00
2020-W53;12-15;Ikke vaccineret;637;283608;224,61
2020-W53;12-15;Påbegyndt vaccinationsforløb;0;2;0,00
2020-W53;16-19;Forventet fuld effekt;0;0;0,00
2020-W53;16-19;Ikke vaccineret;850;278083;305,66
2020-W53;16-19;Påbegyndt vaccinationsforløb;0;82;0,00
2020-W53;20-39;Forventet fuld effekt;0;0;0,00
2020-W53;20-39;Ikke vaccineret;4478;1479903;302,59
2020-W53;20-39;Påbegyndt vaccinationsforløb;77;5395;1427,29
2020-W53;40-64;Forventet fuld effekt;0;0;0,00
2020-W53;40-64;Ikke vaccineret;4807;1894263;253,77
2020-W53;40-64;Påbegyndt vaccinationsforløb;93;11562;804,35
