"Dato";"Indlæggelser kumuleret"
2020-02-26;0
2020-02-27;0
2020-02-28;0
2020-03-01;1
2020-03-02;2
2020-03-03;3
2020-03-04;4
2020-03-05;7
2020-03-06;8
2020-03-07;10
2020-03-08;12
2020-03-09;32
2020-03-10;53
2020-03-11;68
2020-03-12;87
2020-03-13;106
2020-03-14;127
2020-03-15;156
2020-03-16;205
2020-03-17;259
2020-03-18;308
2020-03-19;353
2020-03-20;417
2020-03-21;446
2020-03-22;489
2020-03-23;571
2020-03-24;656
2020-03-25;747
2020-03-26;833
2020-03-27;926
2020-03-28;1019
2020-03-29;1074
2020-03-30;1159
2020-03-31;1226
2020-04-01;1286
2020-04-02;1358
2020-04-03;1432
2020-04-04;1490
2020-04-05;1525
2020-04-06;1581
2020-04-07;1631
2020-04-08;1669
2020-04-09;1697
2020-04-10;1717
2020-04-11;1750
2020-04-12;1773
2020-04-13;1805
2020-04-14;1841
2020-04-15;1866
2020-04-16;1892
2020-04-17;1920
2020-04-18;1944
2020-04-19;1975
2020-04-20;2011
2020-04-21;2044
2020-04-22;2078
2020-04-23;2111
2020-04-24;2132
2020-04-25;2151
2020-04-26;2175
2020-04-27;2198
2020-04-28;2208
2020-04-29;2229
2020-04-30;2245
2020-05-01;2255
2020-05-02;2267
2020-05-03;2284
2020-05-04;2299
2020-05-05;2317
2020-05-06;2324
2020-05-07;2337
2020-05-08;2345
2020-05-09;2358
2020-05-10;2364
2020-05-11;2374
2020-05-12;2380
2020-05-13;2384
2020-05-14;2395
2020-05-15;2407
2020-05-16;2411
2020-05-17;2416
2020-05-18;2425
2020-05-19;2431
2020-05-20;2440
2020-05-21;2447
2020-05-22;2462
2020-05-23;2469
2020-05-24;2475
2020-05-25;2479
2020-05-26;2491
2020-05-27;2501
2020-05-28;2508
2020-05-29;2514
2020-05-30;2520
2020-05-31;2521
2020-06-01;2527
2020-06-02;2529
2020-06-03;2531
2020-06-04;2534
2020-06-05;2539
2020-06-06;2540
2020-06-07;2542
2020-06-08;2547
2020-06-09;2547
2020-06-10;2551
2020-06-11;2554
2020-06-12;2564
2020-06-13;2570
2020-06-14;2573
2020-06-15;2579
2020-06-16;2585
2020-06-17;2592
2020-06-18;2594
2020-06-19;2597
2020-06-20;2597
2020-06-21;2601
2020-06-22;2605
2020-06-23;2607
2020-06-24;2617
2020-06-25;2619
2020-06-26;2621
2020-06-27;2625
2020-06-28;2626
2020-06-29;2626
2020-06-30;2630
2020-07-01;2631
2020-07-02;2632
2020-07-03;2632
2020-07-04;2632
2020-07-05;2633
2020-07-06;2635
2020-07-07;2637
2020-07-08;2640
2020-07-09;2645
2020-07-10;2646
2020-07-11;2648
2020-07-12;2650
2020-07-13;2653
2020-07-14;2653
2020-07-15;2659
2020-07-16;2662
2020-07-17;2663
2020-07-18;2667
2020-07-19;2670
2020-07-20;2670
2020-07-21;2674
2020-07-22;2676
2020-07-23;2678
2020-07-24;2681
2020-07-25;2684
2020-07-26;2686
2020-07-27;2692
2020-07-28;2698
2020-07-29;2706
2020-07-30;2708
2020-07-31;2710
2020-08-01;2711
2020-08-02;2714
2020-08-03;2719
2020-08-04;2724
2020-08-05;2730
2020-08-06;2737
2020-08-07;2741
2020-08-08;2745
2020-08-09;2746
2020-08-10;2749
2020-08-11;2755
2020-08-12;2765
2020-08-13;2767
2020-08-14;2770
2020-08-15;2775
2020-08-16;2778
2020-08-17;2781
2020-08-18;2785
2020-08-19;2790
2020-08-20;2794
2020-08-21;2796
2020-08-22;2801
2020-08-23;2803
2020-08-24;2809
2020-08-25;2811
2020-08-26;2814
2020-08-27;2818
2020-08-28;2823
2020-08-29;2827
2020-08-30;2834
2020-08-31;2838
2020-09-01;2844
2020-09-02;2858
2020-09-03;2867
2020-09-04;2876
2020-09-05;2885
2020-09-06;2894
2020-09-07;2907
2020-09-08;2921
2020-09-09;2934
2020-09-10;2952
2020-09-11;2966
2020-09-12;2977
2020-09-13;2994
2020-09-14;3011
2020-09-15;3036
2020-09-16;3066
2020-09-17;3085
2020-09-18;3105
2020-09-19;3125
2020-09-20;3142
2020-09-21;3158
2020-09-22;3178
2020-09-23;3204
2020-09-24;3229
2020-09-25;3249
2020-09-26;3262
2020-09-27;3275
2020-09-28;3292
2020-09-29;3310
2020-09-30;3324
2020-10-01;3340
2020-10-02;3354
2020-10-03;3361
2020-10-04;3379
2020-10-05;3403
2020-10-06;3418
2020-10-07;3440
2020-10-08;3454
2020-10-09;3473
2020-10-10;3489
2020-10-11;3503
2020-10-12;3529
2020-10-13;3550
2020-10-14;3576
2020-10-15;3599
2020-10-16;3623
2020-10-17;3642
2020-10-18;3672
2020-10-19;3692
2020-10-20;3725
2020-10-21;3752
2020-10-22;3780
2020-10-23;3804
2020-10-24;3838
2020-10-25;3864
2020-10-26;3906
2020-10-27;3952
2020-10-28;3998
2020-10-29;4034
2020-10-30;4072
2020-10-31;4102
2020-11-01;4142
2020-11-02;4178
2020-11-03;4230
2020-11-04;4279
2020-11-05;4325
2020-11-06;4367
2020-11-07;4385
2020-11-08;4415
2020-11-09;4469
2020-11-10;4512
2020-11-11;4554
