"uge";"Region Hovedstaden";"Statens Serum Institut";"Region Midtjylland";"Region Nordjylland";"Region Sjælland";"Region Syddanmark";"Test center Danmark";"Andre";"Sundhedsspor";"Samfundsspor";"Total"
2020-W05;1;0;0;0;0;0;0;0;0;0;0
2020-W07;;1;0;0;0;0;0;0;0;0;0
2020-W08;;7;0;0;0;0;0;0;0;0;0
2020-W09;20;247;67;0;0;0;0;0;0;0;0
2020-W10;266;86;235;59;94;66;0;0;806;0;0
2020-W11;1648;2;1478;361;695;783;0;0;4967;0;0
2020-W12;2647;27;1827;441;965;1459;0;0;7366;0;0
2020-W13;4278;513;1365;725;1379;1783;0;0;10043;0;0
2020-W14;12590;568;4652;2465;3276;4764;0;0;28315;0;0
2020-W15;12253;437;4923;2609;2729;4691;49;0;27642;49;27691
2020-W16;12050;575;5159;2354;2950;5047;34;0;28135;34;28169
2020-W17;24575;551;13330;8624;11613;13538;6090;0;72231;6090;78321
2020-W18;29847;327;18241;8026;13018;16364;15026;0;85823;15026;100849
2020-W19;29345;154;13308;5420;11259;11780;15251;0;71266;15251;86517
2020-W20;30585;62;14914;5827;10234;13884;11282;0;75506;11282;86788
2020-W21;23706;13;11199;4648;7925;10812;24935;0;58303;24935;83238
2020-W22;22247;19;10178;4175;7127;9577;35752;0;53323;35752;89075
2020-W23;20125;9;9032;3804;6935;9205;26380;0;49110;26380;75490
2020-W24;25881;15;12552;5395;8828;12603;31117;0;65274;31117;96391
2020-W25;28345;5;13286;8096;9319;14268;40363;0;73319;40363;113682
2020-W26;27017;3;12961;6851;9476;13625;44479;0;69933;44479;114412
2020-W27;22917;4;11154;5960;7103;11552;45039;0;58690;45039;103729
2020-W28;21147;2;10240;5712;6645;10736;43800;0;54482;43800;98282
2020-W29;20374;2;9538;5208;7012;11115;50132;0;53249;50132;103381
2020-W30;19776;0;9197;4764;6169;10362;58330;0;50268;58330;108598
2020-W31;21393;0;11138;5556;7295;11754;76044;0;57136;76044;133180
2020-W32;25585;0;16085;7076;8903;15144;98150;0;72793;98150;170943
2020-W33;30621;0;20039;9232;11257;18324;127962;0;89473;127962;217435
2020-W34;34906;2;23847;12592;14555;27158;130796;0;113060;130796;243856
2020-W35;41034;0;25448;13104;15915;30695;118645;2;126196;118645;244841
2020-W36;43255;0;25107;12950;15817;32260;127747;419;129389;127747;257136
2020-W37;53599;2;25067;13643;16943;34964;189109;513;144218;189109;333327
2020-W38;50488;0;25095;14871;15555;30529;218938;578;136538;218938;355476
2020-W39;49840;0;28323;13640;15169;30764;215701;712;137736;215701;353437
2020-W40;40091;0;23405;10588;12582;24382;199401;1046;111048;199401;310449
2020-W41;34561;1;19841;8694;10773;21758;204744;1480;95628;204744;300372
2020-W42;27288;1;14133;6785;7714;15635;170883;842;71556;170883;242439
2020-W43;32101;0;15968;8064;9080;17962;258953;740;83175;258953;342128
2020-W44;37054;0;14450;9373;10914;16963;362188;1962;88754;362188;450942
2020-W45;45537;1;17943;9490;15601;20792;368906;2036;109364;368906;478270
2020-W46;42139;2;18373;8694;15585;23100;399457;1305;107893;399457;507350
2020-W47;53210;1;19747;7713;13353;26818;392601;1434;120842;392601;513443
2020-W48;67752;0;19277;7320;13502;31541;371244;2002;139392;371244;510636
2020-W49;76026;0;19448;7221;13933;31518;406827;2237;148146;406827;554973
2020-W50;99440;2;26780;8884;21114;36711;512071;4159;192931;512071;705002
2020-W51;107224;0;47351;14642;23365;41032;667334;5865;233614;667334;900948
2020-W52;56956;0;42515;11744;15700;30705;505238;6061;157620;505238;662858
2020-W53;39364;0;43452;7095;11305;24517;423607;2539;125733;423607;549340
2021-W01;45336;1;45103;9288;11392;24149;440981;3769;135269;440981;576250
2021-W02;44444;2;19054;8044;11751;25067;502117;2276;108362;502117;610479
2021-W03;47175;7;21514;9414;12441;31047;635692;2661;121598;635692;757290
2021-W04;47013;3;19662;9368;12069;29092;671270;3195;117207;671270;788477
2021-W05;47631;6;20728;9555;12487;27823;693585;6808;118230;693585;811815
2021-W06;44675;6;20721;9824;11848;27974;711585;7303;115048;711585;826633
2021-W07;41029;2;19208;9562;11731;26622;748448;5505;108154;748448;856602
2021-W08;47464;5061;22158;9262;12728;31259;857116;5207;127932;857116;985048
