"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;;;37;2022-01-31
;;0-9;240;2022-01-31
019;;0-9;167;2022-01-31
101;København;0-9;28311;2022-01-31
147;Frederiksberg;0-9;4254;2022-01-31
151;Ballerup;0-9;2672;2022-01-31
153;Brøndby;0-9;2104;2022-01-31
155;Dragør;0-9;859;2022-01-31
157;Gentofte;0-9;3596;2022-01-31
159;Gladsaxe;0-9;3799;2022-01-31
161;Glostrup;0-9;1328;2022-01-31
163;Herlev;0-9;1865;2022-01-31
165;Albertslund;0-9;1536;2022-01-31
167;Hvidovre;0-9;3436;2022-01-31
169;Høje Tåstrup;0-9;2874;2022-01-31
173;Lyngby-Taarbæk;0-9;2645;2022-01-31
175;Rødovre;0-9;2528;2022-01-31
183;Ishøj;0-9;1440;2022-01-31
185;Tårnby;0-9;2332;2022-01-31
187;Vallensbæk;0-9;1029;2022-01-31
190;Furesø;0-9;2171;2022-01-31
201;Allerød;0-9;1267;2022-01-31
210;Fredensborg;0-9;1895;2022-01-31
217;Helsingør;0-9;2534;2022-01-31
219;Hillerød;0-9;2378;2022-01-31
223;Hørsholm;0-9;1139;2022-01-31
230;Rudersdal;0-9;2697;2022-01-31
240;Egedal;0-9;2309;2022-01-31
250;Frederikssund;0-9;1713;2022-01-31
253;Greve;0-9;2753;2022-01-31
259;Køge;0-9;2441;2022-01-31
260;Halsnæs;0-9;1120;2022-01-31
265;Roskilde;0-9;3586;2022-01-31
269;Solrød;0-9;1331;2022-01-31
270;Gribskov;0-9;1263;2022-01-31
306;Odsherred;0-9;553;2022-01-31
316;Holbæk;0-9;2417;2022-01-31
320;Faxe;0-9;1188;2022-01-31
326;Kalundborg;0-9;1441;2022-01-31
329;Ringsted;0-9;1396;2022-01-31
330;Slagelse;0-9;2883;2022-01-31
336;Stevns;0-9;721;2022-01-31
340;Sorø;0-9;709;2022-01-31
350;Lejre;0-9;1080;2022-01-31
360;Lolland;0-9;1159;2022-01-31
370;Næstved;0-9;2547;2022-01-31
376;Guldborgsund;0-9;1970;2022-01-31
390;Vordingborg;0-9;1268;2022-01-31
400;Bornholm;0-9;1036;2022-01-31
410;Middelfart;0-9;1054;2022-01-31
420;Assens;0-9;1210;2022-01-31
430;Faaborg-Midtfyn;0-9;1530;2022-01-31
440;Kerteminde;0-9;750;2022-01-31
450;Nyborg;0-9;990;2022-01-31
461;Odense;0-9;8601;2022-01-31
479;Svendborg;0-9;1727;2022-01-31
480;Nordfyn;0-9;953;2022-01-31
482;Langeland;0-9;218;2022-01-31
492;Ærø;0-9;60;2022-01-31
510;Haderslev;0-9;1710;2022-01-31
530;Billund;0-9;849;2022-01-31
540;Sønderborg;0-9;2322;2022-01-31
550;Tønder;0-9;1106;2022-01-31
561;Esbjerg;0-9;4864;2022-01-31
563;Fanø;0-9;73;2022-01-31
573;Varde;0-9;1848;2022-01-31
575;Vejen;0-9;1454;2022-01-31
580;Aabenraa;0-9;1723;2022-01-31
607;Fredericia;0-9;1831;2022-01-31
615;Horsens;0-9;3409;2022-01-31
621;Kolding;0-9;3361;2022-01-31
630;Vejle;0-9;4506;2022-01-31
657;Herning;0-9;3328;2022-01-31
661;Holstebro;0-9;2278;2022-01-31
665;Lemvig;0-9;471;2022-01-31
671;Struer;0-9;520;2022-01-31
706;Syddjurs;0-9;1087;2022-01-31
707;Norddjurs;0-9;814;2022-01-31
710;Favrskov;0-9;1794;2022-01-31
727;Odder;0-9;595;2022-01-31
730;Randers;0-9;3070;2022-01-31
740;Silkeborg;0-9;3631;2022-01-31
741;Samsø;0-9;21;2022-01-31
746;Skanderborg;0-9;2871;2022-01-31
751;Århus;0-9;13217;2022-01-31
756;Ikast-Brande;0-9;1260;2022-01-31
760;Ringkøbing-Skjern;0-9;1481;2022-01-31
766;Hedensted;0-9;1317;2022-01-31
773;Morsø;0-9;561;2022-01-31
779;Skive;0-9;1193;2022-01-31
787;Thisted;0-9;1039;2022-01-31
791;Viborg;0-9;3044;2022-01-31
810;Brønderslev;0-9;1241;2022-01-31
813;Frederikshavn;0-9;1595;2022-01-31
820;Vesthimmerland;0-9;1211;2022-01-31
825;Læsø;0-9;4;2022-01-31
840;Rebild;0-9;1229;2022-01-31
846;Mariagerfjord;0-9;1259;2022-01-31
849;Jammerbugt;0-9;1142;2022-01-31
851;Aalborg;0-9;6940;2022-01-31
860;Hjørring;0-9;2265;2022-01-31
;;10-19;424;2022-01-31
011;;10-19;14;2022-01-31
019;;10-19;159;2022-01-31
101;København;10-19;32702;2022-01-31
147;Frederiksberg;10-19;5338;2022-01-31
151;Ballerup;10-19;3456;2022-01-31
153;Brøndby;10-19;2612;2022-01-31
155;Dragør;10-19;992;2022-01-31
157;Gentofte;10-19;6399;2022-01-31
159;Gladsaxe;10-19;5118;2022-01-31
161;Glostrup;10-19;1516;2022-01-31
163;Herlev;10-19;2279;2022-01-31
165;Albertslund;10-19;2152;2022-01-31
167;Hvidovre;10-19;4164;2022-01-31
169;Høje Tåstrup;10-19;3895;2022-01-31
173;Lyngby-Taarbæk;10-19;4139;2022-01-31
175;Rødovre;10-19;3065;2022-01-31
183;Ishøj;10-19;1886;2022-01-31
185;Tårnby;10-19;3133;2022-01-31
187;Vallensbæk;10-19;1350;2022-01-31
190;Furesø;10-19;3134;2022-01-31
201;Allerød;10-19;1819;2022-01-31
210;Fredensborg;10-19;2986;2022-01-31
217;Helsingør;10-19;4261;2022-01-31
219;Hillerød;10-19;3709;2022-01-31
223;Hørsholm;10-19;1953;2022-01-31
230;Rudersdal;10-19;4615;2022-01-31
240;Egedal;10-19;3303;2022-01-31
250;Frederikssund;10-19;2954;2022-01-31
253;Greve;10-19;3813;2022-01-31
