"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;00-02;1;2022-01-31
019;00-02;8;2022-01-31
101;00-02;713;2022-01-31
147;00-02;131;2022-01-31
151;00-02;93;2022-01-31
153;00-02;49;2022-01-31
155;00-02;11;2022-01-31
157;00-02;72;2022-01-31
159;00-02;62;2022-01-31
161;00-02;26;2022-01-31
163;00-02;35;2022-01-31
165;00-02;31;2022-01-31
167;00-02;85;2022-01-31
169;00-02;71;2022-01-31
173;00-02;53;2022-01-31
175;00-02;49;2022-01-31
183;00-02;25;2022-01-31
185;00-02;49;2022-01-31
187;00-02;35;2022-01-31
190;00-02;54;2022-01-31
201;00-02;34;2022-01-31
210;00-02;46;2022-01-31
217;00-02;61;2022-01-31
219;00-02;68;2022-01-31
223;00-02;15;2022-01-31
230;00-02;43;2022-01-31
240;00-02;53;2022-01-31
250;00-02;39;2022-01-31
253;00-02;58;2022-01-31
259;00-02;65;2022-01-31
260;00-02;31;2022-01-31
265;00-02;67;2022-01-31
269;00-02;39;2022-01-31
270;00-02;28;2022-01-31
306;00-02;14;2022-01-31
316;00-02;84;2022-01-31
320;00-02;33;2022-01-31
326;00-02;18;2022-01-31
329;00-02;32;2022-01-31
330;00-02;110;2022-01-31
336;00-02;20;2022-01-31
340;00-02;9;2022-01-31
350;00-02;22;2022-01-31
360;00-02;24;2022-01-31
370;00-02;79;2022-01-31
376;00-02;64;2022-01-31
390;00-02;32;2022-01-31
400;00-02;22;2022-01-31
410;00-02;31;2022-01-31
420;00-02;38;2022-01-31
430;00-02;42;2022-01-31
440;00-02;18;2022-01-31
450;00-02;27;2022-01-31
461;00-02;329;2022-01-31
479;00-02;63;2022-01-31
480;00-02;39;2022-01-31
482;00-02;9;2022-01-31
510;00-02;63;2022-01-31
530;00-02;44;2022-01-31
540;00-02;68;2022-01-31
550;00-02;31;2022-01-31
561;00-02;200;2022-01-31
563;00-02;1;2022-01-31
573;00-02;61;2022-01-31
575;00-02;54;2022-01-31
580;00-02;62;2022-01-31
607;00-02;59;2022-01-31
615;00-02;111;2022-01-31
621;00-02;96;2022-01-31
630;00-02;115;2022-01-31
657;00-02;102;2022-01-31
661;00-02;65;2022-01-31
665;00-02;10;2022-01-31
671;00-02;21;2022-01-31
706;00-02;37;2022-01-31
707;00-02;25;2022-01-31
710;00-02;56;2022-01-31
727;00-02;12;2022-01-31
730;00-02;92;2022-01-31
740;00-02;92;2022-01-31
746;00-02;73;2022-01-31
751;00-02;364;2022-01-31
756;00-02;34;2022-01-31
760;00-02;32;2022-01-31
766;00-02;37;2022-01-31
773;00-02;11;2022-01-31
779;00-02;35;2022-01-31
787;00-02;26;2022-01-31
791;00-02;85;2022-01-31
810;00-02;50;2022-01-31
813;00-02;38;2022-01-31
820;00-02;19;2022-01-31
840;00-02;44;2022-01-31
846;00-02;35;2022-01-31
849;00-02;31;2022-01-31
851;00-02;235;2022-01-31
860;00-02;87;2022-01-31
;03-05;10;2022-01-31
019;03-05;9;2022-01-31
101;03-05;1327;2022-01-31
147;03-05;216;2022-01-31
151;03-05;166;2022-01-31
153;03-05;81;2022-01-31
155;03-05;31;2022-01-31
157;03-05;189;2022-01-31
159;03-05;182;2022-01-31
161;03-05;49;2022-01-31
163;03-05;68;2022-01-31
165;03-05;51;2022-01-31
167;03-05;143;2022-01-31
169;03-05;144;2022-01-31
173;03-05;160;2022-01-31
175;03-05;115;2022-01-31
183;03-05;57;2022-01-31
185;03-05;138;2022-01-31
187;03-05;43;2022-01-31
190;03-05;173;2022-01-31
201;03-05;117;2022-01-31
210;03-05;122;2022-01-31
217;03-05;156;2022-01-31
219;03-05;201;2022-01-31
223;03-05;61;2022-01-31
230;03-05;156;2022-01-31
240;03-05;150;2022-01-31
250;03-05;120;2022-01-31
253;03-05;163;2022-01-31
259;03-05;160;2022-01-31
260;03-05;63;2022-01-31
265;03-05;222;2022-01-31
269;03-05;109;2022-01-31
270;03-05;43;2022-01-31
306;03-05;42;2022-01-31
316;03-05;157;2022-01-31
320;03-05;78;2022-01-31
326;03-05;97;2022-01-31
329;03-05;78;2022-01-31
330;03-05;196;2022-01-31
336;03-05;41;2022-01-31
340;03-05;58;2022-01-31
350;03-05;64;2022-01-31
360;03-05;73;2022-01-31
370;03-05;208;2022-01-31
376;03-05;159;2022-01-31
390;03-05;90;2022-01-31
400;03-05;84;2022-01-31
410;03-05;102;2022-01-31
420;03-05;90;2022-01-31
430;03-05;125;2022-01-31
440;03-05;47;2022-01-31
450;03-05;78;2022-01-31
461;03-05;634;2022-01-31
479;03-05;178;2022-01-31
480;03-05;82;2022-01-31
482;03-05;22;2022-01-31
492;03-05;4;2022-01-31
510;03-05;134;2022-01-31
530;03-05;71;2022-01-31
540;03-05;172;2022-01-31
550;03-05;54;2022-01-31
561;03-05;364;2022-01-31
563;03-05;9;2022-01-31
573;03-05;138;2022-01-31
575;03-05;107;2022-01-31
580;03-05;139;2022-01-31
607;03-05;153;2022-01-31
615;03-05;264;2022-01-31
621;03-05;218;2022-01-31
630;03-05;342;2022-01-31
657;03-05;319;2022-01-31
661;03-05;162;2022-01-31
665;03-05;24;2022-01-31
671;03-05;44;2022-01-31
706;03-05;88;2022-01-31
707;03-05;69;2022-01-31
710;03-05;165;2022-01-31
727;03-05;41;2022-01-31
730;03-05;241;2022-01-31
740;03-05;286;2022-01-31
741;03-05;2;2022-01-31
746;03-05;264;2022-01-31
751;03-05;928;2022-01-31
756;03-05;81;2022-01-31
760;03-05;113;2022-01-31
766;03-05;109;2022-01-31
773;03-05;29;2022-01-31
779;03-05;85;2022-01-31
787;03-05;61;2022-01-31
791;03-05;162;2022-01-31
810;03-05;105;2022-01-31
813;03-05;140;2022-01-31
820;03-05;66;2022-01-31
825;03-05;1;2022-01-31
840;03-05;77;2022-01-31
846;03-05;79;2022-01-31
849;03-05;117;2022-01-31
851;03-05;471;2022-01-31
860;03-05;185;2022-01-31
;06-11;29;2022-01-31
019;06-11;39;2022-01-31
101;06-11;2569;2022-01-31
147;06-11;349;2022-01-31
151;06-11;308;2022-01-31
153;06-11;192;2022-01-31
155;06-11;84;2022-01-31
157;06-11;509;2022-01-31
159;06-11;380;2022-01-31
161;06-11;121;2022-01-31
163;06-11;185;2022-01-31
165;06-11;133;2022-01-31
167;06-11;305;2022-01-31
169;06-11;296;2022-01-31
173;06-11;418;2022-01-31
175;06-11;209;2022-01-31
183;06-11;143;2022-01-31
185;06-11;248;2022-01-31
187;06-11;133;2022-01-31
190;06-11;445;2022-01-31
201;06-11;207;2022-01-31
210;06-11;230;2022-01-31
217;06-11;401;2022-01-31
219;06-11;399;2022-01-31
223;06-11;185;2022-01-31
230;06-11;400;2022-01-31
240;06-11;299;2022-01-31
250;06-11;321;2022-01-31
253;06-11;406;2022-01-31
259;06-11;389;2022-01-31
260;06-11;207;2022-01-31
265;06-11;529;2022-01-31
269;06-11;202;2022-01-31
270;06-11;193;2022-01-31
306;06-11;102;2022-01-31
316;06-11;395;2022-01-31
320;06-11;237;2022-01-31
326;06-11;259;2022-01-31
329;06-11;200;2022-01-31
330;06-11;450;2022-01-31
336;06-11;211;2022-01-31
340;06-11;145;2022-01-31
350;06-11;165;2022-01-31
360;06-11;251;2022-01-31
370;06-11;531;2022-01-31
376;06-11;389;2022-01-31
390;06-11;280;2022-01-31
400;06-11;232;2022-01-31
410;06-11;255;2022-01-31
420;06-11;293;2022-01-31
430;06-11;435;2022-01-31
440;06-11;177;2022-01-31
450;06-11;254;2022-01-31
461;06-11;1371;2022-01-31
479;06-11;398;2022-01-31
480;06-11;249;2022-01-31
482;06-11;56;2022-01-31
492;06-11;21;2022-01-31
510;06-11;421;2022-01-31
530;06-11;229;2022-01-31
540;06-11;528;2022-01-31
550;06-11;229;2022-01-31
561;06-11;990;2022-01-31
563;06-11;10;2022-01-31
573;06-11;450;2022-01-31
575;06-11;324;2022-01-31
580;06-11;380;2022-01-31
607;06-11;305;2022-01-31
615;06-11;630;2022-01-31
621;06-11;719;2022-01-31
630;06-11;919;2022-01-31
657;06-11;714;2022-01-31
661;06-11;451;2022-01-31
665;06-11;69;2022-01-31
671;06-11;153;2022-01-31
706;06-11;313;2022-01-31
707;06-11;165;2022-01-31
710;06-11;449;2022-01-31
727;06-11;116;2022-01-31
730;06-11;686;2022-01-31
740;06-11;806;2022-01-31
741;06-11;6;2022-01-31
746;06-11;644;2022-01-31
751;06-11;2196;2022-01-31
756;06-11;289;2022-01-31
760;06-11;341;2022-01-31
766;06-11;251;2022-01-31
773;06-11;140;2022-01-31
779;06-11;269;2022-01-31
787;06-11;251;2022-01-31
791;06-11;660;2022-01-31
810;06-11;268;2022-01-31
813;06-11;368;2022-01-31
820;06-11;216;2022-01-31
825;06-11;6;2022-01-31
840;06-11;314;2022-01-31
846;06-11;361;2022-01-31
849;06-11;278;2022-01-31
851;06-11;1487;2022-01-31
860;06-11;468;2022-01-31
;12-15;7;2022-01-31
019;12-15;15;2022-01-31
101;12-15;2037;2022-01-31
147;12-15;367;2022-01-31
151;12-15;236;2022-01-31
153;12-15;151;2022-01-31
155;12-15;78;2022-01-31
157;12-15;467;2022-01-31
159;12-15;354;2022-01-31
161;12-15;109;2022-01-31
163;12-15;139;2022-01-31
165;12-15;109;2022-01-31
167;12-15;260;2022-01-31
169;12-15;250;2022-01-31
173;12-15;347;2022-01-31
175;12-15;177;2022-01-31
183;12-15;92;2022-01-31
185;12-15;209;2022-01-31
187;12-15;103;2022-01-31
190;12-15;337;2022-01-31
201;12-15;244;2022-01-31
210;12-15;232;2022-01-31
217;12-15;287;2022-01-31
219;12-15;362;2022-01-31
223;12-15;171;2022-01-31
230;12-15;361;2022-01-31
240;12-15;325;2022-01-31
250;12-15;279;2022-01-31
253;12-15;330;2022-01-31
259;12-15;335;2022-01-31
260;12-15;163;2022-01-31
265;12-15;624;2022-01-31
269;12-15;157;2022-01-31
270;12-15;192;2022-01-31
306;12-15;129;2022-01-31
316;12-15;349;2022-01-31
320;12-15;230;2022-01-31
326;12-15;214;2022-01-31
329;12-15;153;2022-01-31
330;12-15;383;2022-01-31
336;12-15;149;2022-01-31
340;12-15;184;2022-01-31
350;12-15;187;2022-01-31
360;12-15;178;2022-01-31
370;12-15;444;2022-01-31
376;12-15;369;2022-01-31
390;12-15;239;2022-01-31
400;12-15;217;2022-01-31
410;12-15;262;2022-01-31
420;12-15;279;2022-01-31
430;12-15;357;2022-01-31
440;12-15;181;2022-01-31
450;12-15;181;2022-01-31
461;12-15;1185;2022-01-31
479;12-15;355;2022-01-31
480;12-15;267;2022-01-31
482;12-15;66;2022-01-31
492;12-15;21;2022-01-31
510;12-15;355;2022-01-31
530;12-15;176;2022-01-31
540;12-15;374;2022-01-31
550;12-15;165;2022-01-31
561;12-15;683;2022-01-31
563;12-15;20;2022-01-31
573;12-15;355;2022-01-31
575;12-15;339;2022-01-31
580;12-15;314;2022-01-31
607;12-15;250;2022-01-31
615;12-15;423;2022-01-31
621;12-15;590;2022-01-31
630;12-15;749;2022-01-31
657;12-15;544;2022-01-31
661;12-15;392;2022-01-31
665;12-15;87;2022-01-31
671;12-15;163;2022-01-31
706;12-15;310;2022-01-31
707;12-15;111;2022-01-31
710;12-15;316;2022-01-31
727;12-15;136;2022-01-31
730;12-15;575;2022-01-31
740;12-15;659;2022-01-31
741;12-15;9;2022-01-31
746;12-15;551;2022-01-31
751;12-15;1595;2022-01-31
756;12-15;261;2022-01-31
760;12-15;350;2022-01-31
766;12-15;229;2022-01-31
773;12-15;98;2022-01-31
779;12-15;258;2022-01-31
787;12-15;281;2022-01-31
791;12-15;532;2022-01-31
810;12-15;196;2022-01-31
813;12-15;341;2022-01-31
820;12-15;234;2022-01-31
825;12-15;4;2022-01-31
840;12-15;188;2022-01-31
846;12-15;325;2022-01-31
849;12-15;202;2022-01-31
851;12-15;1123;2022-01-31
860;12-15;456;2022-01-31
;16-19;20;2022-01-31
011;16-19;1;2022-01-31
019;16-19;6;2022-01-31
101;16-19;1232;2022-01-31
147;16-19;202;2022-01-31
151;16-19;137;2022-01-31
153;16-19;98;2022-01-31
