"Region";"Dato";"Døde";"Kummuleret antal døde"
;2020-02-26;0;0
;2020-02-27;0;0
;2020-02-28;0;0
;2020-03-01;0;0
;2020-03-02;0;0
;2020-03-03;0;0
;2020-03-04;0;0
;2020-03-05;0;0
;2020-03-06;0;0
;2020-03-07;0;0
;2020-03-08;0;0
;2020-03-09;0;0
;2020-03-10;0;0
;2020-03-11;0;0
;2020-03-12;0;0
;2020-03-13;0;0
Hovedstaden;2020-03-14;1;1
Hovedstaden;2020-03-15;1;2
Midtjylland;2020-03-15;1;3
Hovedstaden;2020-03-16;1;4
Hovedstaden;2020-03-17;1;5
Hovedstaden;2020-03-18;2;7
Sjælland;2020-03-18;1;8
Hovedstaden;2020-03-19;3;11
Midtjylland;2020-03-19;2;13
Hovedstaden;2020-03-20;2;15
Sjælland;2020-03-20;1;16
Syddanmark;2020-03-20;1;17
Hovedstaden;2020-03-21;3;20
Hovedstaden;2020-03-22;2;22
Midtjylland;2020-03-22;1;23
Sjælland;2020-03-23;1;24
Hovedstaden;2020-03-23;4;28
Midtjylland;2020-03-23;1;29
Hovedstaden;2020-03-24;1;30
Sjælland;2020-03-24;4;34
Nordjylland;2020-03-24;1;35
Syddanmark;2020-03-25;1;36
Hovedstaden;2020-03-25;2;38
Midtjylland;2020-03-25;1;39
Sjælland;2020-03-25;2;41
Hovedstaden;2020-03-26;6;47
Sjælland;2020-03-26;3;50
Syddanmark;2020-03-26;1;51
Syddanmark;2020-03-27;2;53
Nordjylland;2020-03-27;1;54
Sjælland;2020-03-27;2;56
Hovedstaden;2020-03-27;7;63
Nordjylland;2020-03-28;1;64
Midtjylland;2020-03-28;2;66
Hovedstaden;2020-03-28;4;70
Sjælland;2020-03-28;1;71
Syddanmark;2020-03-28;1;72
Syddanmark;2020-03-29;3;75
Hovedstaden;2020-03-29;2;77
Midtjylland;2020-03-29;2;79
Nordjylland;2020-03-29;1;80
Sjælland;2020-03-30;4;84
Midtjylland;2020-03-30;1;85
Hovedstaden;2020-03-30;6;91
Hovedstaden;2020-03-31;8;99
Nordjylland;2020-03-31;2;101
Syddanmark;2020-03-31;1;102
Sjælland;2020-03-31;3;105
Midtjylland;2020-03-31;1;106
Nordjylland;2020-04-01;1;107
Sjælland;2020-04-01;5;112
Hovedstaden;2020-04-01;13;125
Midtjylland;2020-04-01;2;127
Syddanmark;2020-04-01;1;128
Hovedstaden;2020-04-02;9;137
Sjælland;2020-04-02;4;141
Midtjylland;2020-04-02;4;145
Nordjylland;2020-04-02;1;146
Sjælland;2020-04-03;4;150
Syddanmark;2020-04-03;1;151
Hovedstaden;2020-04-03;14;165
Midtjylland;2020-04-03;1;166
Nordjylland;2020-04-04;1;167
Sjælland;2020-04-04;2;169
Midtjylland;2020-04-04;5;174
Hovedstaden;2020-04-04;7;181
Nordjylland;2020-04-05;1;182
Sjælland;2020-04-05;2;184
Midtjylland;2020-04-05;2;186
Hovedstaden;2020-04-05;6;192
Syddanmark;2020-04-05;1;193
Hovedstaden;2020-04-06;11;204
Syddanmark;2020-04-06;4;208
Sjælland;2020-04-06;2;210
Nordjylland;2020-04-07;1;211
Hovedstaden;2020-04-07;11;222
Sjælland;2020-04-08;4;226
Nordjylland;2020-04-08;1;227
Midtjylland;2020-04-08;2;229
Hovedstaden;2020-04-08;8;237
Sjælland;2020-04-09;1;238
Nordjylland;2020-04-09;1;239
Midtjylland;2020-04-09;3;242
Hovedstaden;2020-04-09;7;249
Nordjylland;2020-04-10;1;250
