"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;;37;0;0;0;31/01/2022
;0-9;407;0;0;13;31/01/2022
Hovedstaden;0-9;88130;1;20;755;31/01/2022
Midtjylland;0-9;45401;1;7;195;31/01/2022
Nordjylland;0-9;18486;0;1;86;31/01/2022
Sjælland;0-9;29443;0;4;236;31/01/2022
Syddanmark;0-9;42740;0;10;158;31/01/2022
;10-19;597;0;1;6;31/01/2022
Hovedstaden;10-19;118651;0;15;454;31/01/2022
Midtjylland;10-19;72637;0;7;114;31/01/2022
Nordjylland;10-19;28971;1;4;57;31/01/2022
Sjælland;10-19;48448;0;9;156;31/01/2022
Syddanmark;10-19;64947;0;3;113;31/01/2022
;20-29;2373;3;1;49;31/01/2022
Hovedstaden;20-29;120796;5;38;1165;31/01/2022
Midtjylland;20-29;56038;1;11;336;31/01/2022
Nordjylland;20-29;22375;1;9;157;31/01/2022
Sjælland;20-29;27859;1;12;374;31/01/2022
Syddanmark;20-29;41181;3;14;307;31/01/2022
;30-39;2560;1;0;68;31/01/2022
Hovedstaden;30-39;109567;5;63;1656;31/01/2022
Midtjylland;30-39;48148;1;18;480;31/01/2022
Nordjylland;30-39;19606;0;10;169;31/01/2022
Sjælland;30-39;32984;3;21;493;31/01/2022
Syddanmark;30-39;42454;0;23;400;31/01/2022
;40-49;2154;4;2;73;31/01/2022
Hovedstaden;40-49;101806;14;44;1616;31/01/2022
Midtjylland;40-49;46873;3;13;502;31/01/2022
Nordjylland;40-49;18904;3;4;189;31/01/2022
Sjælland;40-49;35594;8;13;533;31/01/2022
Syddanmark;40-49;42369;3;16;402;31/01/2022
;50-59;1337;3;2;92;31/01/2022
Hovedstaden;50-59;70264;51;55;1941;31/01/2022
Midtjylland;50-59;32520;18;16;656;31/01/2022
Nordjylland;50-59;14391;7;10;237;31/01/2022
Sjælland;50-59;28267;23;23;703;31/01/2022
Syddanmark;50-59;30907;17;15;532;31/01/2022
;60-69;470;5;1;60;31/01/2022
Hovedstaden;60-69;33637;166;50;1773;31/01/2022
Midtjylland;60-69;16809;45;16;564;31/01/2022
Nordjylland;60-69;8140;28;17;311;31/01/2022
Sjælland;60-69;14751;59;20;716;31/01/2022
Syddanmark;60-69;16293;32;17;551;31/01/2022
;70-79;114;0;1;24;31/01/2022
Hovedstaden;70-79;17700;477;76;2499;31/01/2022
Midtjylland;70-79;8037;125;20;748;31/01/2022
Nordjylland;70-79;4363;89;14;408;31/01/2022
Sjælland;70-79;7716;179;29;959;31/01/2022
Syddanmark;70-79;8286;101;27;704;31/01/2022
;80-89;43;9;1;15;31/01/2022
Hovedstaden;80-89;7080;703;56;2056;31/01/2022
Midtjylland;80-89;2654;209;17;524;31/01/2022
Nordjylland;80-89;1541;98;18;332;31/01/2022
Sjælland;80-89;2648;221;21;753;31/01/2022
Syddanmark;80-89;2859;169;26;554;31/01/2022
;90+;28;4;0;0;31/01/2022
Hovedstaden;90+;2126;419;17;615;31/01/2022
Midtjylland;90+;680;113;5;138;31/01/2022
Nordjylland;90+;334;66;4;68;31/01/2022
Sjælland;90+;621;117;11;220;31/01/2022
Syddanmark;90+;616;90;10;142;31/01/2022
