"Uge";"Køn";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nyindlagte pr. 100.000 borgere"
2020-W05;M;0;0;0,0
2020-W07;K;0;0;0,0
2020-W08;K;0;0;0,0
2020-W08;M;0;0;0,0
2020-W09;K;6;0;0,0
2020-W09;M;6;0;0,0
2020-W10;K;13;1;0,1
2020-W10;M;14;2;0,2
2020-W11;K;81;10;1,8
2020-W11;M;87;19;2,8
2020-W12;K;147;9;4,5
2020-W12;M;102;10;6,7
2020-W13;K;198;20;7,3
2020-W13;M;142;19;11,6
2020-W14;K;617;47;7,2
2020-W14;M;338;26;6,5
2020-W15;K;565;34;5,1
2020-W15;M;370;21;3,7
2020-W16;K;575;25;4,0
2020-W16;M;379;15;3,7
2020-W17;K;1677;27;3,7
2020-W17;M;976;17;3,4
2020-W18;K;2191;20;2,3
2020-W18;M;1221;13;1,9
2020-W19;K;1822;13;1,1
2020-W19;M;1106;9;1,6
2020-W20;K;1726;8;1,2
2020-W20;M;1205;7;0,9
2020-W21;K;1612;7;1,2
2020-W21;M;1204;6;0,8
2020-W22;K;1634;6;0,8
2020-W22;M;1376;4;0,8
2020-W23;K;1385;5;0,5
2020-W23;M;1175;3;0,6
2020-W24;K;1809;5;0,3
2020-W24;M;1463;4;0,3
2020-W25;K;2112;6;0,5
2020-W25;M;1747;5;0,4
2020-W26;K;2113;3;0,5
2020-W26;M;1767;3;0,6
2020-W27;K;1926;2;0,1
2020-W27;M;1584;2;0,3
2020-W28;K;1831;3;0,2
2020-W28;M;1500;3;0,3
2020-W29;K;1892;5;0,3
2020-W29;M;1618;4;0,2
2020-W30;K;1965;5;0,2
2020-W30;M;1718;3;0,4
2020-W31;K;2395;6;0,3
2020-W31;M;2123;11;0,5
2020-W32;K;3103;13;0,4
2020-W32;M;2695;17;0,7
2020-W33;K;3915;14;0,4
2020-W33;M;3474;16;0,5
2020-W34;K;4387;10;0,6
2020-W34;M;3901;11;0,6
2020-W35;K;4448;9;0,3
2020-W35;M;3875;11;0,4
2020-W36;K;4685;22;0,7
2020-W36;M;4078;22;0,8
2020-W37;K;6209;38;1,2
2020-W37;M;5156;38;1,5
2020-W38;K;6602;54;2,0
2020-W38;M;5518;55;1,9
2020-W39;K;6627;61;2,0
2020-W39;M;5427;63;2,5
2020-W40;K;5831;47;2,0
2020-W40;M;4765;49;2,3
2020-W41;K;5650;43;1,8
2020-W41;M;4570;48;1,8
2020-W42;K;4476;52;2,0
2020-W42;M;3754;55;2,7
2020-W43;K;6434;94;2,7
2020-W43;M;5168;103;2,7
2020-W44;K;8527;124;3,9
2020-W44;M;6810;131;4,2
2020-W45;K;9242;124;4,4
2020-W45;M;7079;127;5,1
2020-W46;K;9615;123;4,4
2020-W46;M;7669;130;5,0
2020-W47;K;9783;137;4,9
2020-W47;M;7717;148;5,6
2020-W48;K;9741;145;4,4
2020-W48;M;7677;152;4,8
2020-W49;K;10675;220;6,2
2020-W49;M;8243;215;7,0
2020-W50;K;13729;379;10,0
2020-W50;M;10352;369;10,7
2020-W51;K;17642;432;16,4
2020-W51;M;13150;408;17,2
2020-W52;K;13075;308;15,9
2020-W52;M;9616;271;20,0
2020-W53;K;10722;263;16,0
2020-W53;M;7946;230;18,1
2021-W01;K;11569;207;14,0
2021-W01;M;8144;179;15,7
2021-W02;K;12157;128;10,9
2021-W02;M;8658;111;11,9
2021-W03;K;15087;93;9,3
2021-W03;M;10769;88;10,6
2021-W04;K;15870;61;5,7
2021-W04;M;11058;61;6,3
2021-W05;K;16419;53;3,2
2021-W05;M;11404;52;4,6
2021-W06;K;16704;46;3,8
2021-W06;M;11638;46;3,4
2021-W07;K;16961;55;2,5
2021-W07;M;12283;59;3,3
2021-W08;K;19583;63;3,4
2021-W08;M;14092;62;3,2
2021-W09;K;21137;60;3,0
2021-W09;M;15342;62;3,8
2021-W10;K;21609;63;3,1
2021-W10;M;15837;67;3,3
2021-W11;K;22903;73;2,6
2021-W11;M;16903;80;3,6
2021-W12;K;22634;82;3,6
2021-W12;M;16818;88;4,5
