"Region";"Aldersgruppe";"Indlæggelser"
;.;0
;00-02;11
Hovedstaden;00-02;509
Midtjylland;00-02;135
Nordjylland;00-02;59
Sjælland;00-02;161
Syddanmark;00-02;102
;03-05;1
Hovedstaden;03-05;120
Midtjylland;03-05;28
Nordjylland;03-05;14
Sjælland;03-05;40
Syddanmark;03-05;24
;06-11;1
Hovedstaden;06-11;193
Midtjylland;06-11;48
Nordjylland;06-11;21
Sjælland;06-11;56
Syddanmark;06-11;48
;12-15;0
Hovedstaden;12-15;143
Midtjylland;12-15;32
Nordjylland;12-15;18
Sjælland;12-15;58
Syddanmark;12-15;35
;16-19;6
Hovedstaden;16-19;244
Midtjylland;16-19;66
Nordjylland;16-19;31
Sjælland;16-19;77
Syddanmark;16-19;62
;20-39;117
Hovedstaden;20-39;2821
Midtjylland;20-39;816
Nordjylland;20-39;326
Sjælland;20-39;867
Syddanmark;20-39;707
;40-64;198
Hovedstaden;40-64;4477
Midtjylland;40-64;1449
Nordjylland;40-64;589
Sjælland;40-64;1602
Syddanmark;40-64;1198
;65-79;51
Hovedstaden;65-79;3352
Midtjylland;65-79;1021
Nordjylland;65-79;556
Sjælland;65-79;1309
Syddanmark;65-79;991
;80+;15
Hovedstaden;80+;2671
Midtjylland;80+;662
Nordjylland;80+;400
Sjælland;80+;973
Syddanmark;80+;696
