"Region";"Aldersgruppe";"Bekræftede tilfælde"
;.;37
;00-02;76
Hovedstaden;00-02;13303
Midtjylland;00-02;5820
Nordjylland;00-02;2465
Sjælland;00-02;3836
Syddanmark;00-02;6057
;03-05;107
Hovedstaden;03-05;27232
Midtjylland;03-05;13579
Nordjylland;03-05;5424
Sjælland;03-05;8729
Syddanmark;03-05;12579
;06-11;359
Hovedstaden;06-11;74318
Midtjylland;06-11;40881
Nordjylland;06-11;16390
Sjælland;06-11;26882
Syddanmark;06-11;37539
;12-15;190
Hovedstaden;12-15;46830
Midtjylland;12-15;28114
Nordjylland;12-15;11157
Sjælland;12-15;19107
Syddanmark;12-15;26001
;16-19;272
Hovedstaden;16-19;45098
Midtjylland;16-19;29644
Nordjylland;16-19;12021
Sjælland;16-19;19337
Syddanmark;16-19;25511
;20-39;4933
Hovedstaden;20-39;230363
Midtjylland;20-39;104186
Nordjylland;20-39;41981
Sjælland;20-39;60843
Syddanmark;20-39;83635
;40-64;3814
Hovedstaden;40-64;192879
Midtjylland;40-64;89575
Nordjylland;40-64;38249
Sjælland;40-64;72786
Syddanmark;40-64;83007
;65-79;261
Hovedstaden;65-79;30528
Midtjylland;65-79;14664
Nordjylland;65-79;7549
Sjælland;65-79;13542
Syddanmark;65-79;14848
;80+;71
Hovedstaden;80+;9206
Midtjylland;80+;3334
Nordjylland;80+;1875
Sjælland;80+;3269
Syddanmark;80+;3475
