"Region";"Aldersgruppe";"Bekræftede tilfælde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;.;37;0;0;31/01/2022
;00-02;76;0;11;31/01/2022
Hovedstaden;00-02;13303;16;509;31/01/2022
Midtjylland;00-02;5820;6;135;31/01/2022
Nordjylland;00-02;2465;0;59;31/01/2022
Sjælland;00-02;3836;2;161;31/01/2022
Syddanmark;00-02;6057;4;102;31/01/2022
;03-05;107;0;1;31/01/2022
Hovedstaden;03-05;27232;3;120;31/01/2022
Midtjylland;03-05;13579;0;28;31/01/2022
Nordjylland;03-05;5424;1;14;31/01/2022
Sjælland;03-05;8729;2;40;31/01/2022
Syddanmark;03-05;12579;0;24;31/01/2022
;06-11;359;0;1;31/01/2022
Hovedstaden;06-11;74318;2;193;31/01/2022
Midtjylland;06-11;40881;2;48;31/01/2022
Nordjylland;06-11;16390;0;21;31/01/2022
Sjælland;06-11;26882;0;56;31/01/2022
Syddanmark;06-11;37539;6;48;31/01/2022
;12-15;190;0;0;31/01/2022
Hovedstaden;12-15;46830;6;143;31/01/2022
Midtjylland;12-15;28114;2;32;31/01/2022
Nordjylland;12-15;11157;1;18;31/01/2022
Sjælland;12-15;19107;5;58;31/01/2022
Syddanmark;12-15;26001;1;35;31/01/2022
;16-19;272;1;6;31/01/2022
Hovedstaden;16-19;45098;8;244;31/01/2022
Midtjylland;16-19;29644;4;66;31/01/2022
Nordjylland;16-19;12021;3;31;31/01/2022
Sjælland;16-19;19337;4;77;31/01/2022
Syddanmark;16-19;25511;2;62;31/01/2022
;20-39;4933;1;117;31/01/2022
Hovedstaden;20-39;230363;101;2821;31/01/2022
Midtjylland;20-39;104186;29;816;31/01/2022
Nordjylland;20-39;41981;19;326;31/01/2022
Sjælland;20-39;60843;33;867;31/01/2022
Syddanmark;20-39;83635;37;707;31/01/2022
;40-64;3814;5;198;31/01/2022
Hovedstaden;40-64;192879;123;4477;31/01/2022
Midtjylland;40-64;89575;37;1449;31/01/2022
Nordjylland;40-64;38249;26;589;31/01/2022
Sjælland;40-64;72786;49;1602;31/01/2022
Syddanmark;40-64;83007;39;1198;31/01/2022
;65-79;261;1;51;31/01/2022
Hovedstaden;65-79;30528;102;3352;31/01/2022
Midtjylland;65-79;14664;28;1021;31/01/2022
Nordjylland;65-79;7549;19;556;31/01/2022
Sjælland;65-79;13542;36;1309;31/01/2022
Syddanmark;65-79;14848;36;991;31/01/2022
;80+;71;1;15;31/01/2022
Hovedstaden;80+;9206;73;2671;31/01/2022
Midtjylland;80+;3334;22;662;31/01/2022
Nordjylland;80+;1875;22;400;31/01/2022
Sjælland;80+;3269;32;973;31/01/2022
Syddanmark;80+;3475;36;696;31/01/2022
