serial_interval;delay_distr
0,046535;0,013006
0,087065;0,030046
0,112061;0,044674
0,119346;0,055473
0,114540;0,062422
0,102922;0,066011
0,088375;0,066888
0,073404;0,065699
0,059441;0,063022
0,047181;0,059342
0,036849;0,055049
0,028397;0,050445
0,021640;0,045757
0,016334;0,041148
0,012228;0,036732
0,009089;0,032582
0,006714;0,028742
0,004931;0,025231
0,003604;0,022055
0,002623;0,019206
0,001901;0,016669
0,001372;0,014423
0,000988;0,012445
0,000709;0,010713
0,000507;0,009201
0,000362;0,007887
0,000258;0,006748
0,000183;0,005764
0,000130;0,004915
91821861826,768500;0,004186
64857483469,293800;0,003561
457349851463,728000;0,003025
322000199020,067000;0,002567
22637245400,969300;0,002176
15892345877,510600;0,001843
111425203422,887000;0,001560
7802631015,518810;0,001319
5457448178,369790;0,001114
38129012588,372600;0,000941
26611131583,864600;0,000794
18553917312,535900;0,000670
1292389402,496310;0,000564
899406825,460857;0,000475
625377373,775215;0,000400
434478502,286950;0,000337
301613234,721109;0,000283
2092200382,941550;0,000238
1450243121,148270;0,000200
1004560316,042450;0,000168
69537826,608013;0,000141
481047095,490794;0,000119
33257247,067375;9970725721,655790
229788039,707301;83686733167,653000
15867941,960401;70222433307,614400
109515339,019594;58910267129,730400
7554384,340303;49409216429,829600
5208361,630871;4143166489,587820
35891272,176514;34735172183,253900
2472119,953190;291154854593,200000
17019634,590554;244006085246,822000
11712171,232858;204457738722,803000
805633,559864;17129184138,437700
55393,212239;14348408366,660200
380715,015069;120173348506,509000
261561,328152;100635965142,236000
1796314,208491;842639705,108905
1233192,437056;7054676618,936900
8463,019174;5905564971,295180
580587,800059;4943077707,879340
398167,054882;4137017999,847030
27297,275551;3462051851,563340
187084,792103;2896929828,297910
128179,689085;2423832327,312180
8779,532656;20278189920,628500
6011,635634;1696365886,689320
4115,263685;14189765599,311500
28163,027466;1186855319,601550
1926,792059;992632845,441560
13179,457525;830135822,580232
901,168029;694193585,012535
616,173779;580475864,028720
421,107593;485356670,067575
2876,587857;405800124,265032
1966,204977;339264720,382750
1342,259637;2836230578,655270
91,704422;2370945584,034330
62,616579;1981890762,738230
42,632564;165659646,069109
29,198866;1384628938,931530
198,729921;115725874,014304
13,544721;96718291,893361
9,325873;80829242,361975
6,217249;67547730,906944
43,298698;564463652,479016
29,976022;471677026,415007
19,984014;39412821,707106
13,322676;32931757,398491
0,888178;275154960,763653
0,666134;229892769,384081
0,444089;19206987,098136
0,222045;160464721,711328
0,222045;13405613,156701
1,110223;111990446,563747
1,110223;935540,979523
1,110223;7815064,244807
0,000000;6528155,986539
0,000000;5453019,485074
1,110223;4554832,809572
0,000000;3804494,766001
0,000000;3177686,030764
0,000000;2654084,181863
0,000000;22167074,369521
0,000000;1851366,023913
0,000000;15462035,546236
0,000000;12913136,555942
0,000000;10784195,215644
0,000000;900606,076637
0,000000;7520,961166
0,000000;628063,216183
0,000000;524475,375076
0,000000;437964,350230
0,000000;365716,464574
0,000000;3053813,631997
0,000000;2549957,702997
0,000000;2129197,829003
0,000000;1777836,417272
0,000000;1484432,576000
0,000000;123943,054365
0,000000;1034849,256469
0,000000;86402,300276
0,000000;72138,476094
0,000000;60228,520651
0,000000;502841,513551
0,000000;41981,105408
0,000000;35048,589640
0,000000;292604,679651
0,000000;244279,004704
0,000000;20393,195157
0,000000;170246,726843
0,000000;142123,773094
0,000000;11864,494667
0,000000;9904,359969
0,000000;826,795934
0,000000;6901,843115
0,000000;5761,383123
0,000000;4809,317349
0,000000;40145,345875
0,000000;3351,059521
0,000000;2797,205201
0,000000;23348,653295
0,000000;1948,923282
0,000000;16267,586396
0,000000;13578,351328
0,000000;11333,565831
0,000000;945,979618
0,000000;789,573802
0,000000;659,021357
0,000000;550,049935
0,000000;459,093008
0,000000;3831,732917
0,000000;319,805428
0,000000;2669,147286
0,000000;222,769336
0,000000;1859,235905
0,000000;1551,707489
0,000000;129,503509
0,000000;1080,810594
0,000000;90,201565
0,000000;7,527921
0,000000;62,825000
0,000000;52,430806
0,000000;437,559575
0,000000;0,365161
0,000000;304,739339
0,000000;254,313422
0,000000;21,223003
0,000000;177,109237
0,000000;147,799329
0,000000;123,339057
0,000000;102,926151
0,000000;8,589103
0,000000;7,167488
0,000000;59,811286
0,000000;4,991102
0,000000;41,649217
0,000000;34,754771
0,000000;29,001417
0,000000;2,420033
0,000000;2,019392
0,000000;1,685067
0,000000;14,060834
0,000000;1,173282
0,000000;0,979019
0,000000;0,816916
0,000000;0,681649
0,000000;0,568777
0,000000;0,474592
0,000000;3,960012
0,000000;3,304229
0,000000;2,757030
0,000000;0,023004
0,000000;1,919450
0,000000;1,601552
0,000000;1,336297
0,000000;1,114969
0,000000;0,093029
0,000000;0,077620
0,000000;0,064763
0,000000;0,054035
0,000000;0,045085
0,000000;0,037616
0,000000;0,031385
0,000000;0,026185
0,000000;0,218475
0,000000;0,182280
0,000000;0,015208
0,000000;0,126885
0,000000;0,105862
0,000000;0,008832
0,000000;0,007369
0,000000;0,000615
0,000000;0,005129
0,000000;0,004279
0,000000;0,003570
0,000000;0,002979
0,000000;0,024850
0,000000;0,020732
0,000000;0,017297
0,000000;0,014430
0,000000;0,012039
0,000000;0,010044
0,000000;0,000838
0,000000;0,000699
0,000000;0,000583
0,000000;0,000487
0,000000;0,004059
0,000000;0,003386
0,000000;0,002825
0,000000;0,002357
0,000000;0,000020
0,000000;0,000164
0,000000;0,001368
0,000000;0,001141
0,000000;0,000095
0,000000;0,000008
0,000000;0,000066
