"date","hospit","serial_interval","delay_distr"
2020-02-17,0,0.04653485923726769,0.013005996262043629
2020-02-18,0,0.0870645679970877,0.03004645144862535
2020-02-19,0,0.11206077643817344,0.04467391280484335
2020-02-20,0,0.11934593229534451,0.05547299602416379
2020-02-21,0,0.11454033566501254,0.06242202677176952
2020-02-22,0,0.10292237624521194,0.06601130344960394
2020-02-23,0,0.08837543531019787,0.0668880743354384
2020-02-24,0,0.07340392972354359,0.06569892857029666
2020-02-25,0,0.05944126152205642,0.06302181200969607
2020-02-26,0,0.04718115288412539,0.059341855084483114
2020-02-27,0,0.036848747972925144,0.05504886352410035
2020-02-28,0,0.028397304891685904,0.05044504374312593
2020-02-29,0,0.021640276815890203,0.04575691023627221
2020-03-01,1,0.016334404377010947,0.0411481844822162
2020-03-02,0,0.012228465410723088,0.03673206920506547
2020-03-03,1,0.009089308888731606,0.03258215808909988
2020-03-04,0,0.0067136371140041895,0.028741724790385167
2020-03-05,1,0.004931350622852548,0.025231394288358414
2020-03-06,4,0.0036042672430812717,0.02205532893517436
2020-03-07,0,0.0026226046867554587,0.019206116745624533
2020-03-08,3,0.0019006519116306908,0.016668563073206893
2020-03-09,9,0.0013724260809732103,0.014422578266168088
2020-03-10,15,0.000987717942389832,0.012445334615704975
2020-03-11,10,0.0007086919221513943,0.01071284252179191
2020-03-12,18,0.0005070729647114192,0.009201072023774669
2020-03-13,26,0.0003618820384733157,0.007886723629008439
2020-03-14,24,0.0002576508463640881,0.006747732631528908
2020-03-15,33,0.00018303715220135963,0.005763574141869074
2020-03-16,45,0.00012976491722294092,0.0049154218056044465
2020-03-17,47,9.182186182676855e-5,0.004186201452430985
2020-03-18,47,6.485748346929388e-5,0.0035605713920427206
2020-03-19,50,4.5734985146372864e-5,0.0030248534398444114
2020-03-20,64,3.2200019902006716e-5,0.002566932709044299
2020-03-21,34,2.263724540096934e-5,0.002176139459137141
2020-03-22,42,1.589234587751065e-5,0.001843122632869192
2020-03-23,85,1.1142520342288798e-5,0.0015597218572948551
2020-03-24,80,7.802631015518813e-6,0.0013188425755581467
2020-03-25,92,5.457448178369795e-6,0.0011143373468758323
2020-03-26,81,3.8129012588372646e-6,0.0009408951700620861
2020-03-27,88,2.6611131583864633e-6,0.000793939819135718
2020-03-28,83,1.8553917312535972e-6,0.000669537562163097
2020-03-29,51,1.292389402496319e-6,0.0005643142056938217
2020-03-30,68,8.994068254608578e-7,0.00047538112004494884
2020-03-31,51,6.253773737752155e-7,0.0004002697187506477
2020-04-01,60,4.344785022869502e-7,0.00033687376050868864
