iteration,random_seed,method,number_cluster,silhouette_score,ch_score,model_specific_score,db_score
0,51,gmm_full,1,,,-70273.37255017369,
0,51,gmm_full,2,0.21660649298521253,10384.761248589411,-91636.4618855546,1.9673805470927688
0,51,gmm_full,3,0.12188071836141602,8633.352445135313,-94830.18657939137,1.947754496575528
0,51,gmm_full,4,0.05506759873915691,5672.847587199113,-134710.3823195655,3.4411313139847843
0,51,gmm_full,5,0.040675025081227514,4735.082354077276,-137003.79758309814,3.980073512237202
0,51,gmm_full,6,0.0315319542204057,4863.518148115817,-137779.65427185726,2.6753234136186186
0,51,gmm_full,7,0.01969235156895686,4682.0884125635575,-137954.86195159258,2.5646567332896706
0,51,kmeans,1,,,7733.3782829519605,
0,51,kmeans,2,0.2284829429560237,14512.473766546509,5962.047066721544,1.6868268495654677
0,51,kmeans,3,0.21113684007743233,14424.830344642294,4920.788640832545,1.4350944093037448
0,51,kmeans,4,0.1934721683030605,12629.005329416152,4393.136790460826,1.489087204831422
0,51,kmeans,5,0.19762301179638858,11743.312175466977,3980.2853770170004,1.4318601547820384
0,51,kmeans,6,0.1734177056271386,10877.702180610515,3709.76635206857,1.5273005424614425
0,51,kmeans,7,0.17773869407406329,10306.131204033381,3460.8991986940578,1.4631368952790937
1,108,gmm_full,1,,,-70273.37255017369,
1,108,gmm_full,2,0.21632170889784616,10386.637732614294,-91634.60074515462,1.9680741094899685
1,108,gmm_full,3,0.12198451851630321,8636.510923940225,-94830.42156890107,1.9466879963766166
1,108,gmm_full,4,0.05424962161930195,5445.158637258603,-134977.41058914474,3.4393533214105547
1,108,gmm_full,5,0.03717385101310848,4703.173615291542,-136891.54964521702,3.9298453542360177
1,108,gmm_full,6,0.032720842919400805,4875.103893743837,-138061.5926576715,2.6691687500987373
1,108,gmm_full,7,0.03729914879322733,4798.216491905372,-138121.93069361206,2.476055388644525
1,108,kmeans,1,,,7733.3782829519605,
1,108,kmeans,2,0.22866716237338017,14515.585366809588,5962.0594018450465,1.6862757366431125
1,108,kmeans,3,0.2111468388072143,14425.613290801854,4920.794157143382,1.4351369265856935
1,108,kmeans,4,0.1934496590644521,12627.440945678458,4393.122654517151,1.4874861140990217
1,108,kmeans,5,0.19753336591889303,11743.61613294235,3980.3026855246944,1.432262287601263
1,108,kmeans,6,0.17379194325648056,10875.031377025114,3709.4604341025897,1.5235581427315277
1,108,kmeans,7,0.17777607518625058,10307.194437989108,3460.890666116069,1.4624514083703375
2,75,gmm_full,1,,,-70273.37255017369,
2,75,gmm_full,2,0.21657964053496676,10384.556360273767,-91636.09867299591,1.9674864150607636
2,75,gmm_full,3,0.12206115626600998,8638.317738952466,-94830.54321778647,1.946700385979675
2,75,gmm_full,4,0.05505253932162145,5672.607740139867,-134710.22719723464,3.4409075680764682
2,75,gmm_full,5,0.06020718512658864,5464.491621032658,-136072.06770867456,2.827328480470913
2,75,gmm_full,6,0.04056673128713096,4460.295841165704,-138976.3351160428,3.5171417190528618
2,75,gmm_full,7,0.025600958474251145,4471.898373696305,-139201.08608426797,3.3307610505363163
2,75,kmeans,1,,,7733.3782829519605,
