method,number_cluster,silhouette_score_avg,ch_score_avg,model_specific_score_avg,db_score_avg,silhouette_score_std,ch_score_std,model_specific_score_std,db_score_std
gmm_diag,2,0.15404232544773477,8395.948853247373,-106780.78941778265,2.2865983443954776,1.4458184435486807e-05,0.1557879351147557,0.25573052810754365,1.8219644403112485e-05
gmm_diag,3,0.05982807363926067,5102.507454456564,-122798.35402403676,2.9374801560423585,0.00010865410867286931,8.204586516780227,17.73050946792311,0.0041704691939955215
gmm_diag,4,0.03282848347516455,4137.412071021316,-155762.3055791965,4.260518233571831,0.009942589472987375,170.86090587449863,175.2051153814613,0.3589522300304633
gmm_diag,5,0.030628838225116715,3825.5692516828917,-162517.76939981594,3.603398578137349,0.00039077584549834674,11.359147794622052,17.254491757817014,0.0028037722774094634
gmm_diag,6,0.03647109580832704,3699.6270040323825,-167213.94409379672,3.2277207257690312,0.0019348953180356393,39.857738634158906,78.19584946527377,0.01623288902883391
gmm_diag,7,0.012707916681002152,3340.914431567934,-169848.0989998541,3.3730752369715353,0.004027106488345653,39.90983171306637,180.01382091780584,0.24344033170842894
gmm_full,2,0.16063501139341996,6214.9437015050335,-124545.5614317504,2.6397316546767238,2.2555054138207562e-05,1.0151367291899456,0.2412136392061294,0.0002796574366707404
gmm_full,3,0.023267736981215106,4081.543175109492,-132894.76863005507,3.760981468462505,0.0003549560903856287,3.2430235607529947,11.474658821849712,0.00794573634475252
gmm_full,4,0.021522416200856716,3469.6741315970985,-168078.35839512112,3.335829717654929,0.0035064484025350904,53.91578388570893,53.79099268094677,0.1310853082538944
gmm_full,5,0.017775070478587503,3349.100579506554,-172543.73286716596,3.423489916249185,0.0010537030274134088,34.49626565393877,137.55700437132955,0.023960986456134134
gmm_full,6,0.0161449810719025,3060.8037112028487,-174776.03120243349,3.3298548713581875,0.004329231200230914,31.161922898376357,106.01486167842671,0.10155953430336241
gmm_full,7,0.00012165288705979997,2805.522913751674,-176759.63500382626,3.767810903033491,0.001048676709464267,36.12538110335365,150.57496214020006,0.12147786172216407
gmm_spherical,2,0.21445384094172587,8601.312786784174,-76747.24473893268,2.2081188453210467,0.00020587532571225678,1.2113146073161942,0.8062190835883707,0.0005465264809159588
gmm_spherical,3,0.1264385903895431,8308.001005538614,-86753.70420292202,1.904118934814523,2.849964421257486e-05,1.584772595288203,1.1167369858359466,0.00038909300005341937
gmm_spherical,4,0.08733883166524825,6386.895910768557,-93640.54946638437,2.445446310897525,0.00126022959125883,11.473054303864494,7.533901998945794,0.011922403693776031
gmm_spherical,5,0.10716312961375193,6240.1413804133135,-96871.4754704415,2.1743517418239255,0.0020634470140229026,82.97615703598908,119.90326022077012,0.022761193937767397
gmm_spherical,6,0.11528860587100062,5915.581552008968,-99880.94611843882,1.96045983863083,0.004235300999154886,116.09099218248811,21.417767280112134,0.029149106629380687
gmm_spherical,7,0.1105812590930024,5777.7068715691785,-102746.94790487259,1.8251206381333092,0.01247342698284994,260.85218942403577,552.20092401269,0.054905392191692964
gmm_tied,2,0.2412293757331641,3584.091230621103,-103726.8761894575,1.8119642607869193,0.00021693387004386802,6.826682197122895,4.404258480490064,0.0018005769130307744
gmm_tied,3,0.15435265369871398,5630.825073158816,-106471.89661741613,1.9905876939028335,0.026097111950711977,854.147288351692,4758.468125884935,0.061255186661725546
gmm_tied,4,0.14602129536216796,5713.558214972358,-115612.8950157429,1.8552467711314335,4.537329250057726e-05,2.2027995329020578,1.3218781259515486,0.00149114439056823
gmm_tied,5,0.14055089117218883,5963.457927441795,-116744.85487966538,1.801542491044319,0.0033848957358501987,492.64659339666497,847.8762991223214,0.014859455960998042
gmm_tied,6,0.12722072183432473,5196.165012816773,-117723.7558990445,1.773999745404255,0.0003087310231106506,14.539931871263837,23.28208318550463,0.0006074006531228318
gmm_tied,7,0.10852080300606608,4967.978452305504,-118103.41034243061,1.858732663702657,0.008527928001902095,301.5420695973704,587.5562544569802,0.12716233888382977
kmeans,2,0.18684194873080906,10527.375674394241,9059.160884391142,1.9997064897292192,9.418790410605058e-05,0.398909531181819,0.0021477263096418104,0.00033815679396688295
kmeans,3,0.1542145509015032,9624.55192223238,7948.7914121322565,1.7933117273627264,8.652077586101674e-05,1.761417617075,0.015702736644774454,0.0009194243443107536
kmeans,4,0.15814810636312787,8108.818838223005,7356.810245178271,1.7996114526321432,2.9780491817962583e-05,0.7873894657344643,0.04264683889800169,0.0023427479108222887
kmeans,5,0.1431893694668641,7360.756207096124,6873.156052179305,1.7417484357979913,0.0032176641842034904,5.880826639912864,6.543924649717034,0.014557631137731154
kmeans,6,0.15030989255312144,6973.018262081112,6437.561188056265,1.6763608650444208,0.0003161013136410921,0.6397674152649212,0.13021464267718763,0.0027846515432834416
kmeans,7,0.13996143477379336,6652.5027549194365,6082.029118263925,1.6260506457457062,0.0003158803639597581,3.9146418255158615,0.0578192572463456,0.00819953534244143
